page 1	僑民教育問題
page 2	出席委員
page 2	重要決議
page 2	七中全會宣言我國抗戰為保障國際正義主力三年抗戰經過勝利之基礎益固
page 2	皖北我軍衝入壽縣
page 2	澳門總督巴布沙逝世亨壽五十有七連任澳督三次
page 2	七中全會通電慰勞抗戰將士嘉慰海外全體僑胞
page 2	安　王被刺不確星洲越南電報　通
page 2	天津白銀開始搬運
page 2	郭泰祺演講闢日誇張標榜日內部尚不能自謀解決更何能樹立新東亞秩序
page 2	國民政府十日令
page 2	日方密探被我擊斃
page 2	日機再襲行都被我擊落四架五架受重傷料亦難返防
page 2	宜昌南岸殘日被我加緊圍殲隨縣我軍各路均有進展荊當日軍被我擊斃千餘
page 2	七中全會會議經過多由總裁親臨主席七月一日開幕八日圓滿閉幕大會議決要案共有六十二件
page 3	羅斯福表示美艦隊將長駐夏威夷對於門羅主義談話各方聽候羅再解釋
page 3	傳蘇已向土致哀的美敦書要求將兩海峽交蘇管治立拉愛傳亦將歸併於蘇
page 3	日陸相將向米內提議強化軸心關係
page 3	赫爾謂上海事件僅係地方性質日方藉端圖惹起糾纏雙方談判已陷於僵局
page 3	英海相報告解決法艦情形李賽留號又經擊燬法主力艦大部解決
page 3	盛京輪事件暫停談判雙方調查事實日人未登該輪
page 3	美上議院通過史汀生任陸長孤立派力持反對態度辯論終日孤立失敗
page 3	蔣委員長三發表告全國青年書認識時代堅定信仰確立革命的人生觀
page 3	一致覺醒
page 3	不斷黽勉
page 3	美政府極注意馬田尼格島變化情形英艦隊在該島附近無何行動亦未向法當局下哀的美敦書
page 3	法兩院通過成立獨裁制度雷諾達拉第將被控告
page 3	德尚未有進行進攻英倫準備料德將向英提出和平意見德機漸擴大進攻英倫行動
page 3	美將發行鉅額公債
page 3	史汀生委任通過
page 3	七中全會在轟炸中舉行
page 3	德認挪瑞丹等國應受德國保護
page 3	地中海馬爾他島東英意海軍發生激戰意損失驅逐艦一艘潛艇一艘直布羅陀英艦亦開向地中海
page 5	小托東圍日軍已退
page 5	彭霖生再增兵古井
page 5	我軍牽制江會日軍
page 5	蘆西線最近戰訊基塘偽軍反正犯南邊日軍被我擊退
page 5	設計反間
page 5	約期反正
page 5	夾擊日軍
page 5	增援反撲
page 5	南邊戰事
page 5	魯村激戰
page 5	鄉民被捕
page 5	石龍日軍蠢動竄擾狗仔潭不逞水陸兩路竄犯桔頭被我痛擊劉發愚部夜襲莞城收穫戰果
page 5	五區訂定救濟米荒辦法
page 5	廣州西橫街發生命案
page 5	張司令長官在東江召開反攻會議各路軍集中待命張長官視察防務
page 5	沙魚涌交通最近情形因伕力尚少貨運未得暢旺駁船亦不多艇戶乘機索價
page 5	瓊崖保安團痛擊日軍
page 5	我軍反掃蕩花縣龍口日聯隊和佐藤大佐陣亡在三水舉行靈祭
page 5	日軍之經濟侵略派兵赴各鄉區坐催地稅市內店戶多為日軍自由佔住不給租民產登記申報者僅得二百一十餘宗
page 5	亦根於愛國思想
page 5	乃改用威迫手段
page 5	突然開到征地稅
page 5	均冒充業主收租
page 5	小托東圍日偽已退我軍進攻江會牽制日軍睦洲日雖增兵未敢進犯古井彭霖生向古井附近增置重兵
page 6	陳村日軍強迫納穀米捐
page 6	高要縣評價會改評豬鹽售價
page 6	東路官褘師決成立政工隊
page 6	順德水災慘況
page 6	高明戰時措施糧食恢復常態增設短期小學
page 6	三水農運積極進展
page 6	旅港三水商工局並未拒領賑款
page 6	打擊日人經濟進攻陰謀第四戰區經濟會成立全體委員就職由李主席監誓擬定工作綱領將在桂惠設處
page 6	工作綱領
page 6	一工作目標
page 6	工作方法
page 6	中心工作
page 6	廣三路水災狀況
page 7	日本對英要求條款
page 7	通俄路線未敢過問
page 7	省振會港辦事處續收六十萬元各地僑胞踴躍捐輸
page 7	振聯會財務組昨收到花款七千餘元華商賑會將演劇籌款
page 7	僑胞赴越南須領護照領事擔保入境辦法已取銷
page 7	商會主席郭泉談組織保衛團之計劃每三商店派一團員出巡市面商人負擔經費警方負責指揮
page 7	每三商店派一團員
page 7	指揮權責全歸警方
page 7	整個計劃將呈當局
page 7	商賑會常會
page 7	白欖維義賣
page 7	客棧行商會
page 7	義風慈善社
page 7	菲華僑慰勞團乘中航機返港
page 7	日本對英要求內容封鎖香港與緬甸對中國交通撤滬駐軍停止支撐中國法幣遞解華僑抗日反汪份子出境派調查員駐港監督英方履行
page 8	港滬輪客擠擁異常
page 8	德奧猶人被捕處置
page 8	粵府關懷留港難胞
page 8	九龍設英人登記處
page 8	混血家庭登記辦法
page 8	澳督巴波沙昨晨逝世本港代督表示哀悼電請英領代表吊唁
page 8	新界難民吃草根全家中毒慘死難民千餘露宿荒野饑病交迫亟待救濟
page 8	禦彈沙包堆砌法
page 8	沙包大小須依規定
page 8	堆砌不穩倒塌堪虞
page 8	危牆突告倒塌幸無傷斃人命
page 8	救傷隊傳將局部動員港府擬禁救傷藥物出口
page 8	英帝般機港曼班昨復航
page 8	三強盜截劫一老翁剌傷事主掠紙幣五百元
page 8	汛美機到港期因風再延緩一天
page 8	文錦渡營難民千餘遣散
page 8	荒山中發現酒樽數千個疑是海盜所遺下
page 8	痢症仍未減少去週又死七人
page 8	杜四端昨大殮定十三日出殯
page 8	英海軍當局否認廣州灣英法艦隊衝突英法艦隊決意合作共同維持遠東現狀
page 8	澳查究鉅劫案探目昨奉命來港
page 8	去月水務報告
page 8	華人踴躍自動登記二小時內達四百餘人農村福利會擬續辦二期登記僑胞經鯊魚涌入內地者甚眾英籍婦孺及老人昨繼續登記
page 10	中華體育協進會今日召開會議高討重要提案多項
page 10	宵來公開籃球賽５３比４３乙組記者輕取悠悠甲組華僑銀紅棄權星島培英不勞而獲
page 10	籃球戰訊
page 10	友誼小型球消息
