page 2	北方戰局之將來
page 3	日人消息朝鮮第二十師團派步兵兩營
page 3	東京中國學生反對日本山兵將舉行示威運動
page 3	據深知東省情形者言日行徵兵制滿洲日僑甚多隨處皆兵日在滿洲增兵必不止此數勢將引起俄國增兵重演日俄之戰
page 3	日本出兵樞密院及各政黨均認為當然
page 3	張作霖組拒郭軍張作霖自任總司令招募白俄充兵
page 3	張郭兩軍戰事未大接觸新民屯奉軍大半退回巨流河戰事經於十五日晚八時停止未見郭軍到新民但料一二日內將入郭軍手
page 3	十五日奉派飛機駛到郭軍陣地偵察據報告郭軍已將奉軍所毀溝幫子至白旗堡鐵路修竣現可輸送軍隊溝幫子停留火車二十輛升火待發載兵數約二萬五千遼中方面有郭軍一萬將從新民屯擊奉軍之右又郭軍左翼兵一萬亦準備進攻
page 3	張作霖以戰事在即兵員不足招募白俄充兵運赴戰線又招嫺熟砲術者充當炮手發給重薪不限中外人士
page 3	奉拒郭軍編制張作霖任總司令楊宇霆任總參謀前敵一軍司令張學良任中路二軍司令張作相任右翼三軍
page 3	司令吳俊陞任左翼
page 3	張作霖王永江為錦州搶掠波及日僑事致函日領事卑辭道歉謂搶兵係奉軍抑郭軍尚未查明縱係郭軍京願負賠償之責
page 3	日司令照會張郭兩軍距奉城六里內不得開戰並由外務省訓令滿洲鐵路所有奉天大連間及大石橋營口間之張郭兩方軍需禁止輸運
page 3	十六號路透社東京電云
page 3	大戰中之北京馮玉祥向資本家勒餉鹿鍾麟有中立說安福派密議助直
page 3	津傳京馮軍開始向資本家勒助軍餉梅蘭芳索二十萬人心震恐關稅會議及內閣改組各問題無人過問
page 3	京謠傳鹿鍾麟將宣布中立
page 3	以保京畿秩序
page 3	關稅會議英代表史密斯因京津戰事已離京抵滬
page 3	安福系十五日多秘密會議捐助直軍餉項五十萬
page 3	馮李繼續大戰
page 3	津訊馮玉祥從李烈鈞議將張家口熱河各地軍隊集中京南馮決意無論如何犧牲務取天津
page 3	駐唐山馮軍一師十五日由北塘進攻戰事極烈李景林毀軍糧城鐵軌馮主力軍改由楊柳青進攻李調張憲軍抵禦
page 3	漢溝鎮韓　墅戰事劇烈直軍因腹背受敵應付頗難津人心恐慌李衛隊亦赴前線參戰京津交通仍斷絕另訊北路韓家墅漢溝鎮之戰雙方死亡甚眾馮軍敗向七河頭青光村退卻被俘甚多
page 3	直督署消息李軍十五日佔廊坊尚待證實
page 3	吳佩孚大宴議員誓逐段祺瑞
page 3	吳佩孚十四日宴國會議員吳演說云君臣名義可不用上下定分不可消昔由皇而帝由帝而王由王而霸今則由霸而寇執政是寇賊無法無天不即驅逐何以為國誓達此目的為止聞吳近在漢口大招議員到者月給二百元須親自到領
page 3	豫國攻魯戰訊德州桑園間戰事劇烈
page 3	靳雲鶚電漢稱十二日召集豫軍將領會議決由鶚率陳師任中路田王兩師任左翼李馬兩師任右翼再攻魯
page 3	十五日德州桑園間魯豫兩軍戰事極烈魯軍兩旅抵泊頭援直
page 3	回滬後之徐樹錚
page 3	徐樹錚回滬後與孫傳芳來往極密
page 3	風雲變幻之潮汕何應欽部有異動消息周恩來扣留說之由來
page 3	財部向商會借款十萬元由運署作保昨已交款
page 3	大良中與渡今晨十七號中餘遇劫雙方激戰甚烈船上護勇因彈盡戰敗卒被騎去無蹤搭客盡被擄死傷多少未詳
page 3	翁輝騰捷電攻佔貝嶺現正追擊熊略林虎各部
page 3	全國總工會再電忠告馮玉祥郭松齡顧順民意詞與前略同
page 3	省傳吳鐵城準日內赴汕轉道回粵
page 3	日本竟實行出兵矣
page 6	市商會定期會議對付警區濫罰事
page 6	再誌蔣介石釋放張余之原因
page 6	澳門茂來魚欄司理被擄之近訊
page 6	梧函述桂軍佔廉州之經過
page 6	新會草鞋洲海面之匪氛
page 6	香山要聞彙誌
page 6	國民黨所招赴俄留學各生其第一批赴俄者將達海參威現第二批係由陳春圃林柏生帶領出發昨日一時下船五時開行其行期約在明年一月五日即可抵海參威
page 6	本月十一日下午三時許有大鎮鍾邊鄉人鍾葉錫由鄉擬搭廣三車往佛山行抵離點頭站里許之和合基地方
page 6	來往省城沙井之鎮南單行火船
page 6	省港罷工工友調查處
page 6	高屬各界因無全屬團體結合茲開該屬旅省各界乘此組織高州公會決心於軍政學之改良努力為農工商之工作擬于本月三十日正午假座廣東大學體堂禮堂開徘徊大會並發出宣言
page 6	水東與省城之交通
page 6	近日來往水東省城江門各處之輪船拖渡
page 6	廣九鐵路管理局為恢復交通便利起見特籌議規復大沙頭直通深圳快車已籌備妥竣定於本月二十日開行
page 6	警察第十二區署長以現值冬防期內故特飭所屬休班長警每夕加派兩小隊出巡河面
page 6	廣西省政府將食鹽收歸公賣現上河鹽商公會會長賴澤煌副會長劉西苑等具呈兩廣鹽運稽核所乞轉呈電令制止頃已由稽核所據情呈請財政部迅電廣西省政府將食鹽公賣辦法即行取銷
page 6	黃沙如意坊榮茂杉店司事陳騰
page 6	省政府特設立國營實業管理委員會
page 6	十號市委員開會宣布查辦衛生局被控舞弊案真相請伍朝樞將局長司徒撤懲
page 6	昨市民因伍朝樞伍十光維持方便醫院分送銀鼎紀念儀仗隨行甚盛並將該院數部打回
page 6	被擄之巡迴推事已贖出
page 6	沙面外商定期開大會議
page 6	換湯不換藥之廣州談話處
page 6	商界代表得多派一人黃旭昇胡頌棠皆得出席
page 6	古應芬決不幹行政委員
page 6	紏察隊分三路佈防深圳
page 6	鮀江短柬
page 6	汪精衛中止南巡之西江問題
page 7	石龍罷遵風潮之擴大
page 7	汕頭工會派代表到省
page 7	莫雄部佔大鵬之電報
page 7	佛山商會駐軍已遷出
page 7	廣大擇師運動之議決案
page 7	委任　政官吏權之衝突
page 7	廣州政府令
page 7	省佛炮竹商人之請願
page 7	聘招待香港懇親團專員原函
page 7	建設廳實行派員檢查郵包
page 7	財部電查河源弛禁賭博事
page 7	水公司職工請嚴懲王葦航
page 7	楊西岩準今日來港
page 7	南洋富商回港購置物業
page 7	鮮魚行請取消在街邊買魚牌照
page 7	同慶坊之小火
page 7	大借款領款之數目
page 7	河南輪船抵港消息
page 7	華商總會議案續
page 7	禁海令之頒布與撤銷
page 7	學生被人勒索
page 7	曹善允任團防局紳
page 7	女招待被人勒索
page 7	業主封屋轇轕案
page 7	寶血會賣物日期
page 7	金督巡視廣華醫院詳情
page 7	匪徒圖攻
page 10	煙台巷戰慘狀談
page 10	衛輝　勢紊亂之外訊
page 10	張宗昌決以全力守濟南
page 10	日本各方對奉戰態度
