page 1	吳鐵城將繼任粵主席
page 2	林主席昨抵鄂轉乘粵漢車南下抵鄂時武漢各界熱烈歡迎林赴省府視察對職員訓話
page 2	對鄂省府職員訓話
page 2	中央紀念週汪報告赴綏觀感晉綏軍政當局均深識中央救亡圖存方針今後應努力從事經濟建設以增國防力量
page 2	擁護中央
page 2	漢蒙之間
page 2	增進國力
page 2	迎頭趕工
page 2	民生主義
page 2	根絕赤禍
page 2	階級鬥爭
page 2	安內攘外
page 2	中日經濟會談結束日經濟團已解散經日軍部警告後中止赴華北調查兒玉謙次仍留上海月底始行返國
page 2	日蘇關係惡化海參威不准日輪營業日命駐海參威總領杉下趕急回國籌商應付辦法
page 2	孫蔚如等昨日宣誓就職
page 2	李逆乘機飛日
page 2	旅滬朝鮮人與法水兵衝突鮮人金某負傷甚重
page 2	陳果夫獎勵保安人員
page 2	海亨輪定期由廈開菲
page 2	吳鐵城謁蔣後昨返滬吳主粵今日政院仁義可望通過上海市長一缺有由張群繼任說
page 3	韓復　派員赴平謁宋有所商洽
page 3	長谷川赴京訪問我國政府
page 3	于學忠月內過徐南下
page 3	國貨聯營公司現正進行收股
page 3	閩擬續發省庫券數額九十萬元月息七厘一年還清
page 3	冀專員會議昨日宣告閉幕
page 3	中暹協會首次理監事會通過名譽理事名單
page 3	施行文化侵略日貴族院開會討論發展對華文化活動要求除庚子賠款外更動用特別款項俾使對華文化事業得為專門之研究
page 3	湘桂支線現已開始設計
page 3	甘向中行借款六十萬元以中央協款為抵押
page 3	京滇週覽團長聘褚民誼擔任
page 3	比國中立地位問題英法同意從外交上迅予解決英法政府擬在最近時期共發表宣言贊成比國解除國聯盟約所規定之義務
page 3	留英生考試定期下月舉行
page 3	中國第一女外交家黃允安抵倫敦
page 3	墨索里尼參加海軍操練
page 3	美小學鍋爐爆炸原因工程師哀接鐵管慘禍即由是發生
page 3	馬利慕拉號輪途中艙中爆炸船首尾發生火災發出無線電求援
page 3	參加英皇加冕禮後日艦赴德訪問在德日協定成立後此舉行頗足令人注意
page 3	克里希市事變殉難者昨出殯人民陣線各黨員參加者三十萬人
page 3	彭斯警察與民眾發生衝突死七人傷五十人
page 3	奧意足球賽發生極大糾紛球員五人受傷離場此舉頗含政治意味
page 3	東北軍東調皖豫日軍閥派員調查
page 3	羅斯福七八月間來華
page 3	羅馬教皇詔書對德表示抗議
page 3	西藏熱振代表西丹加索抵滬
page 3	日聯合艦隊共六十餘艘
page 3	翁文灝張群廿二日晚十一時車赴滬
page 3	粵各界代表七十餘人
page 3	衛立煌陳繼承湯恩伯
page 3	第四十五師師長戴民權
page 3	淩鴻勛廿二日由京乘輸返漢
page 3	德足球隊勝法隊
page 3	經建總會開廿一次談話會討論四項要案
page 3	喜多到津後又演一齣幕僚大會事畢轉赴濟青視察
page 4	甲組普通界籃球賽華僑勝印警鐘聲甲勝南華華乙組鐘聲鑰智兩隊勝
page 4	東方足球隊定下月征菲島江善敬關洵安等為該隊效力
page 4	精彩小足球賽華僑出戰傑志隊今日五時在蕭頓球場
page 4	公開網球比賽展期
page 4	周德裕在星第九戰胡章勝周德裕一局五總成績三勝二和一敗仍屬周德裕勝利
page 5	籌備廣州防空大演習組織籌備處計劃一切
page 5	籌備歡迎林主席二次會議記
