page 1	英加強遠東防衛力量
page 2	南太平洋風雲日緊英派軍增強遠東屬地委蒲法姆為總司令新統帥昨由英飛抵星加坡統轄緬甸馬來亞香港軍務
page 2	滬日海軍人員談話亦承認將進佔南圻
page 2	日侵西貢不久實施對美關係無法改善
page 2	法艦隊亦出發東來我警告法勿再退讓
page 2	英已派出武裝隊伍增厚遠東防禦力量
page 2	德國廣泛區域被英空軍猛炸柏林引起數個火頭船廠油廠亦多中彈
page 2	羅斯福發表聲明願與各方合作增強本國團結
page 2	美天空砲壘即將運英美投彈瞄準器亦允讓與英國
page 2	美報評論愛爾蘭中立倘英國覆沒之後愛爾蘭節即消滅
page 2	美將公開研究德人在美活動
page 2	美銀行家演說主加緊援中英勸日放棄獨霸東亞企圖望政府速確定遠東政策
page 2	意責駐希公使報告敵情錯誤
page 2	美仍嚴密監視西半球法屬島
page 2	希臘空軍炸擊哥加
page 2	侵希意軍兩路退卻
page 2	地中海英意海空劇戰意主力艦被炸沉三艘侵希意軍失利現分兩路退卻希軍啣尾追擊又獲許多俘虜
page 2	英機轟炸意國海岸
page 2	希軍又獲俘虜數百
page 2	羅京又復地震
page 2	埃王聲言謁誠遵守英埃同盟條約準備應付外來危險首相突暈倒即逝世
page 2	倫敦上空寂寞
page 2	一美國少年組織運輸公司承　滇緬路貨運
page 2	意機轟炸倫敦英空軍決報復準備轟炸羅馬
page 2	瑞士下令解散兩個政黨
page 2	歐洲一小王國施行燈火管制
page 3	德牽蘇入軸心英推測難如願
page 3	談判涉及遠東美朝野極注意
page 3	侵華日軍頹勢浙顯欽縣日軍撤退證實浙贛鄂豫我軍迭報捷音
page 3	浙東方面
page 3	南昌東南
page 3	鄂北方面
page 3	日荷煤油協定只係局部妥協並非日本完全勝利協定期僅限六個月
page 3	晉豫方面
page 3	加拿大農業危機隱伏有提議組農委會協助政府謀解決
page 3	陳嘉庚抵永安陳儀設筵歡宴
page 3	傳美墨商定聯防計劃墨海空軍根據地可容許美軍使用
page 3	西園寺脫離險境
page 3	本年度高考開始報名名額暫定三百名
page 3	日空軍又炸滇緬路
page 3	吳鐵城一行昨抵星洲坡督定　宴會僑團聯合歡迎
page 3	滬又一日軍官被人槍擊重傷
page 3	羅首相抵羅馬意國首要車站歡迎
page 3	滬美當局抗議日扣美輪
page 3	澳洲海岸水雷料為德艦所放　艦隊正搜索德艦
page 3	美明年將完成二十六艘新艦內有戰鬥艦兩艘
page 3	夏威夷美艦一部暫返美國補充燃料後再來
page 3	張伯倫遺灰昨已安葬
page 3	荷印政府放棄建艦計劃擴大泗水海軍港
page 3	陝救濟失學青年創辦政治學院
page 3	軍委會登記軍用文職人員
page 3	德蘇談判昨已完畢莫洛托夫返莫斯科德宣傳共同利益已獲得諒解具體結果雙方似約定不宣布
page 5	曲江通過興革要案擬定擴大冬耕增產雜糧辦法實行徵學普及全縣國民教育
page 5	民政方面
page 5	財政方面
page 5	建設方面
page 5	　糧生產
page 5	鄒洪抵某地召開軍事會議大澤我軍擊傷日機中山日軍調動甚忙
page 5	各縣附日軍抽調廣州傳南番日軍將全部撤退
page 5	西江桂皮跌價
page 5	湘棉運粵毋庸領特許證汽油免稅展期三月
page 5	六省糧食會議續訊各省增加運輸車輛
page 5	日軍施行戒嚴中廣州市居民之狼狽情形有良民證則被日警備隊撕毀無良民證則又被日憲兵扣留
page 6	曲岐線驛運昨已開辦派定工作人員先運穀米鹽斤各段站組織通則經省府核定
page 6	粵軍民合作站概況各縣鄉鎮站已成立二百餘所籌組淪陷區分站配合游擊戰
page 6	全省已設二百餘站
page 6	健全組織加強效能
page 6	韶關舖屋租賃辦法嚴防無良業主隨時加租防止歹徒混入擾亂治安
page 6	日艦百餘艘集中南海大批軍實由台運瓊及越南瓊越兩地現約有日軍十二萬寶深公路日軍秘密建築工事
page 7	英商船禁航廣州灣中立國輪可照常行走澳越航運亦未受影響
page 7	私娼混充大家閨秀半山區竟亦有私寨發現當地住戶紛向政府投訴
page 7	國內郵遞路線經淪陷區均被檢查
page 7	中澳貨運繁忙租車　貨須　保
page 7	留營難民略減較　週沽三百餘人
page 7	本港居民聯會討論移民法例決請政府減低證書費並望戰事停息即撤銷
page 7	報告事項
page 7	討論事項
page 7	臨時動議
page 7	英成立遠東軍區委蒲法姆為總司令統一指揮星緬印港軍事總司令部開將設新嘉坡
page 8	日謀統制油市金融港汕匯駁恐將斷絕
page 8	各區防空隊舉行通訊演習防空監理處之訓令
page 8	砵崙街破獲偽幣機關搜獲偽幣紙幣甚多拘四人今晨由九龍巡理府提審
page 8	偷信賊又活躍四出棍騙婦女郵政局與警當局嚴密查緝竟發覺郵差串同匪徒作弊
page 8	大批拐婦出境
page 8	英輝台圖劫案兩犯判處徒刑
page 8	新界大霧山又有猛虎夜間出　農戶牲畜獵人紛紛入山搜捕
page 8	竊邊區防禦物兩匪人贓並獲
page 8	登記回國桂僑已有百三十人
page 8	中央僑委會考選清貧僑生港區取錄　名
page 8	港韶線加強運輸組織
page 8	債主毆傷果販警探嚴緝兇
page 8	車輛失事統計去週死三人傷三十一人
page 8	窮漢投海獲救
page 8	商人購鎢被騙四千元紙幣變草紙
page 8	崇正總會定期　胡文虎
page 8	貨艇兩艘遇劫艇主返港報案
page 8	華人代表解釋疏散各國婦孺辦法遵例登記後可獲優先疏散權屆時如不願行政府亦不強迫
page 10	光華承難民會之請舉辦足球義賽下月對香港會之聯賽收入善款盡撥濟難民
page 10	岷甸奴籃球隊首戰敗陣卅六比廿四中青奏凱
page 10	青支會舉辦校際乒乓今日開始報名
page 10	協會覆六團體俟覆函　向方能討論
page 10	昨乙組足球聯賽工程淨勝軍糧成績三比零
page 10	澳門舉辦棉衣足球義賽星島自費赴澳參加本月廿六日大小足球隊一同出發
page 10	東方會今夕義演話劇象棋舉行頒獎
page 11	希特勒新傀儡羅王米加爾
page 11	莫洛托托夫小傳
