page 2	為廣東人請命
page 3	曹錕派李倬章返洛阻吳佩孚入錕
page 3	護路督辦處直轄國務院派兵二旅歸督辦調遣
page 3	蕭耀南派胡保華赴湘向趙恒惕提出四條件壹馬濟留湘協辦善後二由湘接濟餉械助沈鴻英回粵三廿五師留駐湘省四在長沙設巡閱使署湘公民謂有背湘省自治請趙恒惕勿承認
page 3	魯滌平蔡鉅猷殘部尚據聚浦趙恒惕軍廿壹日已開始向聚攻擊
page 3	陳炯明遣梁如海勸臧致平投降臧態度尚硬
page 3	孫傳芳昨調下游莆田仙遊各軍移駐下游浦崇
page 3	熊克武但懋辛軍內訌賴心輝由資江回簡陽川東熊克武軍多調內江援川軍克復大江梁山
page 3	吳佩孚電曹錕力薦孫丹林高恩洪曹已召林高來京
page 3	張作霖電外部稱赤俄圖奪中東路亂匪擾北滿請速開中俄會議解決
page 3	呂調元廿壹日電請速發表張伯衍次長或運使
page 3	津皖紳電呂調元馬聯甲對學潮和平解決勿趨極端
page 3	曾毓雋見段祺瑞段云時機未至不必勉強
page 3	浙代表櫝大章由奉來津謁段祺瑞
page 3	鄭士琦惟准武官少將謁見者在煖閣議員及耆紳文官往謁者均在二門外被阻因大譁傳某社擬攻鄭迎馮玉祥
page 3	廿二日閣議護路處歸國務院管轄經費加五千路警仍歸交部由吳佩孚王承斌各擬一旅交處調遣旅長兼會辦唐在禮已允就任
page 3	國務院電各省集全國省憲統一會議
page 3	王正廷月底赴日關於殺害華僑事對日要求六款外部向日使提懲兇卹傷二款餘令王到日酌提
page 3	吳景濂組新統一黨派人赴滬拉議員新民社脫離甘石橋派
page 3	黃郛用私人名義借款四萬發教育部薪半月並雲可維持三個月內月發四成部員已允辦公
page 3	孫寶琦蔡廷幹廿三日宴外交財政兩界要人交換關稅問題意見
page 3	傳韓國鈞將以去就爭申振剛任淞滬警廳長
page 3	附郊劇戰後之三江形勢方本仁部已入始興西江軍隊有獨立消息
page 3	風鶴聲中之籌款忙令米商籌借二十萬有人提議組共產政府大倡土地國有財產平均
page 3	林虎軍再攻白雲山滇軍有退駐沙河者林虎屯重兵於帽峰山
page 3	滇軍第一師回防韶州
page 3	徒手湘軍仍源源而至
page 3	購馬票者注意
page 3	太古船塢鐵匠罷工
page 3	又爆裂水喉
page 3	廖仲愷古應芬來港
