page 1	美國行動之積極化
page 2	實行精神動員
page 2	奠立自治基礎
page 2	日破獲暗殺案圖刺英大使湯淺松平亦為目的
page 2	北寧路附近偽軍反正攜有彈藥三卡車
page 2	李福林飛抵渝報告赴菲慰橋胞經過僑胞對祖國抗戰具絕大信念抗Ｘ後援會之會務異常發展
page 2	鄂北鄂中我軍連日出擊順利漢水暴漲襄河下游汜濫Ｘ機械化部隊運動困難
page 2	潮安Ｘ犯楓溪被擊退
page 2	京滬Ｘ出動駐守鐵路浦東大部在我手
page 2	桂各團體致函英大使請轉英政府停止東京談判並函薛西爾實施制裁日本
page 2	彭逆東園被擊腦部中彈倒地市民稱快
page 2	猶人居留上海日軍加以限制非經日官方核准須廿二日前退出
page 2	美上議院議員主張禁械運日或勸軍火商人自動停止供給
page 2	桂傷兵返前線全體四百餘人各界籌備歡送
page 2	鐵肺人　史乃特結婚又將出國渡蜜月
page 2	蔣委長再發表告士紳教育界同胞書望領導當地同胞實行精神總動員協助地方政府整理財政實行自治
page 3	英決交出程案四疑犯由當地華法庭審訊
page 3	晉東南Ｘ全線動搖我軍衝入長治晉城Ｘ亦遭我猛烈襲擊戰況沉寂戰事告一段落
page 3	日外務省招待新聞界報告談判停頓問題
page 3	意外長赴德與德外長會談確定兩國軍政合作機構又將討論最近國際局面
page 3	美政府表示關懷遠東利益英日談判若趨於決裂時美或發起召集國際會議
page 3	霍士達之演說詞竟謂但澤受波蘭威脅但澤有希特勒盡力支撐將來必能自由返回德國
page 3	德兵越境被波防軍擊傷德報未有隻字披露
page 3	對但澤問題英法立場一致德國離間企圖必歸失敗英外相已向德大使聲明
page 3	意政府查封駐羅馬合眾社
page 3	胡適在美演說稱頌四強助我國抗戰美廢商約尤予日重大打擊
page 3	英法軍事代表團抵莫斯科
page 3	日本經濟危機增加發行紙幣物價奇昂人民生活日增總動員案不能壓抑工潮
page 3	日軍強佔煙台英人產業宜昌英輪被炸豫煤礦被沒收英大使館向日提出強硬抗議
page 3	荷前首相將作旅行世界
page 3	傳平沼阪垣已決辭職但另一方面意見則謂此說未可靠
page 3	南首相訪意增進兩國友誼
page 3	克萊琪訪加籐交換復會意見英日圓桌會議仍無期繼續舉行日以代表須返津為辭向英要挾
page 4	車輛失事統計去週死二人傷四十一人
page 4	百餘人被控違犯交通則例
page 4	大批賭徒被罰
page 4	周少保演打死下山虎為學生賑濟會籌款
page 4	大埔同鄉召開救鄉會議
page 4	學賑劇團公演
page 4	皇后院職工獻金
page 4	國醫會獻金辦法
page 4	公務員犯法市民告發手續裁判官昨在法庭公開指示華警勒索疑案被告幸獲釋
page 5	中山鄉民組戰時腳踏車運輸隊追悼陣亡將士
page 5	三水我游擊隊襲Ｘ軍機場
page 5	策動華僑投資墾殖
page 5	省振濟會進行救濟難民續訊將派員出國詛華僑投資成立廣州灣省振濟分會
page 5	省銀行分區辦理農貸續詳
page 5	港婦聯會宣訓員抵韶關派在動員會工作
page 5	調查各縣織造工業
page 5	今日的北江蘆苞
page 5	澈底根絕Ｘ貨獎勵告發加強查緝營運Ｘ貨處以極刑
page 5	廣州灣分會將成立
page 5	戰地查獲Ｘ貨處置獎懲辦法第四戰區部奉頒飭遵
page 5	實行難民認養體察各鄉情形分別認養若干
page 5	潘幻齡對記者談容桂外衛游擊戰績在大　黃閣沿岸與Ｘ軍時有大戰
page 5	粵省女公務員施行軍訓
page 5	中央警校畢業生奉派回粵服務
page 5	紀念美國獨立郵票將運粵行用
page 5	Ｘ增兵來粵之近訊Ｘ北侵無法進展增兵後企圖北犯我方已嚴密戒備
page 6	宣傳方面
page 6	增從線我軍出擊之追述 砲火中會見前敵總指揮
page 6	粵北各縣食鹽就場配銷鹽務局已函省府查照
page 6	設獻金台
page 6	Ｘ兩快艇在新洲遇風沉沒Ｘ兵廿餘人無一生還
page 6	粵南戰時教育調查中小學校二零六間義務教育一二四所
page 6	我游擊隊襲白沙橋傷斃Ｘ十餘人
page 6	韶關各界籌備隆重舉行八一三紀念李漢魂是日臺全體省委獻金
page 7	港九報販籌備義賣
page 7	各大公司昨日成績
page 7	中西藥行獻金購債
page 7	旅業商會響應獻金
page 7	香島棋壇將在先施天台開幕
page 7	昨試放燒夷彈
page 7	是年可免水荒各區水塘多滿貯食水
page 7	大笪地口不准汽車行駛
page 7	保育會財務主任謝紉餘允復職
page 7	獻金運動之第二日華商會又收得萬餘元岑伯銘個人獻港幣三千中藥商會購債二萬餘元
page 8	特開夜堂
page 8	小童金牌
page 8	本港海軍義勇隊組織歐籍海員支隊戰時協助防衛本港
page 8	對官宣讀
page 8	被告曾生
page 8	深水灣山徑中印人強姦老婦警探捕獲疑犯一名初級法庭昨日提審
page 8	得償所欲
page 8	放聲大哭
page 8	丈夫逝世
page 8	地勢關係
page 8	港僑救護團第六隊畢業
page 8	愛蘭止咳露義賣
page 8	全港公開週年游泳競賽參加健將均屬一時之彥屆時碰頭當有一番劇鬥
page 8	昨日排球義賽男子組仿林勝南粵女子組仿林受挫于南華
page 8	明日棒球補賽南華會戰西洋今有一場友誼比賽
page 8	華人游泳會今夕三次水藝
page 8	宵來水球戰績
page 8	暹網球隊來港比賽
page 8	南遊日記廿二
page 8	初　法庭夜審永祥金鋪劫案欲趕于是月份詳臬定讞三被告僅一人直認行劫殺歐陽　環罪無一承認
