page 1	英日談判將如何
page 2	吳家山被我收復麻塘在我控制中
page 2	各路偽軍紛紛攜械反正鍾予奇被俘說係Ｘ人虛構
page 2	在一年內解決但澤問題福斯德之談話
page 2	賀國光暢談渝新市府之施政方針增加空防設備改進市郊交通
page 2	日方計劃增造軍艦共九十三艘已有一艦在橫須賀秘密下水
page 2	鐵行輪船那闞達號火災
page 2	福州附近有新颶風登陸
page 2	傳汪在滬行動全失自由
page 2	　國民團紛紛報到
page 2	青反英運動現已打銷
page 2	國際時局嚴重美中立法應從速決定羅斯福對此點絕不肯妥協
page 2	意境德語土人將自動回德國
page 2	南昌東南戰事沉寂
page 2	　田與克萊琪舉行首次談話談話達三小時但無結果
page 2	翼城Ｘ圖渡沁河夏縣Ｘ進擾大羊村受創
page 4	先施公司七姊妹游泳棚
page 4	南華體育會主辦之夏令會友足球賽
page 4	今晚公開水球域多利戰南華會
page 4	昨日棒球聯賽兩華隊皆告敗績二比十中華受重創於友啤一分之差南華不敵岷甸奴
page 5	莞城Ｘ終日閉門困守橫坑鄉民英勇抗戰殲Ｘ甚多增城Ｘ兵增加圖犯龍門博羅
page 5	我軍包圍潮安城
page 5	　心塘連日血戰
page 5	馮涌Ｘ犯五和墟
page 5	我夜襲楊梅Ｘ營
page 5	空軍夜襲三灶島
page 5	Ｘ艦集中榆林港
page 5	潮安倒長易人派吳履泰代理順德縣長受訓
page 5	瓊州海峽Ｘ機墮水沉沒
page 5	北線天心塘血戰我大捷中山戰事轉寂我迫會城劇戰再起潮汕大舉反攻潮安城日間可收復
page 7	廣州紅十字隊出發四邑服務
page 7	魚菜來源不絕澳輪昨又有大批運到
page 7	八一三獻金賑聯會決負責倡辦
page 7	連日天氣奇熱為歷年七月份所罕見
page 7	婦人服毒獲救
page 7	傭婦墮樓慘死
page 7	六個少年騙食
page 7	春睡畫院畫展今午十一時開幕
page 7	平山木屋深夜被劫蒙面賊掠　物共值數十元
page 7	港府積極改良市區物色荒地遷建屠場不合衛生工場亦將遷出郊外有人獻議闢林馬島為墾殖區
