page 1	封鎖與反封鎖
page 2	鄂南湘北我軍順利進展羊樓司全在我控制中崇陽附近我殲日千餘
page 2	許多法難民逃到英倫
page 2	汪偽軍唐蟒部被日繳械
page 2	鄂西我軍獲有重大戰果宜昌外圍包圍圈完成殘日侷促城郊極狼狽
page 2	美參院通過限制轉售剩餘軍用品今後轉售須由陸海軍兩方證明
page 2	贛青年團發起四項運動紀念七七三週年
page 2	日要求英阻止滇緬公路運輸制止貨物由緬運入中國
page 2	贛北我大軍分路進攻南昌兩路攻武寧完成包圍
page 2	日本大火政府機關多被焚
page 2	府令公佈兵役懲罰條例
page 2	粵省府獎勵肅奸
page 2	長江日艦三艘擊沉
page 2	關於天津白銀問題我國政府發表聲明我決撥英金士萬鎊救濟華北存銀餘額則托英國代為保管
page 3	意海空軍加緊活動炸擊馬德魯鎮
page 3	羅解散各政黨合併成一大黨羅　變成極權制度由羅王僑獨裁領袖
page 3	柏林西部發出空襲警報但未有敵機發現
page 3	拉國將與蘇聯締結軍事同盟蘇德形勢對立尖銳各派重兵趕開邊境
page 3	英空軍報告轟炸意國成績炸毀都倫飛機製造廠熱那亞機廠亦被炸擊
page 3	美史密梨畢拉大將前日逝世
page 3	許多難民逃避到西班牙
page 3	輕機請槍發明者約翰湯臣逝世
page 3	加拿大陸空軍大批抵達英倫又有飛機多架由加拿大運到
page 3	澳洲聯邦授全權於總督組織國防應付時局
page 3	此次抗戰
page 3	敵人妄想
page 3	忘卻民眾
page 3	救死扶傷
page 3	是為什麼
page 3	死中求生
page 3	暴力威脅
page 3	蔣委員長演詞全文四
page 3	每次襲渝
page 3	新委任受障礙共和黨議員提議調查伍得陵除職
page 3	德法兩國休戰談判在剛比恩再次舉行德方現時所持態度非常強硬要求法無條件接納或不接納
page 5	日陷南頭繼續東犯
page 5	日機冒雨掩護前進
page 5	日機炸深圳之損傷
page 5	日機昨又炸沙魚涌
page 5	本港軍事當局談話
page 5	偽軍洗劫佛山普君墟
page 5	軍警團隊鄉鎮長不得自行截緝私貨祗有報訊及協緝權一區通令所屬知照
page 5	林卓夫繼任中山縣長經過
page 5	江會我日爭奪戰仍烈日艦艇在中新邊境窺擾防我團隊乘機大舉反攻中山偽軍火迸激戰極烈
page 5	中山八區各地騷擾
page 5	婆羅島偽軍之火迸
page 5	在佛子　爭奪仍烈
page 5	各線日軍受我牽制
page 5	台山縣府槍決劫匪三名
page 5	游擊隊衝入官窯炸毀日偽機關
page 5	陳耀祖派黨徒分任從花兩偽縣長
page 5	省府興辦雷州水利積極疏濬詩侶塘十二河實施墾荒糧食自易解決
page 5	平洲日軍強取塘魚被擊事後全鄉被擾拘去男子多名
page 5	袁帶在中山八區會議調 整隊續訊日兵搜查孕婦被鄉民圍毆
page 5	日軍昨又侵陷南頭深圳我團隊在大沙河抗戰日機掩護日偽兵東進深圳沙魚涌被炸損失本港富局昨發表談話
page 6	前任南雄縣長因交代不清被通緝
page 6	公務人員晉級須依法定
page 6	澈底消滅私存煙土訂定查緝獎給辦法
page 6	桂省訂定徵僱民伕辦法
page 6	日軍北犯潰敗中琶江民眾抗戰之功績側擊良品米　之日軍
page 6	治河處某工程人員談西北江宜防水患
page 7	遠東航空學校飛航教師多返英服務航空班授課頗受影響
page 7	收回地段通告
page 7	義軍全日訓練
page 7	東莞商會賣花共獲四千六白元
page 7	港統制皮革出口後皮製品外銷完全停頓廠家擬聯名向港府呼籲
page 7	聖氏提反堂七十五週紀念
page 7	店伴被控兩罪
page 7	今日澳門特別賽馬港名騎師多出場比賽六場比賽成績之預測
page 7	禁止德意貨由澳運港港政府昨日重頒新令
page 7	本港商人關懷越南貨運
page 7	華人代表羅旭龢等籲請僑胞捐助英戰費英為維護人類之正義和平而應戰本港居民自應不分族界予以援助
page 8	米價有續跌可能大幫暹米昨日到港統制局將評定米價制止米商居奇操縱
page 8	督府副官返港
page 8	駐　日領接管意僑權益
page 8	中大同學聚餐
page 8	女職業會開幕
page 8	各界擾聯會擴大七七素食運動致函肉行請停屠停售
page 8	苦力縊死橋下
page 8	德輔道西鉅劫案昨提堂
page 8	電報實行加價
page 8	港府委令一束
page 8	焚劫貨艇案昨提堂庭諭押候七十二小時查究
page 8	華僑中學換物賑濟大會
page 8	漁船駛入禁區
page 8	旅館中之賭局
page 8	英修正緊急授權法英皇可徵用港人力物力
page 10	昨日棒球聯賽7比12中破工程今晨十時起有兩場角逐水兵戰港啤南華對香港
page 10	關于協會改選事謝雨川否認參加競選
page 10	宵來籃球戰績
page 10	初級學排決戰皇仁榮膺冠軍培英敗在後勁不繼
