page 1	德蘇關係的現階段
page 2	日對南進政策將有重要議決美與遠東英屬自治領將成立一國防連鎖線
page 2	加政府急速實施加美聯防協定美財長赴加拿大係與聯防事有關
page 2	英援華運動委員會代表請求切實援華要求英政府切實保證滇緬路三月後再開放
page 2	法將施行統制經濟代替自由經濟
page 2	湯仲明發明動力機任何燃料均可發動
page 2	菲律濱奎松橋行開幕禮松奎發表演說激烈抨擊美國
page 2	中越邊界局面沉寂並無若何事變
page 2	羅匈兩國代表繼續談判
page 2	美度支委會通過國防補充案
page 2	政院議決粵省政府局部改組顧翊群曾養甫高信均免職另任鄒琳高信鄭彥棻繼任省府委員
page 2	如此聲明
page 2	恐防有礙
page 2	又是把戲
page 2	駐紐約德領事調往神戶服務
page 2	顧執中已脫險
page 2	美建兩洋海軍
page 2	邱吉爾在眾院報告英國必得勝利因素並勸美國派驅逐艦來助英國英美兩國加緊合作應付時局
page 3	一週來德機被擊落已達五百餘架英空軍襲擊柏林英倫空戰漸沉寂
page 3	日機又襲重慶投下大量燃燒彈商業區引起大火
page 3	擴建綱領譯成蒙藏文蒙藏同胞歡迎珍視
page 3	索馬利蘭英軍作有計劃撤退意軍已開入貝比拉城英軍撤退時在城縱火
page 3	美國海上軍官今年不再更動因鑑於局勢嚴重
page 3	料德軍已用大砲轟擊英倫海岸倫敦有被炮擊可能射程太遠必不準確
page 3	美運蘇日機器已被禁止出口有議員提議國會授權羅斯福由政府徵收應本國國防需要
page 3	馬些爾將軍條陳意見鞏固美洲地位須有大量陸軍
page 3	英軍官駕汽車與日軍車相撞滬英日軍現正談判
page 3	晉西南我軍不斷出擊
page 3	馬來亞發行戰債二千餘鎊金
page 3	加拿大當局積極發展海軍與美交換海陸軍武官美將以物質助加拿大
page 3	我襲小董附近各據點寧明以南進犯日軍被殲數百
page 3	日反撲齊東被殲二百
page 3	比國政治人物或將重組政府暫設英倫境內
page 3	上海萬國義勇軍實行接管B防區英軍昨日已停止巡防日警漸開入虹口西區
page 5	袁帶部進兵大小托
page 5	日犯廣海僅有砲戰
page 5	日機連日轟炸各地
page 5	東江之劇戰練陳兩部挺進增城日軍犯良田被擊潰
page 5	做慣撈家懶帶兵東江復興軍師長被扣留
page 5	中山復興軍火迸內幕復興軍鍾某部投誠策動反攻
page 5	廣州　深夜搜捕市民在河南捕去廿　人
page 5	日艦砲轟媽宮日艇又擾汕尾
page 5	順德團隊襲南沙復興軍
page 5	日機襲桂續訊
page 5	湘米運惠救濟舉辦平糶
page 5	提高全省公務員薪俸省府已通過統籌疑辦女師學生給回韶旅費
page 5	粵北我便衣隊襲擊人和墟反戰日軍調廣州
page 5	澳門學生一批抵韶赴學
page 5	日軍增兵寶安昨訊傳澳頭有日兵登陸不確
page 5	日軍數百增援深圳
page 5	深圳日軍最近動態
page 5	日軍侵入澳頭不確
page 5	日機頻飛各地偵察
page 5	十一月廿一日定為防空節促進防空建設
page 5	佛山附近張槎鄉之近況
page 5	大小托各軍均退去中新邊境近已更趨穩定廣海仍有砲戰但日難登陸台城亦開始將物資疏散
page 6	粵省參會代電
page 6	韶關鐵路水路交通調查粵漢鐵路貫通南北韶至清遠多從水道
page 6	鐵路
page 6	預防日機濫炸韶關實施強迫疏散情形嚴厲執行停止日間營業婦孺老弱盡量疏散市郊一切救護準備佈置妥當
page 6	剴切佈告
page 6	切實執行
page 6	救護準備
page 6	緊急救濟
page 6	水路
page 6	廣州日軍調增城在沙村遭截擊
page 6	建廳計劃修建惠淡公路
page 6	官窯日軍內鬨日軍官扣留其曹長
page 6	廣東憲政協進會成立粵臨時參議會發出代電駁斥延安憲進會之主張
page 7	賑聯會昨會議捐助孤軍工業基金華商會昨續收獻金
page 7	七七花款仍未盡繳
page 7	董仲偉獻金五百元
page 7	女兵災會售花成績
page 7	胡木蘭在渝公眾返港呼籲各界競捐寒衣中賑會聘胡氏為委員
page 7	舞娘售花成績更正
page 7	掃桿埔渣甸山平民屋已落成收容草屋被拆貧民
page 7	受薪階級亦可入居
page 7	入居辦法暫分兩種
page 7	衛生局准建難民寮
page 7	賊劫四船失贓國幣二萬元
page 7	颶風迫近本港天文台改懸五號風球如趨向不變港汕海岸將受襲擊本港海面船艇紛紛駛入避風塘
page 8	胡氏談述脫險　過
page 8	市民安全全失保障
page 8	住聯會響應募衣運動對市區防空向當局有所建議
page 8	售貨員要怎樣說話
page 8	圖劫馮儉生案法庭昨再提堂
page 8	陸海通旅店桃色血案判決兇手楊惠景罪名成立處有期徒刑二十一月
page 8	偽造文件行騙書記員入獄一年
page 8	沙宣爵士過港
page 8	海關監督與日領視察九龍邊境
page 8	失業教師第二批昨赴韶
page 8	大學聯誼會理事昨日會議
page 8	港政府委任令
page 8	衛生局昨例會
page 8	匯豐銀行增加營業時間
page 8	銅鑼灣道劫案被告入獄 十八月
page 8	拐女童案判決兩犯均處徒刑
page 8	汎美機再脫班
page 8	警察轟斃瘋牛
page 8	欲消災反被騙婦人損失數十元騙匪劉安被重罰
page 8	滬市已成盜匪世界資產階級紛紛離境前傳失蹤之富商胡西園已抵港離滬時力守秘密以
page 10	今夕游泳對抗勵進再鬥域會全港冠軍賽下月角逐三角競技定卅日舉行
page 10	勵再域進逢會
page 10	全港公開競技
page 10	華人三角對抗
page 10	記者水運暨同樂會定九一假華人舉行一切進行在積極籌備中
page 10	夏令籃球賽昨僅一場戰事漢華輕取知行
page 10	香港區學界籃球下月中旬開辦
page 10	友誼小型球戰訊
page 10	南華游藝部近訊
page 10	論胸泳二蛙式蝴蝶式與鯨魚式
