page 1	維里斯之聲明
page 2	南京杭州舉行排美運動滬美記者受偽府壓迫報告羅斯福請求應付
page 2	日本一黨運動進行發生障礙民政黨總裁不願贊成遲遲未肯將態度表示
page 2	近衛接見記者討論各項問題據稱最注意於補充國防對於南進正予嚴重注意
page 2	日軍犯無為被我擊退
page 2	武昌岳陽間交通中斷湘北日軍染疫累累
page 2	漢奸俞大鈞被刺斃命
page 2	非常時期維持治安緊急辦法經由國府制定明令公佈
page 2	經濟作戰部部長人選未定傳胡將返國任職由宋繼任美大使
page 2	天津偽府要求取電話管理局租界當局　加　慮
page 2	我對滬檔案非法移交再提嚴重抗議租　當局此項舉動係屬違法聲明不能發生法律上之效力
page 2	我軍夜襲隨縣日軍死傷百餘
page 2	美華晚報復刊
page 2	印度徵募軍隊鞏固印度國防應徵者甚踴躍
page 2	日皇召見農相
page 2	同盟社華職員遷入虹口避匿
page 2	貪生怕死
page 2	無言的答覆
page 2	甬江兩岸已無日蹤鎮海城各機關遷回招寶金雞戚家各山先後克復
page 3	英國人民一致團結貢獻資源爭取勝利全國熱烈響應軍費補充預算案
page 3	日本新閣人物歷略二
page 3	法相風見章
page 3	商相小林一三
page 3	文相橋田邦彥
page 3	無任所相廉企劃院總裁星野直樹
page 3	內閣書記官長富田健治
page 3	法制局長村瀨直養
page 3	英謂越南地位脫離法國管治故仍可與此等區域通商
page 3	蘇雜誌討論遠東問題作者認為日本對華作戰愈曠日持久則困難愈多
page 3	汛美會議注意歐洲屬土問題準備接管此等土地免落非美洲國之手
page 3	蘇聯國會八月一日開會將通過三國歸併案外長解釋外交政策
page 3	新西蘭招募壯丁編組遠征軍
page 3	羅國首外兩相應德政府邀約定明日赴沙爾斯堡城商議應付匈土地要求
page 3	英羅關係逐漸惡化有決裂之可能
page 3	英空軍是否轟炸柏林羅馬某議員提出質問邱吉爾未便答覆
page 3	邱吉爾中止發表演說外相廣播充分說　作戰決心認為足以答覆希特勒之要求
page 3	澳洲準備收容香港婦孺
page 3	直布羅陀當局迅速疏散居民本星期內疏散萬餘人不遵令疏散者受懲罰
page 3	英國地方志願軍超過三十萬人現在人數已足毋庸再為招募
page 3	丹麥糧食缺乏各類牲畜宰殺一半牲口屍則運往德國
page 3	吉　浦斯訪蘇外次會談外交事務
page 3	紐約洋面燕梳業增加遠東保費
page 3	阿王塞拉西準備回國復任在阿國邊境居住以聽候返國時機
page 3	達拉第寺已逃離波爾多現在何處不明
page 3	蘇聯向芬要求軍隊全體復員
page 3	美海軍部亟謀關島設防與防衛太平詳有極力關係此案將再提下屆國會討論
page 3	德機百餘架襲英在英倫東南海岸激烈空戰英空軍部報告擊落六德機
page 5	攻入深圳
page 5	再攻機場
page 5	沙灣激戰
page 5	廣州馬路仍未盡開放日軍防我游擊隊活動
page 5	日擾鹽田
page 5	石門附近各鄉之大禍因有日軍二人突然失蹤
page 5	日艦進擾竹洲東岸
page 5	西江下游擊沉日艇
page 5	江會線木塱舊社劇戰再起西江下游我炮隊擊退日艦艇中山日艦又擾八區竹洲東岸中順我團隊昨進襲古鎮小欖
page 5	江會木塱戰事復起
page 5	進襲古鎮小欖得手
page 5	中山偽軍移駐海岸
