page 1	香港僑民秩序化與廣州市容
page 2	政院電劉查辦理
page 2	外部派員前往調查
page 2	日方人士注重此事
page 2	設領問題與此有關
page 2	須磨已提口頭抗議
page 2	魯省外交聽命中央韓復　拒絕川樾要求川樾今日赴青轉滬在滬再開重要會議
page 2	滬市發現恐怖機關目的在製造恐怖借端侵略
page 2	英倫銀行幹員羅傑士來粵協助整理氏金融羅氏前晚已抵港即將赴粵
page 2	中央改革粵幣制採用緩進辦法財部某君之談話
page 2	謝　民明日南下履新
page 2	侵綏偽軍爭防自起衝突互相仇殺
page 2	英兵被毆事件使團頗為震憤將集　有所商討
page 2	成都發生暴動案商店被毀軍警民眾互有傷亡混亂中日人四名亦遭毆擊其中二人聞已因重傷斃命
page 3	在津浪人干涉緝私與警發生衝突雙方人員均有受傷
page 3	十河赴津接洽開發華北經濟聞已有相當結果
page 3	張外長昨日離牯返京
page 3	傅增祥北上視察緝私情形
page 3	遼吉黑熱四省選舉投票日期場所
page 3	立院財委會審查川公債案並將案例修正通過
page 3	胡文虎熱心公益國府頒發褒狀
page 3	法部決在首都建築高等法院建築基地已勘定
page 3	實長吳鼎昌緩期視察湘鄂
page 3	日軍在大沽昨又舉行演習
page 3	整理襄河計劃刻正從事草訂
page 3	脅迫賄誘選舉應即依法檢舉俾民意得自由表現
page 3	粵漢全線確定九一通車每星期對開兩次
page 3	美經濟考察團分赴華山昆明
page 3	王正廷歸國期
page 3	魏旭東發明芋麻紡織呈請政府設廠製造
page 3	颶風吹近溫州或在甬附近登陸
page 3	閩財廳請與海關聯絡辦理緝私
page 3	智利農部贈我小麥圖表
page 3	訓導班招收學員定期截止保送
page 3	中國貿易協會推定駐外代表
page 3	綏省公務人員練習射擊技術以射擊能否中的為升充縣長標準
page 3	中國整理路債英報著論贊揚
page 3	甯國發現金砂往採者日近百人
page 3	招考稅務人員各考委已聘定
page 3	美大選運動聲中羅斯福表示態度如獲連任即召世界和平會議
page 3	西京被困糧食告絕兩軍將再有大戰
page 3	國交討論會中芳澤巧言自飾力卸侵華責任
page 3	英埃條約簽字
page 3	意政府挑選精兵演習夜間戰術
page 3	戴季陶行抵佛郎克孚各大學盛大歡迎
page 3	中國世運選手乘意郵船回國
page 3	立法院長孫科語記者雲
page 3	德國宣布延長軍役年限後
page 3	托洛斯基聞仙維奴依夫等被處決之消息後
page 3	四川日人被殺事件發生後
page 3	駐滬日海軍今午調四艦開重慶護僑
page 3	滄石路線決變更為津石路
page 3	牯嶺電話
page 3	郵政總局聯邦
page 3	國民政府命令王正廷任美大使蔣廷黻任俄大使
page 4	友誼籃球戰華雄會勝青夜校全場華雄會均佔優勢
page 4	精武會搏擊比賽
page 4	英京銀價仍趨漲
page 4	八九金市價盤旋
page 4	省法幣昨價微降
page 4	四游泳團體對抗麥芽團攀登首座四人接力一項競爭最劇以一掌之差壓倒蘭開夏
page 5	李漢魂堅辭東區綏委余漢謀極力慰留李覆汕各團體電
page 5	各區綏署暫保留改行政署尚有待
page 5	鹽運署之新設施最近之緝私進行
page 5	準備入粵之中央軍第九師最近回駐閩南某方誘惑土共謀搗亂會匪形勢與國軍進剿
page 5	某方再施手段土匪會匪聯合
page 5	國軍三路圍剿饒東詔西匪股
page 5	日艦到汕絡繹不絕事前並不通知當局汕公安局請告日領以後須照公法辦理
page 5	香李分任六七路總司令訊
page 5	桂局和平希望若斷若續中央軍之繼續調動炮兵團昨晨抵省第八師陶峙岳部調粵鄧工增將再次入桂所攜條件極力遷就桂方王寵惠日內抵粵即赴桂斡旋
page 6	禁煙委員會昨日開始辦公
page 6	馮銳扣留後當局擬從嚴辦理
page 6	黃質文昨晨返防
page 6	西潦為災各機關之賑濟
page 6	河南要聞近誌
page 6	請收容流落歸僑
page 6	兩廣外交特派員刁作謙發表談話星洲華僑生活概況
page 6	外交
page 6	經濟
page 6	團體
page 6	教育
page 6	粵省黨部省教育廳
page 6	廣州市政府播音台
page 6	四路軍總司令余漢謀以今後關于一切軍事綏靖消息之宣傳
page 6	廣州市衛生局長前以曾市長養甫委任李廷安充任
page 6	促各鄉辦理保甲
page 6	倡修漱珠崗計劃
page 6	禁賭會昨日成立並開首次會議決通兩各方報告成立賭商繳過餉分期發還九一實行禁絕之財廳佈告
page 7	建費二千萬元
page 7	舊地歸還政府
page 7	印兵營決遷徙
page 7	將須收買民地
page 7	增加駐軍兩團
page 7	印行防空小冊
page 7	陳濟棠決三星期內放洋何紹瓊攜護照南返今晨可到
page 7	土織人造絲疋頭稽查及清理辦法粵海關九龍關會銜佈告
page 7	宋子安過港北返
page 7	應瑞
page 7	海籌
page 7	江貞
page 7	中央軍艦之來去傳寧海艦亦將南來江貞前晚離港應瑞未去海籌昨早他開行蹤不明
page 7	東華院定期超幽
page 7	生雪平賣轟動全港
page 7	本港政府歷年支出之恩俸由二十六萬增至二百萬元
page 7	黃紹雄再來港晤李白代表王寵惠奉召南下今晨可到港
page 7	九龍城木屋被焚
page 7	英廷積極強化香港撥二千萬元建偉大軍營地點已擇定九龍郊野圖則繪就即興工新營落成後決增派陸軍兩團來港駐防
page 8	新任議員宣誓就職
page 8	輔政司答覆兩質問
page 8	停止借鐳理由甚簡
page 8	通過各修正之則例
page 8	製例應付緊急時期
page 8	非經批准不得印發
page 8	羅文錦演說
page 8	送交檢查有礙迅捷
page 8	言論自由不容否認
page 8	十一年來繼續檢查
page 8	當日本港異常危險
page 8	大好新聞變為舊聞
page 8	扣留稿件謂待考慮
page 8	檢查人員功勞卓著
page 8	布力架演說
page 8	戴上口套已十一年
page 8	檢查出版妨害民意
page 8	利益攸關決無輕率
page 8	報界特權應加尊重
page 8	報紙力量勝于軍政
page 8	曹善允演說
page 8	施行檢查無可避免
page 8	周俊年演說
page 8	富勵士演說
page 8	政府不能贊同此議
