page 1	為有田外相進一言
page 2	日使川樾爭電東京請示中日外交策
page 2	日陸戰隊紛紛登陸開入江灣日兵營
page 2	滬市日軍行動緊張軍用品紛紛運陸
page 2	駐漢日僑準備離境惟日領事尚否認
page 2	非常時期日本外交三相會議已決定
page 2	日領須磨訪吳鼎昌晤談二小時辭去
page 2	滬某外報有意挑撥財部某秘　闢謠
page 2	日報發有背景之言論對宋哲元下警告非屈服即辭職
page 2	中中交三行運銀赴粵補足毫券準備金中行負責當局之談話
page 2	行政院昨開例會桂各廳長人選決定以雷殷長民廳黃鍾岳長財政邱昌渭長教廳韋雲淞長建設
page 2	遠東俄軍積極擴充實力
page 2	淩士芬抵廣州報告調查北海案
page 2	傳唐海安失蹤
page 2	任免事項
page 2	討論事項
page 2	報告事項
page 2	中日交涉已入嚴重階段日朝野注意蔣行蹤蔣左贛留宿一宵昨午抵京日艦將在南京示威陷有威脅談判作用東京故造緊張空氣用意在對我威嚇
page 3	議員龐萊發言
page 3	延會晚間續開
page 3	財長起而答辯
page 3	政府禁金出口
page 3	國聯政治總辯論顧大使出席演說
page 3	顧維鈞演講中國狀況
page 3	加總理演講加國態度
page 3	王克敏不就職張弧準備上場
page 3	黃紹雄重主浙政明日正式視事
page 3	中國銻產執世界之牛耳
page 3	華北日軍今日起大演習一部在平市界內一部在豐台附近
page 3	多拉多城陷落後西國叛軍進攻首都
page 3	內長加拉查演說否認西國將遷都
page 3	葡政府徇英法勸參加不干涉協定
page 3	日警吉岡舉行警察葬禮
page 3	滬華界禁煙工作收得極大效果斷癮者萬餘人
page 3	本年八個月菸草進口甚鉅值國幣千餘萬
page 3	川省發生地震
page 3	宋哲元昨歡宴重光葵下午重光葵赴平
page 3	各國金融狀況
page 3	美國海軍宿將維廉森士逝世
page 3	李維諾夫駁希特勒演詞
page 3	韓復　長公子昨舉行結婚禮蔣伯誠代蔣致訓
page 3	英大使昨赴津定十四日赴京
page 3	中央銳意開發海南島
page 3	邏屬華僑購機捐款熱烈
page 3	孫院長邀宴中樞要人
page 3	佛郎貶價我國無大影響財政專家衛挺生談話
page 3	法眾議院開會貨幣案發生大辯論
page 4	第二日比賽情形
page 4	黃博昌額堅那都在粵再決雌雄地點在長堤青年會時間三日晚七時半
page 4	世運選手歸國過港今晚夜深抵步該輪明晨六時離港北方選手原輪北返體協會或有難開歡迎會之嘆
page 4	鐘聲社職員選出十月三日舉行就職禮
page 4	友誼足球賽中華會對飛機隊今日五時在大石鼓
page 4	南華開賞月大會在游泳場有歌曲戲院助慶
page 4	中南書院開水運會陳日記捐會公開賽獎品
page 4	南華會太　拳術班報名日期尚有一天
page 4	英京銀價仍趨漲
page 4	我國足球隊在英兩戰詳情　輿論界一致推許英國人大為驚奇
page 5	實行禁賭後各縣地方款之籌抵王應榆定下月中旬出巡
page 5	王寵惠過港北歸香翰屏等歡送至港
page 5	淩士芬昨日抵省外交署之訪問
page 5	劉建緒昨未來粵
page 5	蔣委員長准贈革命老同志養費
page 5	大批湘米運粵米價續跌
page 5	商店用新式簿記營稅局之呈請
page 5	整理桂金融亦發行公債昨直通武昌車晚上開行桂省會遷桂林之說不確西江各地指定接防部隊白崇禧有旬日後飛機說
page 5	鎢業處之整理粵礦區派員調查已立案商礦區狀況為穩定市價撤銷專賣難照准市價穩定後可增加銷路惟礦業公會又請撤銷派員收買
page 5	蔣委員長北返之籌開國防會議消息外傳開三中會暫無舉行必要國防會議將先國民會議而舉行大軍趕速北撤中之粵路情形武昌車昨日亦停開
page 6	民廳定期截撤地方陋規
page 6	水深不過數尺溺斃婦人之離奇
page 6	習俗相沿市民之慶祝中秋節河南蛋民之謳歌大會南　等鄉之小艇比賽
page 6	全省工商界之國選近訊十月二日舉行初選
page 6	工界選定候選人
page 6	行商競選之形勢
page 6	民政廳長王應榆
page 6	社會局長劉石心
page 6	廣東高等法院昨訓令所屬各級法院云
page 6	各黨政軍當局自接鄒魯歸國消息
page 6	防空處長華振中
page 6	省府主席黃慕松
page 6	劉維章
page 6	藉婚迷騙之奇案一度相攸即與試婚如意即成卒之虧本如此訂婚亦太草率心有不甘相訴警局
page 6	黃濤調織後之石井兵器廠近訊職工入市往返恢復半價乘車
page 7	教育界竟　此醜事耶十一歲女生控校長強姦公堂上述被姦經過歷歷如繪惟被告絕對否認有不法行為
page 7	獻機祝壽會定今日發出捐冊國醫學會停宴捐資
page 7	英美法貨幣協定成立後中國對外貿易將更順利羅渣氏對國際金融局勢之預測
page 7	中國方面
page 7	國際方面
page 7	華南前途
page 7	反對蓄婢會今午開週年大會
page 7	鄒魯歸國今午抵港省當局備花車來迎本港各界開歡迎會
page 7	蕭佛成離港赴暹今午與子松堅等偕行易地養　歸期難預定
page 8	市政衛生局會議
page 8	荷印華商向港商徵求貨樣昨致函華商　會
page 8	遊遍了華北影星黃柳霜昨日抵港祖國給她的印像這回不同了留戀故都的美景和愛說國語
page 8	修水渠跌斃一命
page 8	佛郎貶值後本港經濟將較佳
page 8	僑美華商周崧昨日抵港
page 8	日來氣候乾涸須防喉痛
page 8	汽車失事傷六人
page 8	東華醫院招建萬善綠緣醮棚
page 8	衛生醫官報告
page 8	颶風吹向廈門
page 8	兵士強姦少女疑案
page 8	嬰兒醫院之近況
page 8	海壇輪血案三審
page 8	五賊深夜劫漁艇損失現款白餘元
page 8	周曹李三鉅綽公開介紹郭泉為國選候選人社團名冊直接交回辦事處不須送華民政務司署審
page 10	初級法庭案彙誌
page 10	竊水箱蓋
page 10	被解潛回
page 10	苦力行竊
page 10	藏有紅丸
page 10	駕車不慎
page 10	大石滾下壓傷坭工
page 10	女青年會舉行賞月
page 10	皇后映花情蝶義
page 10	平安映雪山情侶
page 10	美國運港空郵失蹤
page 10	陳母出殯之哀榮
page 10	載客過多艇主被拘
page 10	男子服毒自殺獲救
page 10	英美艦之調動
page 11	經濟壓逼下之犧牲者搭客之跳海自殺遺書謂無法養家
page 11	慶祝統一會已奉電暫緩舉行
page 11	禁賭後之地方經費
page 11	舉行禁煙賭大巡行
page 11	蘆苞增加警費反響
page 11	九江西方昨告火警
page 11	公路車一日斃兩命
page 11	新會會城二千餘元劫案
page 11	開平厚山鄉暗殺沉屍案
page 11	三匪械劫大岡車渡
page 11	九江塌杉壓斃三命
page 11	區鄉調解不必定用書式禁止擬定格式製售
page 11	漁人獲硬殼巨魚
page 11	土芋業公會再請撤銷專賣電
page 14	使館昨又兩度會議
page 14	分電有田川越報告
page 14	東京訓令業已到滬
page 14	市府重申敦睦邦交
page 14	犯人已有線索可尋
page 14	田港屍體昨已軍葬
page 14	閘北廿五日之情形
page 14	馬氏弟兄被捕
page 14	張榮和亦就逮
page 14	三嫌疑人解訊
page 14	日本侵略華北之可驚第一步獲相當結果第二步調整交涉謀使華北脫離中央
page 14	日侵內蒙實為對俄
page 14	戰場將在察紛省境
page 14	謀將平津併入偽滿
page 14	日水兵被狙擊日軍藉口護僑越界我提抗議日軍撤退情形和緩日外陸海要員在使館兩度會議會議結果分電有田及川越報告滬市府布告重申敦睦邦交命令三嫌疑人廿五解特區法院審訊
page 15	亞拉斯加漁業建設較加拿大尤勝粵省府派員赴該地考察參觀各大漁場冷藏所研究魚類保存方法
page 15	一年好景君須記橙黃橘綠憶哀州以產夏布著名每年出口百餘萬穀米柔軟香甜不要菜可吃三碗
page 15	調整談判內容如此
