page 1	　歐亞大局
page 2	豫南我軍開始向Ｘ進擊雞公山附近要點已被我某軍佔領
page 2	晉南殘Ｘ陷入四面楚歌我軍猛攻張店之Ｘ安邑運城近郊劇戰
page 2	偽蘇民廳秘書被刺斃命
page 2	三月來湘鄂一帶Ｘ死傷逾萬人損失軍器輜重亦重大
page 2	蘇北我軍克復海門
page 2	中央庚款會議決撥款在甘滇黔設中學三方面均在籌備進行中
page 2	歐亞機被Ｘ機追逐被迫降落滇越邊境德籍機師一人受傷
page 2	襲擊目的已達我軍退出開封預伏一營在南堤斷後Ｘ軍不察受猛擊重創
page 2	襄陵縣長奮勇抗Ｘ被擄
page 2	津浦路鐵橋被我炸毀四座
page 2	昆明擊落Ｘ機在麥莊山尋獲尚有一架在尋覓中
page 2	英土談判仍賡續進行土耳其已成為巴爾幹軸心英法予各國保證視土　斷
page 2	滇中華職教社召開幹部會議黃炎培將赴滇出席
page 2	Ｘ梅津市中將其實墮機斃命晉南Ｘ軍開會追悼
page 2	英海軍部將恢復婦女服務團
page 2	Ｘ機轟炸廉江倒塌房屋甚多
page 2	Ｘ傷兵五千餘名運滬
page 2	五四為青年節中央通令全國策動青年響應
page 2	日內閣會議討論歐洲局勢五相出席交換意見
page 2	粵我軍攻入增城贛迫近高安城郊浙贛粵湘交通已回復舊態
page 3	美眾院前議長鐵爾遜主張廢棄中立法農長提議促進對外貿易為此敦促政府制定法案
page 3	英法兩首相演說一致聲明援助希羅地中海或巴爾幹必須維持現狀希望意國早日撤退西班牙駐軍
page 3	英首相宣言
page 3	法總理宣言
page 3	法西斯黨大會決議意皇兼為阿皇意民反法情緒高漲
page 3	戈林將於今日正式拜會意相
page 3	對英法兩首相演說各方均致好評英政府黨員希望英蘇關係作有具體之調協以應付時機
page 3	阿持里演說
page 3	邱吉爾演說
page 3	歐洲局面緊張意大利反法情緒高漲希特勒生辰將有異動
page 3	德春季海軍演習在西班牙海面舉行英海軍當局予以密切注意在直布羅陀趕築防禦工事
page 3	托洛斯基與居停發生意見托氏將離平民之家
page 3	西將成為國際事變中心
page 3	羅馬白畫舉行防空演習斷絕一切交通至達十五分鐘
page 3	甘省加緊推行國民精神動員蔣電朱紹良嘉許
page 3	Ｘ機侵擾五原
page 3	羅斯福將發表演說警告集權國家歐洲大戰一旦爆發美將發經濟助英法
page 4	九龍關新稅費
page 4	婦女防空教練兩人考試及格
page 4	東亞銀行最近募債成績
page 4	葉貴松招待聖約翰救傷隊
page 4	廣州美專畫展今日在金陵酒家開幕
page 4	警察當局大捕擅售肉食小販擅賣肉食違犯衛生則例菜販數人亦被拘返警署
page 5	汾水江失而復得
page 5	江門戰仍在棠下
page 5	江會間最近情形
page 5	各渡船乘機加價
page 5	李務滋嚴整陣容
page 5	犯香洲純係誤會
page 5	圍增城我軍克高增墟我機又炸Ｘ陣
page 5	我各路大軍反攻中廣州Ｘ軍頒佈戒嚴條例陸上水上交通之遮斷
page 5	潮汕警備近訊召開軍事會議南澳未復交通
page 5	粵南海面Ｘ艦疏散運到軍器甚多
page 5	陳慎榮部改第四區縱隊
page 5	李漢魂指示黨務工作方針犧牲小我為大我不因私事誤公事
page 5	增城Ｘ竄城內我軍圍攻之血戰詳情十三夜增城仍在混戰中太埔等地Ｘ陣均被痛擊
page 5	我沿增江推進順利
page 5	增城郊外血戰經過
page 5	Ｘ困域中容易攻克
page 5	太埔九和又有激戰
page 5	粵省府續辦農村貸款　期借款百萬已向四行接洽中組織專責機關並訓練指導人員
page 5	恢復各縣農貸委會
page 5	進行撥付貸款基金
page 5	我飛機隊在順屬沙頭炸Ｘ之情形Ｘ伊木躍水逃生李兩逆避入小艇Ｘ兵死三十餘人馬十餘匹
page 5	李漢魂計劃平衡各縣物價韶商自動裁制操縱
page 5	江會戰事我克汾水江大澤轉危為安某鄉長談江會淪陷後情況
page 6	粵省救濟難民工作概況
page 6	我游擊隊連夜襲羅村與陶師廟Ｘ營Ｘ猝不及防被我擊斃數十人
page 6	省府整頓後方警政令各縣呈報近狀攷核
page 6	我遊擊隊　襲番禺Ｘ營Ｘ　傷亡卅餘人
page 6	　車站地雷爆炸斃Ｘ百餘
page 6	廣州傀儡更動
page 6	財廳積極整頓稅收繼續裁舉苛雜
page 6	地稅方面
page 6	稅捐方面
page 6	　德政　壯丁改編游擊總隊
page 6	東江　僑服務團派員視察團務
page 6	餘毒不清症無愈時
page 6	國立中山大學同學會近訊
page 7	成績良好
page 7	繼續試放
page 7	法人環飛世界昨日乘機抵港
page 7	青年救護隊開赴南雄服務
page 7	廠商赴澳考察團昨日參觀各大工廠認在澳辦工業實最適宜駐澳英領事設茶會招待
page 7	至難民營
page 7	鶴山僑商運米回鄉散賑
page 7	飛剪機復在澳門停降
page 7	各大工廠
page 7	另眼相看
page 7	接近內地
page 7	婦女兵災會響應徵募短衣運動決向粵慰勞會認募五萬套將函請各界人士踴躍捐助
page 7	霍近拿首飾公司昨發生巨竊案失鑽石戒指三隻值六千餘元未發覺前曾有三客到店光顧
page 7	商人路遇搶匪捕獲疑犯兩人
page 7	歐局緊張中本港昨試放空襲警報聲音慘厲居民聞之多發寒噤月內再試放俾聽熟易于分辦
page 8	后海灣海賊劫客艇
page 8	十賊劫去大批木油
page 8	四邑商會擴大賑災運動
