page 1	美日關係之好轉難
page 2	綏我軍報告攻克包頭經過我軍奪回包頭鎮之目的在阻日乘黃河結冰西進
page 2	美政府關懷華北美僑貿易因受日方種種限制已趨衰落美僑被日侮辱財產被炸統計
page 2	豫南日軍為我追擊予以最後掃蕩
page 2	日機轟炸滇越鐵路法向日政府抗議
page 2	吳佩孚追悼會定期舉行
page 2	鄂北我挺進部隊已獲重大戰果包圍馬坪克復魏家集猛攻隨縣日軍極驚惶
page 2	井里汶商會電請緝汪
page 2	托縣日軍進犯被擊
page 2	顧孟餘決不從汪已表示顯明態度
page 2	從化日軍紛向廣州潰竄東江犯楓溪日軍敗竄潮城桂南唐報一役斃日三百餘
page 2	贛北我軍克馬迴嶺
page 2	贛各界慶祝粵北勝利
page 2	阿部辭職係既定事實昨往觀日皇報告時局將召集內閣緊急會議應付時局
page 3	得考慮之德軍優劣富於戰鬥精神缺乏作戰經驗
page 3	李宗黃播講新縣制之實際
page 3	西班牙政府致教皇備忘錄願與任何一方合作以謀恢復歐洲和平
page 3	芬軍機槍陣地掩蔽週密陸上之人不能見之
page 3	英空軍在北海救出三艘貨輪
page 3	蘇日商務談判現已開始
page 3	蘇製茶葉在德幾為絕市
page 3	美欲改良關島港口表示美不願退出遠東美國始能實現此項計劃可在心理上獲相當效果
page 3	日否認向法要求運械助華
page 3	英國空防制度須要澈底改革
page 3	傳英巡洋艦忒薩特號沉沒
page 3	英正建告一隊新戰鬥機
page 3	英油船伊路蘇號沉沒係仍觸中水雷
page 3	土國地震損失死二萬五千人
page 3	波蘭民族委會將在法國開會
page 3	美商務部報告黃金輪入總額
page 3	蘇聯人民注意我國抗戰
page 3	馬奇諾陣線種種配備已次第完成法對馬奇諾陣線信心益大
page 3	蘇報分析日經濟困境戰事已使日生產貿易減縮去年日本入超四萬萬日元
page 3	粵北俘獲日顧問感我優待願留華服務
page 3	日本政局問題與汪極為關切繼任人為近衛汪偽政府可成立倘由別人組閣汪須再隱忍期待
page 3	蘇北日軍蠢動為我迎擊受創回竄
page 3	美下議院議員多數主張制日倘日無美國接濟其軍用品則日本對華侵略早已崩潰
page 5	欽邕線我南北挺進
page 5	七區嚴密肅清匪奸
page 5	電茂各縣趕速備戰
page 5	雷州取締非法組織
page 5	陳村偽軍自動撤退吳飛令袁帶派隊入陳村江會日軍對偽軍之防備
page 5	陳村收復後之市況
page 5	綏靖陳良公路交通
page 5	江會方面戰情仍寂
page 5	廣州娛樂場中發生炸彈偽職員受傷
page 5	日艦又在大鏟騷擾寶安糧食恐慌亟待救濟游擊區封鎖線急宜改善
page 5	東江之戰時準備東寶惠傳碉樓限期拆卸掃蕩桂山土匪鞏固後方治安節省無謂消耗取締新年舖張
page 5	限期拆卸碉樓
page 5	粵北我軍攻入從化城挺進神岡官村鳳院日軍續向南退清銀線我軍我日之劇戰由新豐南潰日軍之狼狽
page 5	攻入從化城之巷戰
page 5	清銀沿線戰事激烈
page 5	龍門我軍反攻永漢
page 5	撲擊共和約場劇戰
page 5	博增沿線戰事續起
page 5	肅清桂山土匪
page 5	廣州金融潮動盪中日軍又大捕市內商民聞指為高抬物價
page 5	取締新年舖張
page 5	民樂市克復後空舖發現日屍搜出怪字條
page 5	佛山普君墟偽軍隊部被焚
page 5	欽東我軍之捷音攻克鳳凰墟日軍遺屍遍野欽洲灣日艦頻頻往來載兵增援欽邕線我軍北攻亭子南下那曉邕寧日軍四面受包圍拚死掙扎
page 7	散處新界我難胞擬遣送回里中英官紳昨討論辦法寶安縣長亦來港參加
page 7	寶安新任縣長來港
page 7	各方希望繼續賑濟
page 7	中英官紳會商辦法
page 7	勸諭回里毋使淪落
page 7	大批輔幣到港
page 7	粵省僑匯昨已恢復匯東江款免收匯費電費
page 7	青年獻劍團募得萬四千元
page 7	歐亞航空公司照常收寄包裹
page 7	粵北桂南死傷日軍紛紛運返廣州紅花崗整日焚屍臭氣薰天數十間學校改作臨時醫院
page 7	王正廷昨返港
page 7	琴齋書舍展覽會昨開幕
page 7	西商會解釋星洲禁不起港貨入口辦法織造品不逾規定數量仍准入口在禁止範圍內貨品決拒絕輸入
page 8	最易惹火
page 8	當場跌斃
page 8	威靈頓街巨劫案疑犯三人罪名註銷警方仍請港督解之出境
page 8	三賊劫雜貨店
page 8	文化團體歡迎粵劇界服務團
page 8	些路頓任中區裁判司
page 8	市民認購防毒面具本月十八日開始登記
page 8	四十六人
page 8	越華僑服務團第四批昨抵港
page 8	黃旭初請太平劇團義演籌款賑濟桂省難民
page 8	義軍第四炮兵隊舉行一週紀念
page 8	失蹤之少年楊寶祺已尋獲
page 8	銅鑼灣防空班今晚七時開課
page 8	汽車輾斃婦人
page 8	今日足球聯賽南南迎戰蘇軍光華對抗洋水兵香港會逢米杜息
page 8	明日有一幕棒球義賽為青年救護團籌款
page 8	記者旅行沙田後日分兩批前往
page 8	今夕女籃賽程
page 8	學界友誼籃球賽廣州與華挫香江
page 8	棉花為惹火物舊樓不應作棉花工場上海街大火案昨日研究終結陪審員發表意見望政府取締
