page 2	讀西報發表孫文密函書後　三
page 3	黎元洪令李根源為航空署督辦
page 3	曹錕吳佩孚保林俟廷長桂沈鴻英幫辦軍務
page 3	羅文幹宣布十一年公債分配用途將發表
page 3	馮玉祥有巡閱三特別區張福來亦有督豫說
page 3	京警廳廿三日追鍾世銘還押不准保
page 3	王寵惠否認曾電陳炯明接洽統一函警廳向中央通信社查究
page 3	廿五日閣議楊熊祥任農商次長本月放鹽餘百萬
page 3	靳雲鵬運動長魯
page 3	梁如浩奉命接收威海衛即日開議
page 3	公使無國籍勸告速遵太平洋會議裁兵
page 3	財長羅文幹擬借大款借新還舊化零為整所餘作裁兵費
page 3	國務院派代表赴皖商裁新安武軍
page 3	民八議員積極社同情預備奮鬥國會第三期常會開會必大衝突
page 3	靳雲鵬電曹錕吳佩孚派代表　津會議奉直息爭靳擬段祺瑞加入調人段不允
page 3	唐在復電稱國際聯盟委員會選舉華恐落選按華原佔一席
page 3	罷教風潮將次寢息
page 3	請總商會會長籌商存款抽籤事
page 3	清理北江軍案之忙碌
page 3	謀殺案判結麥華被控謀殺陳燦一案
page 3	輪船公司報告
page 3	平山命案
page 3	是否圖劫
page 3	新債基金道勝銀行尚抗議安格聯對簽字亦未全允華銀團又嫌折扣小節前難發抵押借款祗允四成
page 3	粵漢鐵路工潮解決工人佔勝利已允復職
page 3	李廷玉離贛來滬贛民決派代表迎謝遠涵
page 3	安福系王郅　得保洛諒解將可開釋
page 3	美日對中東路交換意見王寵惠囑施肇基抗議按華會決定第三國不得參議如美日換文中國不受束約
page 3	無錫有開埠訊
page 3	日俄在長春會議廿五日決裂日俄代表均離長春
page 3	張作霖對直計劃一派代表赴津聯絡段系陽示和平二派心腹赴滬勾結民黨製造空氣三積極備戰與某國訂購大宗軍械摧翻吳佩孚達其復仇目的
page 3	九月廿六號北京電
page 3	上海電
page 3	鍾秀南清厘官產
page 3	黃強回省報捷
page 3	京傳馮玉祥督皖張福來督豫府院均否認
page 3	財部允酌發一月薪過節現銀庫票搭付
page 3	議員范殿棟質問日築天圖
page 3	路設哈爾濱取引所賽事國務院函農商部查覆
page 6	免唐閣令由饒漢祥擬稿
page 6	第二十四師開往灤州
page 6	贛省攘奪省長之外訊
page 6	禁煙會議對於我國之決議
page 6	摩托車輾斃人命案
page 6	打單案
page 6	被控拐帶
page 6	西醫生被控
page 6	潮汕災區待用藥品
page 6	被控開舖票廠
page 6	搶竊案
page 6	被控在花叢騙竊
page 6	重慶將有群英會發現
page 6	法艦離港
page 6	修改稅由之外報記載
page 6	京贛人反對李廷玉長贛
page 6	董康被毆案業已判決
page 6	王寵惠承認八校長要求
page 6	王揖唐譯書出版
page 6	銀價
page 6	傳染症報告
page 6	向中醫生打單案再押候
page 6	被控向優伶勒索案
page 6	屋租訟案
page 6	水渠不通被控
page 6	中華國寶銀行遷址
page 6	違犯工務司則例判罰
page 7	陳永善之計劃
page 7	分兵進剿番屬賊匪
page 7	郵局通告
page 7	長春會議決裂續聞
page 7	法國海員罷工近聞
page 7	近東問題
page 7	舉報官產例誌
page 7	清省輪船在南沙被賊截擊
page 7	市行政會議紀要
page 7	第一師已開往肇慶
page 7	海豐祝壽之招待法
page 7	高州三個失運縣長
page 7	工團對葡議案之實情
page 7	司法界請補紙水之批駁
page 7	軍官媳婦亦被軍士截搶
page 7	靈山兵禍之報告
page 7	廣東工界之勞動立法運動續昨
page 7	焚燬小北外煙廠
page 7	瑣聞一束
page 7	日本對海參威移交軍械之否認
page 7	連縣防兵之更調
page 7	蘭軍准添招一營
page 7	大埔縣立中學罷課之原因
