page 1	一九三九年之世界總賬
page 2	奉新仍在我圍攻中
page 2	我軍再擊白晉公路
page 2	上黨戰事猛烈進展
page 2	通城日軍一部潰退
page 2	徐懷生連長英勇戰績往返李林彈雨保全機槍多梃
page 2	蔣委長電泰國請保護我僑胞泰國總理電復表示注意保護中國僑胞
page 2	蔣委員長去電
page 2	泰國總理覆電
page 2	粵戰時服務團發動民眾合力守土動員大批人員積極開始工作
page 2	包頭戰利品運抵綏西展覽
page 2	越界築路區英僑勿納稅偽市府滬　領事之勸告
page 2	青陽方面我軍續克據點多處
page 2	意志願軍二千將赴芬蘭參戰但因運輸問題未有日期出發
page 2	皖省黨部改組
page 2	財部擬具計劃輔幣實值超過法值改定輔幣成色重量並加鑄二分輔幣一種定廿九年元旦日銀行
page 2	傳逆之妻出殯
page 2	粵省當局澈底整頓稅收
page 2	史蔑氏主張禁美廢鐵出口將大受打擊
page 2	德傳英海軍破壞西領水界西將向英抗議
page 2	英大使卡爾今日赴渝傳與天津白銀案有關
page 2	愛爾蘭日報支社被暴徒投炸彈
page 2	赤柱聖土提反中學暨附小招生
page 2	我機在南寧附近施威日數聯隊崑崙關殲滅日軍放棄深圳及附近區域
page 3	土耳其地震災情慘酷死傷人數估計在十餘萬被毀滅災區二萬餘方里
page 3	臨川小簡
page 3	日外務省致新訓令於駐蘇大使指示其對蘇交涉漁業問題方針料日大使將與蘇外長再度會談
page 3	慕尼克炸彈案牽涉戈林
page 3	德警察通緝德國鋼鐵大王鋼鐵大王最近離德國反對希特勒聯蘇政策
page 3	美學生代表慕禮之在黔廣播演說中國新文化在抗戰中即已奠定基礎
page 3	蔣委員長演講關於憲政問題三促成憲政與實施訓政相需而成訓政具體工作是實施地方自治
page 3	英商輪一艘被德潛艇擊沉
page 3	西線方面空軍活動
page 3	孟者士打衛人報檢討中日戰爭日軍無法結束戰事實難獲得最後勝利
page 3	芬向美國購機甚急
page 3	烏限德油船廿四小時駛出否則將被扣留
page 3	日人攝影墨亞索爾砲台
page 3	意國前輩軍人準備參加軍役
page 3	侵華日 軍七項作戰計劃此為最後掙扎方針我已集合大軍防備
page 3	意首相謁教皇行期未定
page 3	荷比兩國商議經濟合作
page 3	英戰鬥艦被德潛艇擊傷自行駛回　國　　艦員斃命失蹤四人
page 3	加里利亞地峽方面蘇聯調集大軍準備與芬軍作一決戰蘇機亦準備協助進攻
page 5	克復大寺黃屋經過
page 5	沿海日艦最近動態
page 5	高雷兩屬備戰急亟
page 5	雷州我軍大戰奸匪
page 5	沙頭角深圳間日軍昨已撤退沙頭角日軍昨撤回深圳由今日起全退原因不明日要員到廣州時戒嚴情形補述
page 5	日機在月夜中再窺西營赤坎情形市民疏散秩序甚佳漢魂張炎慰問當地長官
page 5	肅清龍泉睦洲日偽
page 5	威脅日人之戰耳隊
page 5	新任惠陽縣長抵惠元旦就職
page 5	犯龍門日軍敗退我克龍華圍攻麻搾偽軍蔡紹裘部被我全殲
page 5	節約儲金辦法國幣一元以上可以隨時存儲
page 5	卒將日軍全部擊潰
page 5	日軍焚掠無一倖免
page 5	繞佔黎村威脅大良
page 5	日軍再犯大良在大門等地發生激戰我援軍從金榜馬岡各地開到向日軍圍攻並逆襲容奇沙頭容 良公路兩旁民居均遭焚掠日偽軍侵黎村被我團隊圍擊
page 5	亦被日軍封用運兵
page 5	龍泉方面仍有激戰
page 5	江會方面最近戰情我軍向龍泉反攻之激戰日偽軍繼續增到江會日艇在禮樂河被擊沉
page 5	莞寶日軍最近迭擾各地
page 5	寶安縣策動民運工作動員會改組成立
page 5	省振會通過廿九年度救濟難民計劃設香港辦事處與華僑聯絡救濟難民之各種實施計劃二
page 5	欽　北一帶戰事劇烈蔡廷鍇揮軍攻克大寺平吉再起激戰我日在相持中日艦頻經瓊州海峽增兵欽縣張炎談高電近情及我方之準備
page 7	暗無天日的廣州市日軍頻頻拉伕街上壯丁絕跡
page 7	僑救會各分會舉行戶內售花
page 7	一年來本港航空事業港府決撥巨款擴充啟德機場
page 7	請大眾協助預防肺癆運動請互相勸勉勿隨意亂吐痰涎
page 7	織造業總工會今日舉行開幕禮
page 7	救護隊員毆事務員糾紛
page 7	四賊闖入
page 7	事主談話
page 7	損失統計
page 7	樓門虛掩
page 7	港政府新委任
page 7	西環萬生牛欄寫字樓昨被四賊械劫掠金飾現款共值四千餘元客商周貴奮勇拒賊被刺傷
page 7	錢樹芬昨赴美
page 7	港府將裝設高射炮保護煤氣鼓與火油倉使敵機進犯時不敢低飛投彈電燈電話局等亦有防空設備
page 8	九針海盜截劫貨艇
page 8	兩船赴救轟斃三賊
page 8	又一漁艇被賊截劫
page 8	威靈頓街劫案昨日二次提堂
page 8	英大使未啟程南下刻尚留滬辦理某項要公赴渝任務過港時或發表
page 8	衛生局之議案
page 8	炮兵演習日期
page 8	英戰時慰勞會演劇籌款近訊
page 8	琴齊書社書法展覽改期
page 8	駐滬美領過港
page 8	少年剪舌自殺
page 8	防城災情慘重賑濟會籲請助賑
page 8	國醫學會開同人聯歡會
page 8	南南淘汰光華
page 8	九龍兵敗加山
page 8	小型球
page 8	仿林排籃球義賽昨日舉行開幕禮籃球仿林女中星島均捷排球中大校友力挫　華
page 8	川貝枇杷露
page 8	甲組銀牌第一週南華兄弟均捷五比二哥哥挫光華二比一弟弟克九龍三比三香港迫和蘇皇軍
page 8	明年水鏢租值規定分季繳納
page 8	梁炳祺赴美考察
page 8	香港迫和士葛
page 8	九針海盜劫貨艇兩漁船赴救轟斃三賊並獲疑犯一名交水警署查辦貨艇司舵員亦中彈墮海斃命
