page 1	邱吉爾演詞書後
page 2	我軍攻入絳縣晉城日軍進犯被擊退晉西南日軍傷亡慘重
page 2	駐滬英軍首批　離滬美水兵大奏離別曲各界人士熱鬧歡送
page 2	川黨政軍首要決心禁毒
page 2	程振章重傷逝世
page 2	國立各中學師範科移交所在省教廳辦理劃出各部份原有經費照移
page 2	宜昌日軍犯趙家店
page 2	上下川島軍大部潰退
page 2	我襲擊小董附近克復據點兩處扶南日軍出擾被擊
page 2	蘇運河線發生激戰
page 2	羅斯福謂侯活氏未與政府合作不肯協助政府推行國防計劃柏克爾氏替侯活氏發表辯護
page 2	澳學生同情我國
page 2	日本人口日見減少提倡早婚獎勵生育
page 2	是何居心
page 2	矛盾之極
page 2	英美調協
page 2	川康經建會委員名單委員長由總裁兼任
page 2	贛經我軍進擊宋埠
page 2	北平報紙攻擊德國
page 2	日皇在別墅召見松岡外相討論外交問題
page 2	英御內大臣璧格魯治免職因其思想傾向納粹
page 2	英政府向日方照會關心維持越南現狀英有意將太平洋若干海島讓美日代言人須磨謂此問題甚重要
page 3	紐約時報評論英國空軍堅強希特勒碰到堅強抵抗力一週來閃電戰並無結果
page 3	德機日來甚少活動
page 3	如瘋如狂日機濫炸重慶數萬災黎流離失所全市精華已付一炬
page 3	美批准煤油一批直運往海參威拒絕商人申請運油往日本
page 3	德機損失較英為重
page 3	美總檢察官將與海長商議讓艦問題上院議員維拉氏演說反對讓給驅逐艦於英
page 3	托洛斯基被刺頭部重傷性命危在旦夕兇手偽為托氏熱心黨徒
page 3	加國會將開特別會議通過美加協定美加聯防局名單將宣布
page 3	意亦宣佈實行封鎖
page 3	對邱吉爾演說美人深表同情認為戰爭於英已漸有利
page 3	日郵船四艘運僑離英要求德國保證安全
page 3	索馬利蘭英軍退達阿丁軍實　隨運出
page 3	柏林兩電台停止廣播
page 3	英決在美建設機廠希望在明年下半年每月出機萬三千架
page 3	德再封鎖德法邊界
page 3	意空軍炸擊馬爾他島
page 3	美上議員提議強化運河防禦增加軍械貯存量
page 3	瑞典充實國防動用五百八十萬各朗
page 3	希輪希里號確為意國擊沉魚雷鐵片足為明證
page 3	德外部致一照會美國糾正三項事情
page 3	李漢魂推行六項要政
page 3	貝當謂法未放棄民主政治地位承認法國受德壓迫但法自由未全消滅
page 5	日大小艦凡百餘艘
page 5	白蓮據點失而復得
page 5	重興邁號相繼攻克
page 5	在不獨楓崗爭奪戰日機竄襲黃塘楊梅被我擊傷旱塘激戰萬金沙加緊防範
page 5	進擊西南
page 5	日機空襲
page 5	日犯旱塘
page 5	台山團警進剿土匪國民兵團移駐寨門
page 5	修正私運特種貨物辦法規定應受限制之區域
page 5	粵各公路採用木炭汽車
page 5	韶關疏散計劃完成
page 5	我大軍駐守橫岡一帶現無戰事
page 5	北犯模樣
page 5	逃難鄉民
page 5	日軍突增
page 5	粵東軍事有新部署我出擊桑浦山克烏塔峰控制潮汕路潮陽團隊襲達濠奏捷
page 5	夜襲達濠
page 5	桑浦激戰
page 5	粵青年團徵求傷兵之友共七千六百餘元
page 5	大家去當兵軍政部製定抗戰歌
page 5	桂南我軍三路反攻龍州日軍數千陷入重圍大批日機運輸糧彈前往接濟瓊潿兩島日軍大增準備南進
page 6	我襲大埔毀日機場
page 6	從化西岸再起劇戰
page 6	青年團在廣東團員共八千六百餘人現有十四分團七區隊
page 6	粵路沿線小戰迭起
page 6	中山日軍開放岐關路廿日開始登記條例甚苛李貨物祇准入不准出
page 6	陳嘉庚將抵桂各界籌備歡迎
page 6	救濟失業青年擬縣救濟辦法
page 6	粵各學校實施農業生產每週每人工作三小時
page 6	廣州生活程度日高所謂警察多棄職私逃百餘人被日憲兵拘捕
page 6	曲江縣長調解徭民糾紛
page 6	俘獲日械准各團隊留用第三區專員公署通令
page 6	戰區經委會桂辦事處成立
page 6	日空軍解抵韶日人台人各三名
page 6	我機偵察大良
page 6	廣東省府通令保護郵差
page 6	獎勵公務員參加會計特試
page 6	粵府督儲鹽糧
page 6	粵北我軍攻入大埔機場日營及電油倉彈庫均被焚燬從化可西岸鏖戰我進圍龜嘴
page 7	欲增強國家力量勿忘造福傷兵徵　傷友會勸告未繳款團體請三日內清繳勿再視同　戲
page 7	住客聯會函請九龍汽車公司在新車梯口加設銅柱
page 7	四邑旅港婦孺返鄉誤搭賊船慘被焚劫全船廿餘人僅一人得生
page 7	防空總監史柏堅亦望改善救護員待遇歐籍與非歐籍人員工作相同所得　報相差太遠實欠公允
page 7	史氏評論待遇問題
page 7	本港空防遠勝重慶
page 7	防空演習繼續舉行
page 7	訓練人才並未稍懈
page 7	本　各僑團籌備統一徵募寒衣十一團體昨舉行談話會
page 7	三舞廳義舞獻金成績得款一千四百餘元舞姝獻金亦極踴躍
page 7	商人繼續獻金吳澤華獻國警二百元
page 7	財政司昨深夜頒布法令禁英鈔票運入英國本月廿七日前仍可通融辦理惟須由指定各舉行代為寄運
page 8	過海小輪一部停航
page 8	各線　軍上午停開
page 8	港澳交通整日斷絕
page 8	帝航機仍依　開出
page 8	北角泳場多遭損失
page 8	飛來瓦片擊斃路人
page 8	中英文化因緣續
page 8	本港園林官增僱工人護林
page 8	肺癆症之可怖去週死百三十人
page 8	佛山輪事件短期內難解決英日雙方態度強硬
page 8	滬英駐軍南下三百人今日首途
page 8	郵件藏鴉片押候本月廿七日再訊
page 8	代督巡視北角難民營對露宿貧民將設法收容
page 8	博羅同鄉會演劇籌款賑災
page 8	我國鎢砂運美海防日檢查員不敢干涉
page 8	本港葡僑悼巴波沙博士
page 8	少年服毒自殺
page 8	違犯郵政則例一男子被處罰
page 8	省振會與福利會聯席會議改期
page 8	印警文星被控鎗殺侶
page 8	港府招考華警
page 8	代督改期巡視廣華醫院
page 8	車輛失事統計去週死一人傷廿一人
page 8	商會圖書館實有擴充必要去年閱書者十餘萬人
page 8	颶風昨日威脅本港海陸交通均受阻滯學校停課泳場多受損失商場冷淡異常昨晚天文台仍高懸八號風球
page 10	勵進域會游泳對抗改期今夕舉行地點仍在中青泳池
page 10	中華體協會委員會議須俟微詢六團體意見後方召開
page 10	傑星會新職員
page 10	青年會籃球隊決定週末征澳
page 10	港澳埠際乒乓賽擬十一月舉行
