page 1	新生活運動與香港
page 2	劉蘆隱解鄂法辦各項要件供詞一併解送劉家屬亦派人隨同照料
page 2	變相走私外商避重就輕外貨改由張多關進口財部派員前往辦理稽征並請冀察政會切實協助
page 2	駐日大使許世英已辭職定六日乘加拿大輪歸國魏道明將任政院秘書長
page 2	滬各界領袖歡宴余漢謀余席間致詞希望國人協助粵省建設粵省困難問題以幣制及糧食為最切
page 2	行政院例會決議呈請國府公葬朱培德任命馬步榮為青省委　建設廳長
page 2	報告事項
page 2	任免事項
page 2	蔣委長推崇朱培　功績
page 2	川樾抵京
page 2	我國法庭辦理西僑案件
page 2	盛傳日與匪偽商妥讓出察北六縣
page 2	台灣農民攷察團在閩攷察農業
page 2	陳公博力辭民訓部長
page 2	接洽陝省財政事竣孫蔚如昨日離京返陝吳克仁等聆訓完畢同返西安二批聆訓將領明日由陝飛京
page 3	汪昨由滬抵京
page 3	歐亞公司向德購巨型機
page 3	運粵湘米統計
page 3	日原駐華軍一部乘艦返日
page 3	中暹協會積進行籌備所有章程刻已草竣一月內即可望成立
page 3	日煤向我傾銷土煤大受打擊
page 3	醫院管理局考察團在京開始考察
page 3	中政中常兩會明日照常舉行
page 3	惠通新機招待各界試乘
page 3	桂林厲行禁煙
page 3	金憲章等昨日由並返綏謂在並時備受歡迎
page 3	冀察徵集出品參加巴黎博覽會
page 3	西京民團反攻頗為得手
page 3	西海監察計劃發生波折意德兩國提出異議葡意兩國又反對主席提議不願全數召回在西志願兵
page 3	意法西斯黨決議擺脫一切軍備限制決定意國軍事化五大原則十八歲以上國民一律武裝又須與西國叛軍維持密切之聯絡
page 3	叛軍準備放棄多拉多城
page 3	里賓特羅甫演說德急需殖民地
page 3	招商局輪開辦廈菲航運
page 3	滬英水兵被辱案雙方和平解決
page 3	日在馬來獲鐵礦讓與權
page 3	經建總會在贛籌設國　廠
page 3	英駐德大使易人
page 3	芬蘭新總統就職
page 3	美工潮已較和緩
page 3	小幡酉吉拒絕出任外相佐籐當為最有力之外相候選人但佐籐又為某方反對尚有問題
page 4	普通界男子籃球今晚有四場比賽
page 4	特別銀牌本星期準決賽六日南華南對西洋七日鄒鳳對華塞斯
page 4	馮強樹膠廠獎勵長途賽跑捐贈天銀鼎三座銀盾一座為獎品
page 4	英銀價遠期報跌
page 4	省法幣價昨略升
page 4	八九金市價微起
page 4	省西紙市價回降
page 4	公開草地網球昨續舉行黃福南苦戰勝拉撤此外各場不甚可觀天氣陰霾觀者仍多今日續有單打八場
page 5	四路軍各師長多已奉召返抵廣州候余總司令返粵宣示防務之機宜
page 5	五路軍暫編六師
page 5	土布出口稅問題財部未批准豁免公會決再呈請求
page 5	官商通力合作救濟米荒最近各方情形越僑撥縮食存款辦米函請商　平糶請政善檢驗湘米標準之批覆商善界辦平糶之多阻
