page 1	參政會與國民大會
page 2	蘇軍開入維爾諾城維爾諾城地方政府現仍繼續執行職務
page 2	波蘭聲言繼續抗戰德軍屢攻華沙東郊傷亡重大仍未得逞
page 2	西線德軍局部反攻但卒被法軍所擊退現在雙方各守原防
page 2	澳政府目前不欲派出遺征軍出國待將檢討時局情形再定方針
page 2	國府明令公佈縣各級組織綱要壹
page 2	湘北日軍企圖大舉南侵分兩路犯新牆河我反攻克委梅洲
page 2	英將袖珍聖經發給前線將士經內載有英皇諭旨
page 2	昆明發生地震
page 2	豫東我軍攻入蘭封豫北克復西向
page 2	一法機單獨飛入德境被六德機圍攻仍能安然無恙
page 2	美軍用機一隊由檀香山飛往岷尼拉當局未有將機數與航路宣佈
page 2	英照會日海軍當局禁逃日德輪配備武裝如有此舉動即系破壞中立
page 2	紐約交易所金鎊價格突漲
page 2	芬蘭輪船兩艘被德軍艦截留
page 2	法戰時內閣決議決不接受德和平方案德比邊境德軍有神秘軍事活動德或企圖衝過中立國進攻法國
page 3	德國民族
page 3	東歐之局
page 3	蘇蘇關係
page 3	英法兩國
page 3	英方痛斥希氏演說
page 3	對希特勒演說各國所取態度美不重視淡然處之意國則持緘默態度
page 3	英對遠東政策並無變更英外次長畢拉氏答覆亨德臣質問
page 3	傳駐華蘇大使潘諾金將赴滬
page 3	須磨對記者談謂美排日情緒甚緊張但日本係美國之一大主顧希望日向美提議訂新商約
page 3	滬名人季雲卿被暗殺中一彈傷勢甚重
page 3	匈在東京已設立公使館
page 3	英皇到英倫西部視察軍隊操練
page 3	墨擬購買避入墨領德輪
page 3	印度禁止英籍男子離境
page 3	日禁物價高漲
page 3	我空軍炸潮安
page 3	在但澤歡迎會中希特勒發表驚人演說不認侵略波蘭謂將使用一種秘密武力從事作戰英對希氏演說嚴重斥駁
page 5	激戰頗烈
page 5	珊洲東利涌彼無進展
page 5	昨晨有日機不斷擊犯
page 5	江會之戰事再變激烈
page 5	昨日橫門外不斷炮聲
page 5	內河有小輪到處騷擾
page 5	新開路戰事最近情形
page 5	南路當局備戰續誌適齡男女編隊受訓桂省各地先後被炸
page 5	粵訓練六十餘萬幹部積極推進戰時行政各縣鄉鎮保甲長輪流集中講習省府已擬定辦法預算通令舉行
page 5	廣州市南各鄉我便衣隊活躍小港河面深夜激戰
page 5	經費概算
page 5	日軍再圖犯南頭大　被我沿岸團隊擊退
page 5	粵省府重申登記產業禁令
page 5	韶各界舉行禁煙宣傳大會並通電擁護禁煙
page 5	日軍侵大鵬各地續訊在該地搜索鎢礦我團隊阻　再進廣九路肅清匪患潮汕方面之近訊
page 5	崖樂兩縣縣長易人
page 5	東江匪陳王嬌被擒
page 5	橫門再增日艦張家邊昨又戰情激烈江會戰事緊張大澤之拉鋸戰內地河道封鎖各地輪渡停航
page 7	各輪公司均接密令
page 7	各輪照常接載貨客
page 7	法輪亦採同樣步驟
page 7	明晚燈火管制演習海陸交通停止廿分鐘由九時十五分至卅五分止防空總監勸市民謹守法例
page 7	海盜又劫貨艇掠去貨物約值三百元
page 7	雙十贈旗籌款商賑會已積極籌備
page 7	港府司庫易人
page 7	郵件寄發一概須經郵局
page 7	美大無線電生日間回國服務
page 7	順德籌振會賣物會將開幕各界紛紛捐助貨品
page 7	港府修正與敵貿易法宣布魯麟洋行為敵國商行
page 7	避免德潛艇襲擊英法商船均秘密航行開行與抵達目的地日期絕不公布客商附貨可直接向輪船公司接洽
page 8	嫌疑人物須受查詢
page 8	特許執照不准借用
page 8	扣留物品處置辦法
page 8	名園街紅丸案昨判決五犯罪名成立分別處徒刑
page 8	富隆餅家之月餅
page 8	銅鐵行商會九週紀念盛況
page 8	港僑自衛團訂定當值時間
page 8	光華製衣工場被匪撬門竊去巨款店伴發覺捕兩疑犯拾回紙幣二千餘元
page 8	青年會游泳團昨夕二次檢討成績團體六人接力南華獲首名
page 8	南華週年水運會提前今晚舉行
page 8	夏令籃球準決戰勵行獲決賽權將與虹虹爭冠軍
page 8	校際籃球聯賽報名展期六天因各校延期開課所致
page 8	港府頒布防衛法例補充條文授權執行當局查究可疑人物任何特許執照得隨時取銷之
