page 3	澳商賑災
page 4	目擊災情者之佈告壹
page 4	初三下午六時第等因海明輪船米七省賑災之便遂決意偕舍弟竹雲往省探望戚友順携餅十藥物以便沿途散賑或可補善團之不及翌晨
page 4	目擊災情者之佈告弍
page 4	澳門鏡湖醫院籌賑廣東水災捐局
page 4	七月十九接佛山電
page 4	佛山日大火由豆豉巷起燒去舖約千餘間現火己熄各舖俱失不貲
page 4	十九號下什六點鐘北京特電
page 4	袁總令財政部再撥拾萬兒自己再損壹萬元救濟羊城水災又令廣東官廳拘拿七十弍行商報訪事郭肅如責以偽造黎副總統電文之罪
page 4	同日報社公電
page 4	岑金鑑將為福建巡按使
page 4	曾月生將派為道尹
page 4	北京設模範省
page 4	關賡麟覊留黃海門保釋放
page 4	安徽肅政史參梁士詒
page 4	山西將軍辭職己淮以袁乃寬代之
page 4	禮制館議城隍宜否參入祀典
page 4	遺產稅將實行
page 4	雲拿士保險公司借銀五萬元會同某潮州商所捐之欵購米運粵賑災
page 4	羊垣最近之消息
page 4	放炸彈之人已止法
page 4	積厚坊炸嬋詳情續誌
page 4	大火後之慘狀
page 4	偵探又來作怪
