page 1	我國糧食國防問題
page 2	現閣政狀覓求經濟文化提攜以為政治交涉開端
page 2	華北特殊所謂碾平外交途徑積極亦可消極亦可
page 2	經濟提攜協助中國五年計劃存　問題銀行決定
page 2	關稅問題一面鼓勵對華輸出一面努力修改稅率
page 2	投資華北歡迎採取積極方式特種貿易現在研究
page 2	觀察情形日前調查中日關係困難尚多未可樂觀
page 2	朝日新聞著論促日政府注意切勿放棄大陸政策
page 2	日眾院討論日蘇懸案注重在漁業協定
page 2	蔣委長赴杭小遊傅作義下月晉京向中央請示張群吳鼎昌抵滬稍留即返京
page 2	日第三艦隊司令長谷川赴京拜訪我當局該艦隊統轄大小艦二十三艘分佈於中國沿海及長江一帶
page 2	比王抵倫敦討論比國中立問題所提計劃英法政府均不同意法冀比不解除三國參謀協定
page 2	德意恐有驚人舉動在西助戰意軍敗退中意相趕返羅馬西叛軍謂法在摩洛哥活動向法英抗議西政府拒絕援助叛軍之國家擔任監察
page 2	西政府軍乘勝繼續進攻
page 2	福海輪突遇颶風沉沒溺斃乘客百餘人
page 2	日對華真面目既喪國土豈尚須認錯佐籐發表荒謬言論滿洲事件要求中國反省所謂供給中國借款協助中國建設即將在華所得利潤再度投入中國
page 3	日將答覆英國拒絕戰艦備砲限制謂單獨招待質的限制違反軍縮之真正精神
page 3	兒玉談會商經過雙方意見融洽
page 3	國藤謁秦德純
page 3	蔣電劉湘指示救災方法積極推廣農村放款並談根本救濟方法
page 3	林主席過湘南下
page 3	賀國光談川省擁護中央近雖微有謠言究係傳之過甚
page 3	滿鐵五次計劃預算決定一萬萬元
page 3	孔祥熙抵京謁蔣作出國前請示孔下月初出國行程定四個月此行順道考察各國經濟建設
page 3	美展會展品開始陳列此次入選展品達三千件以上
page 3	西藏學者喜饒嘉錯晉京當局準備盛大歡迎
page 3	央下院以二零二對一零六票否決工黨之空軍概算修正案國防高速大臣宣稱政府整軍計劃四月一日可成立飛機一百零三隊
page 3	中央舉行仲元殉國紀念居正報告鄧先烈生平勗黨員愛護革命同志
page 3	英將取銷鋼鐵入口稅鼓勵鋼鐵來源
page 3	平津大雪平地積雪尺許
page 3	南京舉行光復十週紀念
page 3	德國政教衝突關係日形惡化
page 3	國際糖業會日將拒絕參加滿意協定恐難成立
page 3	意顧問史丹法尼將抵滬
page 3	美參院通過海軍經費案
page 3	馬利謨拉號輪已完全被焚燬
