page 1	所得稅開征以後
page 2	廣田覲見日皇上奏中日問題
page 2	日方積極進行實現南進政策
page 2	華北各地日警出張所之增員
page 2	華北日駐屯軍強佔塘沽鹽灘
page 2	軍政部擬訂蔣委員長祝嘏辦法所在地各軍政長官應詣邸叩賀不送禮物亦不必舉行慶祝大會
page 2	討論事項
page 2	行政院例會議決案褒獎孔祥熙等辦理義賑成績首都特快車限制乘車條例
page 2	論價不成被擊兇犯肇禍後逃去
page 2	陳誠昨在行營訓話大家努力奉公
page 2	調整緝私陣線總稽查處遷津短期內即可實行
page 2	堀內對記者談開發華北經濟範圍包括農業改良修築鐵路公路等項
page 2	任免事項
page 2	楊文道上訴狀昨送高二分院
page 2	駐俄大使蔣廷黻定期赴俄就廿四日離滬赴海參威
page 2	淩士芬來港交涉九龍城遷居案向洪府磋商遷移費
page 2	桂入舉行慶祝遷治大會
page 2	傳達日政府對華侵略方針桑島昨攜新訓令抵京桑島抵京後即與川越須磨會談對華政策蔣介石定今日下午在軍校接見川　大使
page 3	各國使節準備赴京參加國慶典禮
page 3	三國貨幣協定我國深表同情
page 3	京市商界推定國大代表
page 3	我國對國聯政院理事當選希望頗多
page 3	駐滬各國防軍將向日提警告
page 3	日海軍急激派主張積極侵華
page 3	日運送艦淩風運械駛過大沽
page 3	西叛軍集中卡狄斯預備向馬德勒進攻以摩洛哥土軍五千為前鋒南路陣線政府軍迭獲勝利
page 3	及川電請桑島干涉長江國防
page 3	滬日在鄉軍人開始夜間演習
page 3	孫連仲部協助導淮有功陳果夫製盾相贈
page 3	遼寧義勇軍增至三萬餘人
page 3	開濼煤礦盛傳有出賣說日產業公司社長昨日赴唐山考察
page 3	廿一屆國勞大會海事會開會我國代表趙班斧之演詞提案下我國海員與外國海員應受平等待遇協助我方取締包工制及押櫃金制度
page 3	浙童軍千人晉京參加大會
page 3	冀察委會定雙十節檢閱全市學生
page 3	英工黨代表大會通過贊助政府不干涉西內戰政策並請政府調查法西斯黨之組織及財政
page 3	我方三提案
page 3	日又向宋要求開發華北經濟
page 3	羅斯福在大選時將得工人擁護
page 3	波蘭宣佈不變貨幣政策
page 3	匈牙利總理甘布斯昨逝世匈內閣日內將改組
page 3	意幣貶價後減里拉金成分取締商民提高物價
page 3	英國繼續推行重整軍備政策馬可麥唐納之演講
page 3	清理冀察私貨財部尚未確定惟各方多主張仍由海關辦理
page 4	獅獅女子旅行團籃球隊興師犯港明晚首對飛燕隊
page 4	市長杯籃球賽準下月中旬開幕報名日期十七日截止
page 4	日世運游泳選手昨過港原輪返國我代表司徒光陳振興昨已返港
page 4	粵秀會舉辦市長杯絨球比賽俟簡章撥定即開始報告
page 4	第三屆全港公開英文中學校祭水運預賽情形本月九日舉行決賽
