page 1	歐戰之新階段
page 2	殘日死守棗陽附近
page 2	鄂北我軍進展順利
page 2	鄂北大規模運動戰
page 2	以剪形戰術我掃蕩米　附近殘日良口以南地區日軍即可全殲我克復金雞腦蜈蚣山等據點
page 2	桃林日軍南竄遭我痛擊
page 2	漢奸顧立峰遇剌斃命剌客從容逸去
page 2	蔣總裁關懷僑胞吳部長之談話
page 2	晉南中條山我軍進襲同蒲線各據點武裝保護農民夏收
page 2	日機七十二架又襲重慶近郊重慶被空襲為第四日日轟炸機一架被擊醫治
page 2	日方謂意必將參戰
page 2	滬一英人寓所被匪行劫結果行劫不成主人被塞斃命
page 2	馬六甲僑胞王受天捐私蓄贊助傷兵之友
page 2	豫南大捷後各地偽軍紛紛反正陳維漢王祥齋率偽軍千餘痛擊日軍後向我某部投誠
page 2	澳洲聯邦總理昨對群眾演說自由之火搖搖欲滅
page 2	在滬挪威輪船多數轉憑於英將可恢復航行
page 2	棗陽外圍日軍肅清襄花路為我軍切斷犯豫南鄂北日軍死傷六萬餘
page 3	比軍降德約三十萬
page 3	英軍作戰經過良好
page 3	哭而不去的儡傀一
page 3	哭　許哭去卻不去
page 3	二日本的承認問題
page 3	比境聯軍準備退卻
page 3	英國空軍炸敵成績
page 3	比王降敵經過前後
page 3	比政府計劃在法編組新軍英報一致抨擊比王降敵法報傳說比王已抵比京
page 3	美國國防政策適用於全美洲組織一特別國防委會以實施國防擴充計劃
page 3	蘇聯積極外交行動以支撐巴爾幹相信將來即使意國參戰巴爾幹亦可免牽入漩渦
page 3	戈林手段毒辣殘害俘虜聲言有一德俘虜被害則以法俘虜五名抵之
page 3	荷蘭傀儡舉行成立
page 3	德跳傘部隊在荷下降萬人有七千被擊斃
page 3	愛爾蘭總理稱加緊國防步驟保持中立地位
page 3	北線聯軍與敵搏戰掩護主力部隊退卻挪威北部聯軍勝利克挪威克丹刻克加萊斯仍在聯軍手中
page 5	五塘一戰重創日軍
page 5	我軍一度攻陷蘇墟
page 5	粵南戰事轉移欽西
page 5	羅翼群已趕程南返
page 5	廣州米價飛漲之裡因某漢奸勾結台籍人壟斷
page 5	加緊推行國民兵役鄧揮出巡粵南各縣　談人民踴躍服兵役成績佳良鄧氏對兼任七區專員說之意見
page 5	張炎辭職由其兼任
page 5	中山九區我便衣隊截攻日汽艇擊沉一艘潛伏順德各地我團隊仍活躍
page 5	粵管區加緊訓練各縣婦女
page 5	犯橋欄村遭我痛擊
page 5	我軍挺進再克鴨洞
page 5	米　殘日加緊肅清
page 5	北犯日軍繼續潰敗犯從化殘餘日軍即可盡殲日再竄橋欄村圖掙扎又復碰壁我再克鴨洞米　殲餘將告肅清
page 5	襲太平場斷日增援
page 5	菜刀不敵長槍被刺殉志
page 5	不向日旗行禮且砍日兵
page 5	中山志士不甘向日旂行禮剌殺日兵從容殉志抗戰中之珍貴史頁
page 5	惠屬沿海形勢張弛靡定遮浪媽宮日艦窺伺頻仍汕尾沿岸又被日艇滋擾
page 5	台山壯丁應征踴躍
page 5	工業合作會發展戰時工業貸款人民設廠並供給各原料
page 5	寶安青年組鋤奸團
page 5	省府令抗戰人員家屬須遷離淪陷區
page 5	桂防空司令部檢閱高射炮隊
page 5	邕賓路戰局穩定我軍反攻一舉收復沙坪犯五塘日軍鎩羽潰回邕寧粵南日軍兩路犯大寺激戰省府撥十萬元藥品分發南路各縣
page 6	前山一帶交通狀況
page 6	各地戰事最近情報
page 6	四邑米荒情形仍嚴重官商積極設法救濟續詳一區專員公署規定米價取締操縱居奇執行存糧調查收買限制米商移米別處三埠舉辦糧食公賣實行計口援糧辦法
page 6	規定米價取締居寄
page 6	執行存糧調查收買
page 6	三埠舉辦糧食公賣
page 6	廣西籌設全省合作金庫
page 6	行營傳令嘉獎賓陽黃盧村民能埋藏大批軍需品日軍退後掘起呈繳
page 6	財廳令禁征收機關違法緝私
page 6	韶關設娼妓檢治所短期內即可成立
page 6	日軍北犯西擾失敗中粵偽省府大受打擊日軍不踐撤離廣州之約袁帶任一區游擊司令訊
page 7	該例目的
page 7	評定限額
page 7	日會議之其他議案
page 7	追加政費
page 7	荷政府停辦航運保險荷印當局組設公司續辦
page 7	元朗舊墟擒獲兩賊一探一賊受傷
page 7	六歲童子慘死車下另一少婦被輾傷
page 7	預防霍亂傳染酒樓碗碟用沸水洗濯學生一律注射防疫針
page 7	地刺華輪傷人案昨判決搭客李良入獄一月
page 7	筲箕灣貧民代表請准緩拆茅屋昨謁見華民司工務司界限街茅屋亦須拆卸
page 7	哥拿輸抵雪梨
page 7	長洲海面又有水雷爆炸
page 7	元朗小販分會定期下月一日成立
page 7	留營難民逾萬較前週增三百餘人
page 7	佛頭門已封鎖僅淺水艦可通過
page 7	立法局另計新例禁業主加租取償載稅發生加租糾紛時應由估價官判斷租金以外不得另索雜費違者重罰防止加租迫遷法例亦繼續施行
page 8	崇正總會捐款萬元建築鯊魚涌防空洞勘視完竣不久可興工
page 8	肺癆症之可怖去週死一百人
page 8	數匹良駒易主昨在馬會開投
page 8	畫家張書旂下月來港開個展會
page 8	潛入村禁區行竊竊匪判處徒刑
page 8	廣東救護會港分會將召集各行商會議辨事處定下月一日遷址
page 8	中山僑商賑濟隆鎮饑民撥七萬元購米返鄉
page 8	德籍少過港港府不許登陸
