page 1	日本與德意軍事同盟
page 2	桐柏山南麓戰局日漸擴大Ｘ所採取之各個擊破戰術均遭我守軍沉著勇猛擊破
page 2	國立各院校統一招生各地　考新生定期分別舉行
page 2	浙西Ｘ交通受我莫大威脅Ｘ各據點連日分別增援企圖大舉包圍我游擊隊
page 2	湘北教會被Ｘ焚毀
page 2	滬時報等多家爭銷憲報聯向滬工部局抗議
page 2	蒙蘇軍司令部發表最近戰報蒙蘇軍始終堅守哈勒哈河東陣地日偽軍始終無法突破蒙蘇軍陣線
page 2	英教士史密士逃難抵平
page 2	傳天津治安問題英日有所決定津英商洋行繼續被搗亂天津糧食日來愈感恐慌
page 2	國內各大學校電英美教育界呼籲希望英對我法幣穩定加注意美國輿論援助羅斯福之政策
page 2	Ｘ機一架在青失事
page 2	衡郴區特別黨部成立
page 2	Ｘ機侵犯閩北
page 2	Ｘ機昨襲宜昌一彈落河面英輪甚邇有一英籍民兵被炸傷
page 2	豫魯察晉水災範圍已逾百縣
page 2	晉東南之Ｘ遇雨作戰困難兩個機械化師團不能動作我游擊隊活躍Ｘ損失重大
page 2	美財長訪英進行談話將涉及中國法幣問題關於天津租界中國存銀問題張伯倫決定須徵詢美法意見
page 3	美兩院聯合議決接納羅斯福之放債案總額達一萬萬八千五百萬元
page 3	澳政府決定建旱船塢
page 3	希特勒在休養中
page 3	英軍一批由印調星
page 3	日本佛教徒的反戰與一個俘虜的對談
page 3	Ｘ在華北籌築鐵路
page 3	英仍可派遣艦隊一部前赴遠東不致削弱歐洲艦隊勢力政府已允澳洲遣艦要求
page 3	德當局突下令逮捕重要蘇台德人將派大員八人赴捷任重職
page 3	顏露爾昨由橫濱返美
page 3	Ｘ反英運動擴大美僑亦被排斥銜恨美政府放棄美日商約
page 3	荷籍教士亦被Ｘ拘
page 3	北路慰勞團慰勞鄂北將士由張繼向全體將士獻旗切望奪回武漢挽救全局
page 3	韋爾斯拒評英相演說
page 3	橫渡大西洋航線經已開始通航
page 3	蘇外次接見英法兩使討論接待代表團
page 3	英國漢沙爾州有一列車撞倒
page 3	德波局勢緊張波軍奉令出動全國軍隊月內集中準備應付非常之變
page 3	荷公主女孩舉行登記典禮
page 3	傳美海軍將向日本示威
page 3	美兩院已休會
page 3	日本加入德高同盟已屬既成事實惟正式締約期現尚未決定日軍事代表團月尾抵羅馬
page 4	本港報販商會定十五日開同人大會
page 4	嚴防盜車匪徒警當局佈置緝捕綱
page 4	潮商會新職員定下星期日就職
page 4	第一劇團義演由十二日起一連三天
page 4	青年救護隊今日戶內獻花
page 4	婦慰會募捐訊
page 4	馬克斯來港商討救濟難猶問題擬派員駐港料理過境難猶現留　難猶已達萬五千人
page 5	Ｘ偽積極招兵情形
page 5	我游擊隊改變戰略
page 5	Ｘ不斷砲擊銀洲湖
page 5	三江睦洲久無Ｘ擾
page 5	中山情況已趨安定
page 5	Ｘ艦仍游弋於大鏟海面西鄉被Ｘ砲轟之損失深圳昨日兩次發警報
page 5	中央撥款趕造民船
page 5	Ｘ機夜襲大坳南頭
page 5	粵教廳社教工作團出發東江推進社會教育預計在惠陽一帶逗留一年以教育啟發民眾抗戰力量
page 5	我機飛石龍黃埔等處轟炸Ｘ重要砲兵陣地毀Ｘ砲壘數座及炸重砲鋼砲到石龍後復活撲進虎門毀Ｘ艦
page 5	粵公務員儲金訂定辦法開始執行
page 5	粵教育廳盡量收容戰區教員學生電嶺東各縣收容潮汕退出員生瓊崖方面派員赴遂溪香港救濟署期留校學生亦訂定維護辦法
page 5	救濟瓊崖教員學生
page 5	維護暑期留校學生
page 5	Ｘ艦砲轟沿岸
page 5	Ｘ在粵南撤大窺襲區域陽江海面Ｘ艦雲集砲轟閘坡防城市區首次被炸損失情形
page 5	粵黨政軍機　決定調整民連機構機工會等團體准存在
page 5	Ｘ機分途飛炸
page 5	江會戰事沉寂中偽軍因爭兵發生內鬨甚劇我游擊隊變更戰略Ｘ受打擊
page 6	馬房我軍擊沉Ｘ艇
page 6	Ｘ犯黃塘又遭重創
page 6	我軍兩路攻入新街
page 6	李主席勉所屬先遣子弟服役
page 6	省務會議紀要澄海縣長易人
page 6	八月一日開始執行統制全部土貨外運情形一律應結外匯盡免出口稅土貨價狂跌裨益民生不少
page 6	南朋疫症流行
page 6	新會便衣探員擊殺傀儡
page 6	中山縣當局請款救濟難民
page 6	廣州偽商會員被人狙擊
page 6	容桂雈苻遍地東村及藍袍墟洗劫東村大市失贓約共四萬餘元匪與偽警激戰雙方互有傷亡
page 6	粵當局積極防範牛瘟現曲江封川有牛瘟發現
page 6	台山糧食價格飛漲中下產人家無不叫苦
page 6	三埠鄉民募款購機
page 6	新會各公路鐵路破壞完竣各線已化路為田
page 6	何先生端發出告民眾書就任番禺國民自衛隊長
page 6	財廳指定台山為捲煙入口地
page 6	新開懲治貪污
page 6	西北兩線最近戰訊三水Ｘ圖犯黃塘被我腰擊新街橫潭Ｘ我迭有爭奪戰
page 7	粵劇界服務團昨成立中委羅翼群到場監誓
page 7	太古輪船試航星洲
page 7	大幫貨物無法起卸
page 7	行走本港海防間外輪現已增至四十餘艘燕地喇輪又決定改航此線運海防貨物過多無法起卸
page 7	中山僑商電請保衛鄉土
page 7	兩女學生墜坑一溺斃一失蹤
page 7	珠江封鎖今日解除
page 7	小童十一名被拐赴星販賣幸為當地移民局發覺截回該批小童年齡均未滿十歲
page 7	黃泥涌道撞車案後備警察慘死
page 7	馬加仙峽新督府將興建
page 7	六星期內海陸發生劫案十八宗劫匪百餘名均攜有犀利鎗械掠去財物共值一萬六千餘元
page 8	香港的女烈士
page 8	上環發生血案學徒斫傷同居
page 8	青洲劫殺案漁女尸體尋獲
page 8	公開棒球聯賽中華昨挫西洋因雨祇賽五局成績為十比五
page 8	港九教聯會明日行成立禮
page 8	南華南遊隊連勝兩仗一比零克星洲華聯三比二力挫軍聯隊
page 8	夏令籃球賽虹虹擊敗警察大觀對大中改期
page 8	日　糧食告荒出口銳減入口激增安南暹羅米石源源運港接濟華北華中糧食輸港數字減少
