page 1	火石城事件與美蘇邦交
page 2	犯呂梁山日軍被我殲滅過半聞喜東南日軍已呈不支鄉寧殘餘日軍不難殲滅
page 2	阿拉斯加發現最古愛斯摩人居留地現仍遺有房屋二百間估計約在二千年以上
page 2	蘭封日兵車觸雷爆炸我軍乘機猛襲日軍死傷無算
page 2	滬杭路迭被破壞日軍寢食不安
page 2	江門日軍被我擊潰
page 2	新會偽挺進隊全部解體遭我痛擊潰不成軍
page 2	皖南我軍反攻克吳田舖
page 2	蘇駐日大使過瀋赴日
page 2	日機炸石帽山
page 2	重慶仰光間定期空郵成立第一架郵運機已起航全段航程需時六小時
page 2	北海日艦　集廿八日共十二艘
page 2	滬市近郊我軍活躍異常閘北吳淞一帶緊張異常寶山日軍夜間不敢開城
page 2	英海軍截留運中立國糧食中扣留船上穀類
page 2	戰事影響星洲錫膠增價以前失業華僑均已覓得工作
page 2	英籍女子替我向美廣播解釋本土工業合作運動
page 2	滬西安和寺路發生騷擾暴徒大戰華捕黑夜槍聲卜卜
page 2	萊蕪以東魯村一度淪陷我軍猛攻克復
page 2	美中立法案預測可通過下議院我對美中立法案暫無表示因其尚未能對日充份制裁
page 2	千架運輸車運輸產物給美
page 2	捷克國民人心未死捷克國成立紀念日捷人舉行示威運動
page 2	我軍迫近淮陽在城郊猛烈進攻
page 2	上海英籍教士開公眾祈禱會為華北教士等祈禱
page 2	立陶宛已接防維爾拿
page 2	印度軍一隊開到法國前線
page 2	南昌西郊我軍活躍武寧日軍被我包圍奉新日軍被擊傷斃七餘人
page 3	德蘇現行談判德圖移讓商輪
page 3	英空軍雪夜遠征德國入德境時為霧雪所籠罩仍能完成任務安全飛回
page 3	軍委會發表一週戰況十月十八日至廿四日
page 3	芬京民眾愛國遊行表示人民願意抵抗侵略指斥一切違反公利行為
page 3	須磨否認日與英美談判承認美大使將訪野村但只係討論尋常事件
page 3	薩爾區初度降雪前線戰情沉寂法總理秘密赴西線視察英陸軍大批陸續抵法境
page 3	由波回來德軍一部譁變德令十中殺一示懲
page 3	德軍將總攻之謠係由德方所傳出
page 3	美人克爾曼發槍射擊偽警自稱曾擊斃數日人事後調查所言不確
page 3	日機分批進襲陝甘各地
page 3	南非政府成立一客籍軍征募外籍人入伍
page 3	戰爭負擔繁重日本財政破產下屆預算支出達五十萬萬元又須發行大量公債以為彌補
page 3	土耳其共和成立十六週年紀念各市鎮熱烈慶祝
page 3	傳圓瑛已被解往南京
page 3	蘇聯否認蘇軍開入羅境德瑞將作經濟談判芬代表團三度赴蘇
page 5	日機又再轟炸三埠
page 5	日軍向江再增二千
page 5	昨日雙方仍有激戰
page 5	寶安日軍停築深圳機場被征工人將改充偽軍
page 5	廣州市東郊我團員破壞日軍運輸交通石牌段橋樑及黃埔支線鐵軌均已破壞
page 5	財廳函各郵局停止匯兌毫券
page 5	李漢魂兼任某集團軍總司令
page 5	多得一元多活一命汕頭善團為災民呼救人民流離失所籲請各方救濟
page 5	省府令嚴懲違法瀆職警員
page 5	各縣軍訓教官不得私擅拘辱省府令各縣長遵照
page 5	粵省銀行利便僑匯全省匯兌網將完成中行設檳城代理處
page 5	東寶稅局歸併惠陽局後新局長將接任
page 5	省府令促各縣組傷兵輸送隊
page 5	東江日軍強捕鄉人補充
page 5	封鎖淪陷區辦法
page 5	台山等六縣黨政聯議結果完滿議決要案二十餘件決嚴密封鎖淪陷區
page 5	整理博羅墾場
page 5	梅菉米價高漲官商合力救濟
page 5	北海商業冷淡商人請援例免結外匯
page 5	台山各界慰勞前線將士
page 5	廿八日日機再轟炸三埠仍不斷向江會增兵故佈進犯三埠疑陣前晚我軍奪回蓮塘
page 7	英國朝野團結一致
page 7	倫敦空防設備鞏固
page 7	海軍派艦保護航行
page 7	目擊潛艇轟沉商輪
page 7	英政府不限制收聽各國播音
page 7	難童工讀院將設大埔已租得莫園大廈為院址希望各界捐贈書桌被鋪
page 7	少女突然倒斃原來患霍亂症
page 7	海軍當局續招義勇隊員
page 7	港府將設委員會專責研究所得稅問題三華人代表將發表意見
page 7	青年記者學會成立週年紀念下屆監理事已選出
page 7	賑聯會今會議
page 7	英輪途中演習遭遇戰砲火威力甚大瞄射亦準確
page 7	美影星安妮莎厭倦銀壇生活隨夫赴菲享家庭幸福
page 7	譚雅士返港談二次大戰爆發後英國人士態度鎮靜倫敦雖曾發出空襲警報三次但空防鞏固德機卒無法進犯同輪搭客目擊英輪被炸沉沒
page 8	兩人結褵
page 8	向之勾引
page 8	有一仇家
page 8	攜備利劍
page 8	隨陳而行
page 8	雅典尼亞輪脫險搭客情況淒涼行李皆已遺失赤手而歸獲救後仍不敢解救生帶
page 8	高級法庭提審殺妾案被告彭如惠自謂神經錯亂醫學教授認其頭腦極清醒
page 8	越再限制貨物過境港越貨運將遭大打擊新例定由明日起實行港行商紛電詢查真相
page 8	英紅十字會去週募捐成績
page 8	節約建國儲蓄券明日開始發售
page 8	富家子三人同時失蹤盛傳被匪擄去勒贖
page 8	體協會將舉辦乒乓單人比賽太古會友賽昨晚頒獎中華體育協進會
page 8	中華游樂會定期舉行全港混合雙打網球賽第一週戰事下月十三日開始
page 8	兇徒刺傷路人
page 8	心嘉杯賽各隊成績一覽淩風鐘聲同分須決雌雄
page 8	南華會旅行消息
page 8	　串同男友圖殺親夫兇手伍光中途悔過到警署自首主控官述次被告勾引陳　經過
