page 1	蘇俄主催之國際會議
page 2	晉西我軍現分兩路向原平推進風陵渡我軍渡河襲敵與敵砲戰平漢線北段我游擊隊克復束鹿
page 2	馬占山電告我軍包圍托縣預料托縣即可攻下
page 2	平陸之敵砲戰受挫
page 2	我方空軍豫北助戰
page 2	　鄉對岸我敗　軍
page 2	于學忠部渡河擊敵
page 2	防我襲擊敵向浙北增援錢塘北岸敵軍被我痛殲敵軍惴惴不安無力東犯
page 2	魯南連日激戰大小太平失而復得我軍渡沂水後分數路追剿殘敵敵亦向各處增援現仍在激戰中
page 2	敵機五架昨窺陝境
page 2	在俘獲敵兵身上搜出毒氣催淚液筒日本公然使用此種禁用品足證明日本實為人類公敵
page 2	板垣師團已潰沂河兩岸岸我軍大勝敵傷亡三四千之多遺屍千餘具我獲戰利品甚多將會師湯頭鎮
page 2	津浦北段空前劇戰我大舉反攻甚有進展魯南我游擊隊張部克復清豐淮河劇戰我克考城包圍定遠
page 3	波牒內文發表限三月底恢復邦交十九日晚無答復即取有效方法
page 3	蘇向立表示實不能援助
page 3	立駐法公使謁見法外長
page 3	蘇聯與波蘭傳已生惡化
page 3	擴充戰費結果日本政府施行惡性通貨膨漲增發紙幣以有價證券為準備金結果必生活程度高漲經濟破產
page 3	美前總統胡佛談歐戰不致爆發
page 3	國府新令三則
page 3	英下議院通過下年海軍預算邱吉爾認為英海軍實力未充足對于主力艦暫不引用哥障　款
page 3	赫爾聲明美外交政策採取中庸之道對國際和平問題未能漠不關心惟兩項絕端傾向則不加以採納
page 3	西戰空前慘劇叛軍飛機狂炸巴城炸死平民千餘人受傷者二千餘人
page 3	英法兩國抗議西戰轟炸平民
page 3	巴城空襲慘酷法副領事炸斃
page 3	傳法為應付時艱將組擴大內閣總統已擬定名單赫里歐為首揆法眾議院通過信任政府政策案
page 3	英國將正式宣佈無意援助捷克因各自治領皆不願捲入漩渦傳英政府將改組張伯倫辭職
page 3	滕縣正面我敵交相抄截包圍
page 3	我軍撲湯頭鎮追擊
page 3	捷克政府決定讓步
page 3	灣沚間我出奇殺敵
page 3	綏遠我軍連克數城
page 3	希特勒宣佈解散德現國會代以德意志眾議院並定下月十日改選
page 3	皖境敵艦窺探銅陵大通敵艦五艘開抵荻港方面似圖登陸我已嚴加防備
page 3	劉文輝等昨在西康就職
page 3	謀打一出海通路波蘭主戰派極力主戰立陶宛接獲通牒　正嚴密考慮波民巡行示威主張即攻入立京
page 4	培正鼎賽戰績今日有兩場
page 4	籃球籌款賽外埠聯隊僅勝港聯蔡演雄陳仕濱美妙表演堪稱雙絕
page 4	皇仁中學昨舉行校運會
page 4	南華再戰哥隊優待學界參觀
page 4	英美匯兌報縮英金牌起兩扁士
page 4	尋常杯甲組足球賽南華華苦戰勝九華意郵隊以零比六大敗於南華今日甲組尋常杯有兩場舉行
page 5	敵機昨三次進襲在佛山石岐投彈順德北溪農民被擊之死傷
page 5	順德北溪農民被擊
page 5	海外僑胞捐款返省救護
page 5	粵府通令海關夜間納稅檢放輪渡
page 5	教部令知自修生待遇辦法
page 5	戰時教育訓練計劃
page 5	私立學校停止補助
page 5	米糠米機兩公會電中央請調劑粵路運米車輛宋子文覆米糠公會電
page 5	粵省社訓實施細則緩署省府頒佈施行日前暫行法已撤銷
page 5	各區行政專員公署輪迴移設轄內縣市經行政會報通過候省府核定實行
page 5	敵航空母艦一艘南移似有進擾南路及廣西之勢警備部所得昨日沿海敵情
page 6	菜欄業
page 6	車衣業
page 6	市救護隊改編後曾市長昨施行檢閱
page 6	梧縣安定食糧籌組糧食公會
page 6	故衣公會積極根絕仇貨
page 6	省佛精武會聯合徵求會員
page 6	劉師長前線返桂談敵動員侵華達卅一師團我抗戰消耗敵力已達目的
page 6	河南警界外匪徒仍甚猖獗南浦河面之劫案
page 6	新會潮蓮鄉人歡迎殺敵歸來戰士
page 6	汕市府積極拒仇貨禁辦安東營口荳　肥料採用代替品
page 6	九區統率會提倡人民懇荒
page 6	新會銀洲湖河面敵機炸沉帆船
page 6	偷掘金礦被拘
page 6	計劃修鑑江橋
page 6	敵機飛過大良
page 6	嚴懲煙賭人犯
page 6	舉行抗敵巡行
page 6	土布業復繁榮
page 6	敵槍擊掃墓人
page 6	潮汕漁民口述敵用美人計誘惑之醜態並以食品作餌漢奸代為傳達忠通漁民不受利用所贈糖品投之海中
page 6	關於工金之勞資糾紛
page 7	離滬之原因
page 7	誓以身許國
page 7	暗殺風極熾
page 7	流亡學生團
page 7	港巴大戰開始巴軍昨在南頭登陸猛攻元朗西線防軍奮勇破敵俘獲多人
page 7	港九戰事同時爆發
page 7	敵軍登陸猛攻　頭
page 7	港艦一艘被敵擊沉
page 7	余總司令明日來港宣慰僑胞並謝捐輸
page 7	戰情緊張炮聲震耳
page 7	二月份對外貿易統計出入口均較去年同月增加
page 7	芽菜坑謀殺案再過堂
page 7	調查屋租委會趕緊呈覆政府住客如有伸訴函件須於廿三日前寄到
page 7	滬戰地救護團及難民三百人昨日由滬抵港救護團將轉赴漢候命再調前線服務流亡學生團同輪南下轉往陝西入校
page 8	浦革斯等昨已飛漢
page 8	雨衣捐款三萬餘元
page 8	雲春霖脫險南返抵港在京奮勇抗戰身受重傷土人收留醫治引導出險
page 8	戰區負傷
page 8	奮不顧身
page 8	盡力保護
page 8	報告一切
page 8	兩貨艇被敵艦　搜幸趕快駛入英領海敵艦未敢任意加害
page 8	香港屋
page 8	英帝航機再縮短飛行時間由倫敦飛香港五日半可達擬改用新機飛航香港曼谷
page 8	高陞戲劇消息
page 8	港庫一月份收支統計比去年同月份節省數倍現存千四百九十四萬元
page 8	婦女慰勞會港分會致函各國援華團體述我軍勇戰及難民苦況並請援助吉隆坡僑胞捐三萬六千元製雨具
page 10	修正酒牌條例
page 10	港滬英軍調防
page 10	凱撤與函德輪最後一次航行
page 10	紀念黃花節各團體之籌備
page 10	痘症死亡人數逾千患痘症不報者重罰
page 10	聖約瑟紀念日九龍安老院巡禮男女老人二百餘開聯歡會由教友親任招待以示敬老
page 11	滇省府擴大紀念週曾慕韓講演最近軍事新形勢
