page 1	巴爾幹之將來
page 2	汪偽府宣傳行政悉受制於日方南京中報擁周反汪汪精衛向各方求援
page 2	我向三塘攻擊激戰甚烈
page 2	日犯高古營全軍覆沉
page 2	浙省府抗戰三年計劃作今後全省共同努力目標
page 2	滬公共租界白晝綁票銀行家鄭燕屏被賊四人綁去
page 2	鄂南殘日被我包圍
page 2	滬納稅人年會幸無事變工部局預算案通過日人反對增稅無效
page 2	國儲明令褒揚宋哲元傳作義給予青天白日勳章
page 2	居正等電唁宋哲元家屬
page 2	宋氏三姊妹聯同向美廣播鼓勵美國人民繼續援助中國
page 2	法軍事代表團抵達土京將與土參謀部開始軍事談判
page 2	美亞洲艦隊巡行中國水界駐菲專使西里赴日訪美大使
page 2	西意兩國將始終守中立哥里亞氏之觀察
page 2	墨內務部長令查究納粹黨人並查究共產黨人
page 2	工部局總董事基士域克當選
page 2	我襲擊增城殲日甚眾
page 2	汴偽軍司令被日槍斃
page 2	偽部接管滬偽地方法院
page 2	美海軍當局多屬意於文遜氏提案擴充美海軍百分之十一
page 2	贛北我出擊捷報頻傳迫近南昌市僅四華里克復向塘進攻瑞昌九江德安
page 3	德將在短期內實行侵略瑞典瑞典經已準備自衛英亦準備對瑞援助
page 3	英國嚴防奸細加緊偵察外籍人活動移民官拘禁可疑外籍海員
page 3	德空軍大炸士加巴河許多重炸彈落軍艦附近沿岸高射砲將德機擊退
page 3	蘇經濟委會經已改組
page 3	英扣留北歐輪船共三十艘
page 3	美國艦隊無須調大西洋
page 3	德軍運艦十七艘在丹麥被封鎖德軍攻陷空斯文格城聯軍在沿海各地登陸
page 3	德以飛機運兵增援
page 3	英機轟炸在挪德軍
page 3	西線戰屈服於亦較活躍
page 3	傳瑪麗皇后號載英軍赴挪威
page 3	英戰鬥艦被彈擊中
page 3	初航士號確被擊傷
page 3	英法波三國政府共同發表宣言重中為波人雪恥決心
page 3	蓋達氏著論攻擊英國爭霸地中海
page 3	日本窺伺荷印與對南洋陰謀一
page 3	艾登演說痛斥納粹主義
page 3	聯軍阻止違禁品經由蘇聯運德海參威入口貨大量增加聯軍考慮採取積極步驟
page 3	美發表正式聲明尊重荷印原有地位荷外相對日使答覆荷對荷印態度並未要求任何一國助荷保護荷印
page 4	長成了的童星莎梨　　正式入學的詳情下離開攝影場踏進正式的學校這是她生活上的一個大轉變
page 5	日軍擾粵最近陰謀
page 5	日在陳村撤組偽軍日軍強征民船
page 5	中央大軍雲集某地
page 5	更調三縣縣長五華蕉嶺陽江
page 5	偽軍突犯崖門沙堆
page 5	粵省黨部委員易人
page 5	陣亡軍人之妻非經六個月不准改嫁
page 5	台山大窿峒優待開墾人民開墾五畝以上得請助肥　費
page 5	日機轟炸陽江陽春
page 5	小董大崗激烈巷戰
page 5	桂南我軍連克七縣我突破粵南日軍外圍尚有二千餘日兵被困在殲滅中彼鬥志縮減為此次在敗之一因路東我軍克那馬壓迫吳村唐報
page 5	日軍大敗有如山倒
page 5	指出我軍勝利因素
page 5	三埠船舶實行編號管理
page 5	綏西將士克復五原蔣委員長傅令嘉獎撫慰死傷官兵家屬共表哀榮粵省政府奉令轉飭所屬知照
page 5	日空軍在三灶築水上飛機場日練習機焚燬機師二人斃命
page 5	日軍南進陰謀未能實現我軍當局早定應付策略西江上下游之水陸佈防偽軍圖犯崖門沙堆我已圍剿
page 6	人民有絕粒之虞南路米貴情勢嚴重當局再電省府呼籲請求救濟廣州灣當局已准許洋米轉口桂米未能南運係受戰事影響
page 6	從化東南爭奪劇烈
page 6	我軍挺進撲攻楊村
page 6	檀香山華僑投資一百萬粵振會籌設華僑墾區韶關難民招待所即將成立三月份海外僑胞捐款踴躍
page 6	籌設華僑墾區
page 6	連平顏族慨捐登金勞軍
page 6	僑胞捐款踴躍
page 6	指揮所令飭惠寶鞏固海防東路九禾市被炸
page 6	各縣組會進行採購
page 6	存穀平糶經已開始
page 6	免稅　米分配完竣
page 6	日軍又向北路蠢動再犯從化城戰事劇烈風雲嶺等地數次爭奪日卒敗潰我軍續進太平均外圍撲攻楊村龍日西北激戰日軍增援圖死守
page 7	防止迫遷法例
page 7	審查戰稅法案
page 7	住聯會推定負責人起草減租辦法準十日內送呈港政府審核
page 7	黃伯才將回國調解服務團事件
page 7	賀惠瓊任港保育院院長
