page 1	讀吳主席治粵方針書後
page 2	政院會議決議要案
page 2	報告事項
page 2	討論事項
page 2	任免事項
page 2	日大使川樾昨返國述職日高信二郎於昨日抵滬即登輪謁川樾請示館務
page 2	川災奇重重災縣份每日死亡二百人朱慶瀾條陳根本救濟川災辦法趕辦農貸開發利源並蠲免苛雜
page 2	關於賑川公債財部電覆劉湘
page 2	廣梅路公債下月一日發行債額二百七十萬金鎊利息六厘三十年還清
page 2	司法院開會議更調冀察青高院推事
page 2	軍委會組織豫皖蘇軍事整理委會于學忠等任委員劉峙為主任委員政院議決衛立煌任豫鄂皖邊區督辦賀耀組代理甘肅省府主席于學忠任為江蘇綏靖主任何桂國為西安行營副主任王樹常為豫皖綏靖副主任
page 3	青黃不接
page 3	目擊情形
page 3	米價日昂
page 3	餓殍載道
page 3	食糧不敷
page 3	全運籌委會昨開三次常會決定各組組長人選
page 3	塞可斯機載運中美航郵所收郵資約一萬元
page 3	英各海外自治領代表對英法宣言多表示異議尤以英法兩國仍保持參謀部互助協定認為有使英捲入歐洲大陸漩渦之危險
page 3	西叛機轟炸瓜尼卡城十萬居民已無瞧類叛軍現已迫近比爾布港政府軍已準備忍痛退讓昨雙方發生首次海戰雙方均無損失
page 3	雙方海軍發生大戰
page 3	叛軍廣播攻擊英國
page 3	西亂不干涉委會軍事專家討論志願兵問題西政府主張摩洛哥兵亦應視同外國人此種主張將影響於歐洲整個軍事制度
page 3	華僑教育考察團今日離平赴青
page 3	宋哲元赴察視察政情
page 3	山東曲臬縣發現漢代石刻
page 3	意德兩法西斯國家進行締結軍事同盟一般意見此項聯盟若能成立聲勢之盛可與法俄聯盟抗衡
page 3	孔特使陳副使分道前赴英倫
page 3	蘇滿邊境駐軍又復發生衝突雙方激戰三十分鍾日軍謂蘇有意挑戰
page 3	冀國術觀摩會閉幕燕趙豪傑聚一堂馮文太馮文亮對　羅家槍老英雄顧瑞年表演齊魯劍
page 3	劉尚清離津晉京請訓預定下月初旬就職
page 3	閩積極移民墾荒墾荒經費二百萬元先由崇安著手辦理
page 3	艾登齊蘭舉行最後會議
page 3	中國呈突復興印象日態度轉緩和孟者土打衛報之評論
page 3	我國台杯選手許承基奪獲白明罕單打錦標擊敗英國著名選手候爾造成優異成績尚有何羅兩君亦分別擊敗英國名選手
page 3	人間地獄成靜生電告黔災嚴重災區已達五六十縣幾遍全省災民以觀音　充饑餓殍載道
page 4	南華遊藝部再組工廠考察團五月一日出發參觀西環工廠
page 4	東亞隊昨北返過汕廈時不比賽
page 4	倫敦銀價昨回縮
page 4	　界排球賽下月十日開幕高級共七隊每星期比賽五日初級小童級逢星期三六舉行
page 4	遠東社職員昨選出
page 4	公開排球報名展期
page 4	足球總會與華人體協會二日決賽督憲杯本週各組計共有十五場
page 5	孫科宋子文定期南來粵幣改革與瓊崖實業之計劃劉維熾中止北上候同孫宋赴瓊崖計劃開發吳鐵城為安定金融候宋抵省切商幣制改革
page 5	宋子良派莊叔遐回粵任務之所聞莊氏又有中止南下訊
page 5	程天固昨召開解決糧食會議記
page 5	曾代廳長整理地方財政
page 5	禁煙特派員公署成立後全省禁政統一問題仍待商決緝私機關尚未歸併須向蔣總監請示禁煙會經費仍未解決
page 5	李白黃電請林部長入桂視察
page 5	粵滬通車籌備訊
page 5	免稅洋米紛紛入口各海關同時開辦登記關於調節會之糾紛案李大超將呈省府核辦省府已派張遠南查覆張氏昨有致李大超函對該會前時各事之陳述並請向該會各委等詢問期無誣枉該會昨日會議決定查明以前情形呈報省府核辦
page 5	虎標良藥起死回生之鐵證請看重慶報紙的記載
page 6	廣九路運貨一律征收濬河捐財部已核准
page 6	撤銷煙葉專賣菸商允增加稅額
page 6	安置瘋疾人昨訊
page 6	農本局在粵建築三大穀倉
page 6	草蓆工會糾紛中職員先行就職工人派不入會
page 6	吳主席之酎酢
page 6	　其務定期公葬
page 6	交部訂定電話接話辦法五月一日起實行
page 6	商會請撤銷厘金變相之農產稅
page 6	內部視察員昨視察省府民廳擬赴廣西一行
page 6	鹽商抵京請願訊
page 6	土布出口稅法窒礙難行該行商定期會議救濟決呈請財部改善手工品按稅繼續向海關交涉發
page 6	開平杜澄鄉憑樓拒捕案三誌捕獲兩匪之供詞廿六日解縣訊辦
page 6	陽山縣命案親屬跟蹤獲一人
page 6	粵省救護委員會五月六日開會討論
page 6	粵漢路局
page 6	中央首次郵航
page 6	名勝建設委員會
page 6	前興中會長宋　
page 6	所得稅與營業稅性質區別之解釋
page 7	各行均派代表出席
page 7	主席報告籌備經過
page 7	維持秩序以禮相待
page 7	慶祝期內種種便利
page 7	潮州蜈蚣加入巡遊
page 7	官紳多人負責點睛
page 7	五龍巡行次序編定
page 7	粵海關入口証已發出洋米八千包昨運省九龍關亦改良登記手續入口証希望今日可發給
page 7	粵海關証
page 7	截止登記
page 7	起運數量
page 7	九龍方面
page 7	會景籌委會公布三日兩夜巡遊路徑潮州大蜈蚣編入夜景五巨龍將由官紳點晴
page 8	法官陞堂
page 8	欠單一張
page 8	係一木箱
page 8	苦力衫褲
page 8	中華醫學會四屆年會報告三本屆增設限耳喉鼻分科研究會新會所建築費現僅籌得三萬元
page 8	英國法律
page 8	生前無病
page 8	一去三日
page 8	前往澳門
page 8	滿戴金飾
page 8	銀業經紀深夜突揮斧自殺疑患　魂　偶感惡夢所致
page 8	沉默寡言
page 8	深夜自殺
page 8	店伴發覺
page 8	患離魂病
page 8	病人發狂跳樓死
page 8	衛生司時症週報
page 8	吳敏墀已抵三藩市
page 8	諫當公司將開年會
page 8	體信學校參觀工廠
page 8	趙族祭陵
page 8	趙族懇親
page 8	殺人焚屍案高級法庭　殺人罪名以悶藥迷人致死亦屬謀殺被告趙煜輝極力否認有意傷害張玉清謂縊勒滅屍等兇殘手段均杜惠文所為
page 10	兩女校演劇籌善款
page 10	衛生局昨開例會
page 10	香港優生會年會二屆職員已選出
page 10	香港拒毒會昨正式成立主席劉景清述紅丸為害之烈為個人社會民族計均應拒絕
page 11	赤坎演馬戲浮橋深夜中斷之驚人墮水者均救回只係微傷數人
page 11	三水縣舉行防空運動大巡行
page 11	南路行車處改委職員題名
page 11	穆洲火油廠之炸彈
page 11	匪徒穿牆入屋強劫
page 11	烏石鄉民擄人真相
page 11	捕獲炸渡匪徒續詳
page 11	匪徒偷魚槍殺塘主
page 11	鹽民因饑荒請救濟
page 11	大良運報艇又被劫
page 11	徵工修築太平基圍
page 11	西平電船煙彈虛驚
page 11	台山上閣鄉白日攔途謀財害命
page 11	西南各行商聯組稅制研究會
page 11	新台鄉民採礦之狂熱山上蓋搭篷寮千餘煙室妓寮應運而起
page 14	上海五團體招待席上沙王報告綏蒙詳情蒙旗交通經濟建設著著進行希望國人著重西北鞏固國防
page 14	華北國外旅行團離津東渡張自忠談此行意義歸來時過青濟返津
page 14	刺汪宋案判決書
page 14	沙王答詞
page 14	抵滬行動
page 14	林王致詞
page 14	　消滅漢文漢語台灣報紙漢文版被廢禁止台灣語竟及家庭
page 15	未來大戰的可怖下科學殺人的新方法
