page 1	羅斯福將提新中立法案
page 2	豫南之Ｘ犯平昌關未逞豫北Ｘ擾柳園口對岸被擊退許良我軍擊退沁博進犯之Ｘ
page 2	贛蓮花縣壯丁自動入伍
page 2	虎雄等骨灰經滬轉運返日
page 2	滬市米價飛漲因Ｘ大事收買
page 2	晉南黑龍關Ｘ出擾被痛擊同蒲路被破壞Ｘ以汽車運彈藥汾西我部獲勝開祝捷追悼大會
page 2	衝入宜興部隊壯烈犧牲後我再反攻宜興城外各據點被佔公路被破壞
page 2	對蘇外長辭職各國之觀察英表示遺憾波引以為慰
page 2	李維諾夫辭職非英預料所及
page 2	一連兩日被Ｘ機轟炸重慶全城變為火葬場傷亡人數約三千全城發生大火蔣委長夫婦親自指揮疏散難民英使館亦被炸英大使表示驚駭
page 2	傳中島部將東犯滬東游擊隊準備迎戰滬西一日起每晨輒聞槍砲聲
page 2	滬各華文報須受檢查不論東主是何國籍
page 2	中央國府紀念五五林主席領導行禮
page 2	海南嘉積之Ｘ為我控制
page 2	鄂我軍渡漢水推進贛我克沙埠潭市奉新Ｘ反攻被我奮鬥擊退
page 3	日外相在內閣會議報告歐洲時局有田否認加入意德軍事同盟謂日本自有其獨立外交政策
page 3	記今木蘭唐桂林
page 3	英美二國準備交換軍需原料英相昨向下院提出報告並將英徵兵法案提出二讀
page 3	德向挪威等建議成立互不侵約目的在於戰事爆發時各該國能取中立態度
page 3	英蘇談判尚在繼續進行英曾與法討論蘇聯提案英政府不久可答覆蘇聯
page 3	波金丹由土返蘇
page 3	駐華美大使在三藩市廣播
page 3	美政府注意歐局發展羅斯福不擬有進一步行動
page 3	波外長在國會演說答覆德國照會關於但澤地位絕對不能變更波蘭願以善意參加和平談判
page 4	廣九路員工五五紀念會昨午在深圳黨部舉行
page 4	捐贈將士衣褲改期招商承辦
page 4	家庭看護攷試及格者數十人
page 4	中藝劇團公演九日起在普慶戲院
page 4	貨艇違例被罰
page 4	打架案昨提審
page 4	要明旅港人士決組織同鄉會
page 4	書畫籌賑會開幕
page 4	中旅重演鳳凰城
page 4	王立明明晚演講
page 4	英賑華港分會昨通過沿門勸捐案決與隊長四十人領隊出發五婦女團體另組一特別隊
page 5	Ｘ縮據點保守陸路
page 5	江會方面醞釀劇戰
page 5	Ｘ撤兵中增援江門
page 5	Ｘ機昨又三次炸汕
page 5	Ｘ艦艇在北街略增
page 5	夏威強化西江防務
page 5	潮汕形勢日形緊張我當局發動民眾武力抗戰張發奎出巡後宣示施政得失英遠東艦隊司令到汕時情形
page 5	中山沿海Ｘ祇騷擾
page 5	李務滋加強游擊隊
page 5	省銀行擬定平衡物價調劑糧食辦法俟呈准戰區司令部後實行
page 5	平衡物價
page 5	調節糧食
page 5	我團隊活躍中容桂Ｘ軍戒嚴
page 5	Ｘ機連日分炸各地
page 5	河南Ｘ兵與匪深夜劇戰Ｘ兵十餘人受傷匪死五被捕十餘
page 5	南路私鹽入桂鹽務總處佈置緝私網
page 5	參議員之報到先開預會審查提案
page 5	地政局請豁免測量登記等費
page 5	財部派員來粵導督財政金融蔣君奇已抵曲江
page 5	財廳清理各縣地稅舊欠辦法
page 5	各方戰事沉寂東西北三江軍情一瞥莞龍Ｘ軍日來無異動Ｘ運彈藥糧食往瑤頭
page 5	增城炮戰時作時停
page 5	太平海面Ｘ艦雲集
page 5	廣州Ｘ軍調援西江
page 5	北江方面Ｘ情一瞥
page 5	鶴山Ｘ縮少據點圖保江佛線Ｘ在鶴撤兵又突向江門增兵最近動態似有再向寧路企圖
page 6	Ｘ機投彈炸汕詳情
page 6	華司令籌設避難站
page 6	成立婦孺搶救委會
page 6	戰時中小校辦理證件規定教廳昨頒布施行
page 6	番從花團隊之活躍襲人和市斷Ｘ交通
page 6	張發奎視察梅縣檢閱軍訓生及廢壯隊
page 6	省振會在西江舉辦平糶已撥出振款二萬元
page 6	逐溪縣府出巡各區提示戰時要政
page 6	海口游擊隊受賞千元擊落過境Ｘ機一架
page 6	中山各界紀念青年節之熱烈舉行炎炬巡行
page 6	寶安近情縣府積極策動民眾
page 6	大良市區Ｘ忽戒嚴附郊游擊隊之活躍
page 6	新會各大善堂積極救濟戰區難民並派員籲請港澳邑僑踴躍捐助
page 6	梧州完成抗戰準備省黨部通令防範奸宄民團後備隊積極訓練
page 6	桂行營通令政工人員應守要點粵軍訓處奉令轉飭遵照
page 6	積極訓練後備團隊
page 6	梧州戰備業已完成
page 6	黨部通令嚴防奸宄
page 6	Ｘ機飛炸汕頭續詳避難與搶救之佈置
page 7	出席人士
page 7	顧問致詞
page 7	總理致詞
page 7	顏氏答詞
page 7	諾貝爾昨返港
page 7	造福深圳農村農村福利會之近況
page 7	中美文化協會香港分會昨日成立宋慶齡王正廷均任名譽會長周壽臣李應林分任正副會長
page 7	珍妮慧芙杜賓夫婦蜜月旅行昨日過港影迷在大酒店開會歡迎播音台請珍氏夫婦播音
page 7	搜獲軍火拘人
page 7	港政府重訂限制迫遷法例新例全文或于今日在憲報發表準備下星期四提交立法局討論
page 7	劫案捕獲疑犯
page 7	膠鞋業極旺盛去年出口總值逾六百萬
page 7	美爾頓大學歡送學生回國
page 7	保良局新總理昨就職舊總理均親自到局辦理移交周俊年致詞獎勉新舊各總理
page 8	一等郵件悉改空郵
