page 1	英國對意採取攻勢
page 2	泰晤士了評論力贊財政援華
page 2	英相將答覆希特勒演說重申英國戰爭目的響應美國解放被壓迫民族德準備對英再行閃電進攻
page 2	德認美已無形參戰
page 2	聲調已低偏於自衛
page 2	戈培爾談再舉攻英
page 2	美政府實行統制銅鐵出口輸出時須請領許可證此例實行日最受打擊
page 2	羅國憲兵撥歸首相指揮
page 2	溫莎公爵夫人在美療治牙病
page 2	英倫海峽發生炮戰
page 2	美國工人願盡力助英國美工聯會主席之表示
page 2	匈外相赴南國
page 2	以備非常需要
page 2	外國糧食運入歐洲英國難予通過恐此等糧食有接濟德軍可能歐洲即真饑饉德軍應負其責
page 2	外約旦王重申擁英誠意英皇賜以勳位
page 2	日本國債數字驚人
page 2	芳澤將赴荷印
page 2	德機襲擊倫敦被高射砲所擊退
page 2	荊門以北日軍已被肅清沙市日軍向對岸炮擊鴉雀嶺日軍一部中伏
page 2	法駐華大使館駐滬部份遷渝
page 2	滬發現傳單向手車夫恐嚇
page 2	第四九四次政院會議議決撥款一百萬元救濟　川各校學生
page 2	美在遠東教士撤退回國當局表示係暫時性暫
page 2	滬警上車不慎跌斃日憲　　逮捕
page 2	粵士兵協助人民耕植實行冬耕墾荒
page 2	閩　組織日蝕觀測委會明年九月全日蝕閩省東北部可見
page 2	野村赴美有期
page 2	英對我貸款原則決定後宋子文將赴英商細目摩根韜召財部要人商財政援英問題泰晤士報評日本政策難望英再遷就
page 3	英勝利在把握決乘勢攻意軍
page 3	希軍繼續猛進意軍兩路潰退
page 3	北線希軍緩進意軍給養困難
page 3	法部激濁揚清獎勉顧守熙等
page 3	津英軍舉行防空演習
page 3	英戰費浩大上週每日平均一千六百萬鎊
page 3	北非英軍猛攻意軍敗退海岸
page 3	美人卡爾遜考察我國工合
page 3	法界今晨又有一部份華籍巡捕罷崗
page 3	土國之軍事代表團最近到阿富汗之首都布喀爾
page 3	阿部信行及其隨員一行
page 3	西班牙輪船門德奧斯號
page 3	新任北愛爾蘭總理安德烈現已到倫敦訪英首相邱吉爾
page 3	美財部定於十二月份發行值五萬
page 3	英眾議院準備討論一法案
page 3	桂各界定日內開會
page 3	南京政權派褚民誼
page 3	東京訊日新派右灣總督　谷川清大將
page 3	泰載互施轟炸法機大舉報復炸擊泰國元當機場泰機亦炸擊老撾巴克斯鎮日少將秋田將赴西貢視察
page 3	意軍侵希慘敗後英軍乘勢反攻北非意軍德意力逼法合作土當局認意慘敗為軸心逆轉徵兆格林伍特謂英已獲最後勝利把握
page 4	唐拾彖先生追悼大會特
page 5	李團長談殺日經過
page 5	南路游擊隊悉解散
page 5	南路行署裁撤問題
page 5	日艦窺擾陽江閘坡
page 5	寶安日軍竄擾烏石岩南頭深圳增設高射砲
page 5	廣州灣法當局否認兩島租日日軍官一度登島視察羅庇和斯接見各紳商
page 5	粵北安定桂戰區並非裁撤
page 5	瓊崖我軍克復邁號會文日犯萬泉沙受重創我一度攻入定安城
page 5	惠陽縣長記過保護電線不力
page 5	韶商減價運動明年元旦起一連十五天
page 5	東江各縣民運蓬勃紛紛組織游擊隊
page 5	日商統制順德蠶絲生絲出口已發生障礙
page 5	唐灝青任韶警備司令限期疏散老弱市民
page 5	日慰勞團赴越
page 5	鄧世增主持欽防濟工作張司令長官定月中南下視察南路游擊全部奉令解甲歸農省府行署定三個月後始行裁撤
page 6	龔楚發表書面談話
page 6	懲戒作戰不力團隊
page 6	中央儲蓄會發行特種有獎儲券每期總額五百萬元頭獎國幣二十萬元
page 6	曲歧線貨運價格訂定米鹽互運成績美滿
page 6	六日日機再炸惠淡老隆河源各地亦遭炸擾
page 6	粵省儲額達五百萬元定二八前擴大勸儲
page 6	粵省強迫冬耕
page 6	我軍頻襲增城
page 6	實際儲額達五百萬
page 6	家庭隊又得二萬元
page 6	第七挺進隊古井指揮所成立龔副司令策劃反攻江會軍事整理國隊及組訓民眾均為主要目的屈仁則嚴懲中由八區抗議不力團隊
page 7	零售米商當感滿意
page 7	政府續商救濟辦法
page 7	昨到暹米萬二千包
page 7	警探繼續調查米價
page 7	德輔中保衛團昨已選出隊長
page 7	筲箕灣街市昨發生謀殺案兩人被刺一死一傷兇手逃去在嚴緝中
page 7	中青救護團下月演劇籌款覺先聲班擔任義演
page 7	學生繪畫比賽今日止截報名
page 7	三善院昨推選新總理馮子英等十四人當選主席人選馮呼聲最高
page 7	防空救護隊改廿一日會操
page 7	英僑反對疏散港府尚未批覆
page 7	英屬土經濟會議港代表團返港會中星注意糧食問題
page 7	糧食統制專員昨已規定批發米價零售商人當無可茬藉口再事居奇行政局討論根本救濟米荒辦法
page 8	多年女友久別重逢
page 8	陳氏自述遇騙經過
page 8	冒認　主圖得傭金
page 8	欲得橫財誤人騙局
page 8	中華巴士公司兩年內溢利百餘萬各地難民集中本港實為搭客擠擁主因
page 8	中國救濟會增設東江醫院
page 8	印刷商人力謀團結將一致加入印刷商會共同應付勞方之要求
page 8	僑匯網組織健全僑款源源內流經省行匯入者月逾四百萬華資銀行活期存款亦激增
page 8	僑匪辦法
page 8	華資銀行
page 8	本月份刑名案提前明日開審
page 8	拐匪事敗入獄
page 8	貨艇遇風獲救
page 8	小錢債案一宗擔　大得
page 8	市民渴望規定柴價柴價續漲貧民叫苦有米無柴何以為炊
page 8	頂電話機被騙
page 8	捕獲劫船疑犯
page 8	歹徒勒索工人
page 8	車輛失事統計去週死一人傷十四人
page 8	青山道撞車案苦力三人慘死尚　留醫院
page 8	大批絲織錦上市
page 8	陳倩如被騙案公審誤入騙局為橫財拍片未成議先開番攤屢搏屢勝結果一敗塗地
page 10	國際杯第一戰中國遇蘇格蘭首週銀牌賽抽籤排定三團體義賽西聯有陣
page 11	德間諜活動費
page 11	戰爭的血液石油
page 11	巴拿馬運河的水閘
page 11	納粹秘密警察的實際指揮者特克海
page 11	英國婦女總動員
