page 2	護法戰爭之是是非非伍訴　國民
page 3	黎元洪退還內閣總辭呈惟顏惠慶仍請假
page 3	黎樹　返京
page 3	國務院通電慶祝國會開會黎元洪預備辭表提出國會
page 3	黎元洪廿八日午在公府開游園會招待兩院議員及疏通組閣各省督長駐京代表亦與會
page 3	洛陽電訊吳佩孚因張作霖時存報復並擬九月再入關故決將駐鄂軍隊調駐近畿又令張福來率隊北還以備不虞
page 3	聞張作霖招葉恭綽赴奉掌理交通並派員在京津收買報館七家
page 3	廿七日閣議顏惠慶聲明八月朔前提總辭職自廿九日起停止閣議故近王寵惠組閣說甚盛
page 3	黎元洪採饒漢祥議擬八月朔發表宣言以備下野
page 3	聞張作霖已將截留客車交還京奉路將復原狀
page 3	黎元洪派莊蘊寬赴鄂查辦劉承恩並疏通湯薌銘到任但聞有人組織鐵血隊拒湯
page 3	劉承恩並疏通湯薌銘到任但聞有人組織血隊拒湯
page 3	董康已購法國船票擬下月中放洋
page 3	廿九日閣議散後顏惠慶向黎元洪面遞總辭職呈文並謂明日出京黎力留謂君去我亦同去
page 3	英美法日各公使以張作霖截留　省鹽稅向外部抗議將嚴重交涉
page 3	黎元洪召王占元入京與商謂王能解決奉事即令長奉
page 3	議員到京人數截至廿八日止參院一百二十八人眾院三百一十四人參院未足法定人數恐難開會
page 3	聞王家襄吳景濂商議參院改開茶話會且以八月一日係繼民國六年開會不另行開幕禮
page 3	聞吳佩孚擬派盧金山率一師入川援助劉湘
page 3	聞東三省議員三十餘人擬獨樹一幟維持東省聯省自治
page 3	莊蘊寬廿八日到漢口湯薌
page 3	銘廿九日早車亦到拒湯迎湯兩派大起衝突將有熱鬧戲看
page 3	黎元洪囑金永炎疏通吳佩孚交還京漢路權俾與張作霖交涉京奉路金覆電謂吳主交通部長不更動須有條件方讓出該路會計但局長仍由吳薦
page 3	金永　由保定回京報告曹錕吳佩孚主國會先制憲緩提正式內閣免生意見黎頗贊同
page 3	七月廿八號北京電人總統命令准顏惠慶之請著外交次長沈瑞麟代理部務又令准晨商總長兼內部總長張國淦之請著內部次長孫殷齡譯音代理部務
page 3	黎總統今日下午召參眾兩院議員遊園宴會國務員及各省督軍省長代表皆請與會
page 3	廿八號天津電張作霖現將京奉路客車回甚多鐵路交通瞬復常狀聞張文擬數　間交回貨車甚多
page 3	北京電某方面消息最近某督軍等因　北　之　勢有再組督軍團之傾向計劃　經成熟有相機活動之態度倘此種風傳或為事實則再有黎元洪前次失敗之局勢出現　　憂之
page 3	北京電據某方面所傳最近　部　政客及與段祺瑞有關係之一派有擁段出山　說　黨某要人對於北事　現時雖有謂反對　元洪廢督裁兵之各督現正擁段以圖力無反抗　謂　由非常國會舉　為總統曹錕副之　圖直兩系之結合　說但段當不輕率出山
page 3	韶關翁源之戰事確報
page 3	帆船與行商
page 3	偵查　濟軍艦伙食
page 3	廿八日北江之劇戰詳情
page 6	五系分贓之新內閣
page 6	戰事消息別報
page 6	西報之帆船　會罷工續聞
page 6	銀價
page 6	　　　雨水
page 6	德國船　罷工　
page 6	美國鐵路煤礦罷工近聞
page 6	英人對中國之論調
page 7	調和澳門　潮要聞
page 7	補述西　　軍失敗實情
page 7	長軍敗於江門後之徐樹榮
page 7	前大漢救傷隊聲明無改組事
page 7	　　拘賭匪
page 7	美艦保護運絲續聞
page 7	給遠　　截　
page 7	貴人初攻燬石獅頭耕寮
page 7	製　廠近聞
page 7	礦商廣大
page 7	粵軍新編　設辦
