page 1	五四紀錄與學生運動
page 2	汪在中央紀念週報告對日態度是抗日不是排日進行經濟建設是根據民生主義製造國家資本中國若要救亡國存須注重於軍需工業之發展
page 2	經濟建設
page 2	誤認病症
page 2	施以破壞
page 2	民生主義
page 2	國家資本
page 2	軍委會發表兩路警備司令胡宗南兼津浦南段警備司令黃杰兼任隴海東段警備司令
page 2	賀耀祖離杭赴滬治甘方針請示後經決定原則顧祝同暨甘各界電賀促駕早日履新賀定九日　機赴西安晤顧後即赴甘
page 2	衛立煌在六安組設督辦公署
page 2	海關為滬日浪人毆傷關員事向日領提五項要求倘日方不能接受所提條件海關當局將作進一步表示
page 2	分工合作
page 2	甘省黨部電
page 2	魯大昌電
page 2	回教團體電
page 2	顧主任電
page 2	馬鴻逵電
page 2	日關東軍認中日局勢惡化已作中日決裂之準備必要時放棄冀東固守長城以北現在長城錦州間建築防禦工事劉桂堂王英張萬慶等匪仍在津某國租界活動
page 3	川災奇重決定緩征田賦軍政費則盡量緊縮
page 3	王正廷昨日啟程赴美
page 3	日高信六郎昨拜會王外長
page 3	桂考察團一部由湘入贛
page 3	宋哲元昨赴津
page 3	林主席在國府紀念週中演講對修正國大法規應有的認識劃分大會職權使制憲大會得專心制憲刪去國府圈定候選人規定以實行普選
page 3	朱慶瀾在蘭唪經祈雨
page 3	許世英耳病漸痊兩週後可出院
page 3	津滬長途電話下月正式通話
page 3	英日遠東合作問題已在倫敦進行談判英政府靜候日方提出具體建議其基本問題乃在調查中日關係
page 3	中研院評議會舉行三屆年會
page 3	日英協調前途佐籐表示失望
page 3	西叛軍北路司令穆拉宣言決踏平比爾波港英政府對此項宣言提出質問叛機飛瓦倫西亞但並未擲彈
page 3	滬大連灣路火警發現男子一絲不掛被鎖床上救火員睹狀大驚將其妻拘入捕房據供其夫患神經病迄今已逾六載
page 3	好事近辛柏生夫人離婚手續辦妥英遜王準備離奧赴法
page 3	德外長赴意聘問討論國防工業合作意國在阿境以重要讓與權畀予德國德以某種經濟得益予意國作為交換
page 3	美新中立法決定六一施行
page 3	日政潮大起波瀾政友會決與民政黨合作務達打倒林內閣為目的林內閣堅決拒絕辭職反對黨大為憤慨政黨指摘現閣未認清責任為憲政叛徒
page 4	奧　德足球隊赴菲表演
page 4	西人體育　組彗星帆船會訂　帆船十艘以供航駛遣長度僅十六尺可容六人乘坐
page 4	尋常杯賽結束各組冠亞殿軍五華隊南南成績最好南華華次之東方初擢甲組獲第三名難能可貴
page 4	南華會徵求五日最後計積分本屆徵得會費近二萬元
page 4	　　界籃球賽華南輕取勵行甲乙組　大勝公教
page 4	傑志小球隊對華僑
page 4	港外匯市情穩靜
page 4	八九金價昨回升
page 4	省法幣市道仍靜
page 4	中紙桂幣價略跌
page 4	滬外匯市情穩定
page 4	廣州金融之市情
page 4	山　人會陳炳滔主理本屆華人公開水球賽續舉辦過去上屆中華人會三得冠軍徵求各會參加月底編配秩序
page 5	潮屬米荒繼以大旱汕市附近發生搶米案
page 5	屈蛇案再發生後汕當局決嚴辦僑務局之傳訊
page 5	財廳會計室擬增設專員五人專員兼充股長原日股長改任一等科員
page 5	祝壽機編特別隊丁紀徐任隊長訊
page 5	財部整理桂金融續訊桂幣比率未確定之原因
page 5	余漢謀報告解決粵糧食幣制問題免稅已蒙中央准維原案幣制比率財部尚在考慮
page 5	民食恐慌
page 5	根本解決
page 5	幣制問題
page 5	聯鄉主任久不到差民廳決一律撤換呈請改調一概不准鄉處經費原案支發
page 5	產物處扣留外商違章運糖遵章補稅准發還
page 5	林雲陔等抵湘籌劃設立審計處謝瀛洲日間南返
page 5	覃振與吳史兩氏商整理粵省司法計劃縣長不得兼任地方法院長中止赴桂定九日乘粵漢車返湘原籍
page 6	筵捐征收區賤視商民下級飯店業之呈拆
page 6	廣州市商會議決救濟商民延報滯納營稅辦法
page 6	程天固等明後日由瓊飛省東西沙　中止前往粵港滬考察團行程
page 6	輪渡電船年季餉定期撤銷
page 6	海珠僑西發生強搶傷人案
page 6	昨報載省政府主席兼保安司令吳鐵城
page 6	財廳沙田登記處八號成立
page 6	廣東省黨部常務委員黃慕松出獄後
page 6	廣東各界援助綏察大會
page 6	粵鹽商又議請規復滷耗鹽免稅赴京請願代表日間南返兩廣鹽務局之整理鹽場
page 7	商人　明手續
page 7	改善登記辦法
page 7	米穀分佔數量
page 7	處置上月餘款
page 7	香港飛剪機星期四日始抵港
page 7	塔門海面六賊挾械騎劫貨艇傷人劫去貨物現款約千元一艇伴拒賊被砍暈厥
page 7	二百囚犯解出境
page 7	西環建築果菜欄
page 7	許啟興改期北飛
page 7	大埔美女姊妹車廣州美女號裝建完成旬日後即開赴廣州可載遊客二十四人
page 7	兩童匪竟截劫路人西婦被掠手袋一個載有金飾值二百元
page 7	求福得禍赤灣天后廟前癲漢砍傷六遊客一婦人重傷有性命之虞兇徒事後從人叢中逃去
page 7	參神擁擠
page 7	大廟一瞥
page 7	慘案發生
page 7	砍傷六人
page 7	免稅洋穀提前運粵本月份米佔六成穀佔四成九龍關定五日發給入口證
page 8	由歐乘到港第一人科士打述歐亞旅途觀感一蘇俄嚴密檢查過境旅客過利物浦車站印象惡劣
page 8	瓊崖心影錄四中央通訊祥記者馮華熙
page 8	交通建設已非昔比
page 8	沃　遼闊宜於牧畜
page 8	幅山乳豬嘆為絕味
page 8	那大材民多信耶教
page 8	萬發園場橡膠錫礦　
page 8	旅店行昨晚會議決慶祝加冕期內收加一小賬
page 8	英兵毆人案提審
page 8	肇和艦今晨出塢
page 8	西環痘症局將改痳瘋療治院
page 8	電器道破獲賭窟
page 8	港日領請假歸國
page 8	慶祝加冕之前夜瓊州砲來兩頭猛虎準備參加龍虎會
page 10	在日舉行
page 10	參加須知
page 10	劫艇案獲兩疑犯
page 10	購緝截劫案匪犯
page 10	湘省女中考察團昨千赴粵取道返湘
page 10	希世寶物公開展覽合意可沽作善舉
page 10	破產事務之通告
page 10	榮興銀號債團派數通告
page 10	扶輪會今日演講
page 10	九龍塢新輪試航
page 10	蒲社畫法類編出版
page 10	林西河堂同人大會
page 10	青年支會辦救傷所
page 10	三團體將宴李樹芬
page 10	英皇贊助香港大學
page 10	太平洋國際少年營將在日舉行會期十日由八月二日起我國派代表廿餘人參加
page 11	百齡老婦謁吳主席
page 11	限期禁絕全縣煙毒
page 11	佛山稅制會會議紀
page 11	搜獲大幫瞞稅絲絨
page 11	大良組營稅評議會
page 11	小輪撞沉小艇索償
page 11	借款不遂扮鬼圖竊
page 11	派員下鄉嚴催地稅
page 11	陽春限鄉鎮成立自治會
page 11	注重全縣童軍訓練
page 11	轉頒　　事項辦法
page 11	輸渡部兩代表在江門忽告失蹤輪渡部據報後昨開聯席會議
page 11	改良廣東地方會計之意見
page 11	番禺械鬥案農村合作委會之呈報請派隊保護開耕
page 14	中國十年來統一的酬報
page 14	中國的人物與人物的中國
page 14	鴉片與老莊之傳統的支配
page 14	國防部長演講暹羅有被瓜分之虞惟有整頓軍力始能維持暹國中立地位暹軍界中人對于暹國現在處境之實感
page 14	暹羅將成為戰場
page 14	英大事增厚國防
page 14	英應付大戰計劃
page 14	結交意國之利益
page 14	結交德國之利益
page 14	結交法國之利益
page 14	結交美國之利益
page 14	大戰決不能避免
page 14	暹羅應急起準備
page 14	中日關係前哨兵卒須磨談廣東精神
page 15	江南三月採茶忙龍井茶製成作概況四獅峰十八棵御茶世界第一新青採摘炒焙手法要敏捷
page 15	由洋行輸出
page 15	貿易日衰落
page 15	比來一病輕於燕扶上雕鞍馬不知
page 15	建設中的西康全省交通正積極推進畜牧事業已設農牧局
