page 1	日加緊進迫與我提出反要求
page 2	日外務省聲明否認有提四條件
page 2	英外交界所傳日提條件之內容
page 2	中日關係惡化
page 2	日傳蔣委長曾一度返京仍即飛贛召集長江各省高級軍事會議日方要求我拆毀長江沿岸砲台華北日駐屯軍向宋警告拒我豐台駐軍滬日文報載我已調兵十四師準備作戰
page 2	日外海陸三相應廣田召開會議
page 2	橋本由長返津華北形勢更嚴重
page 2	日軍對宋哲元又提出三項要求
page 2	滬日文報紀載謂我已調軍備戰
page 2	津浦路柳泉站昨日發生撞車慘劇死二人傷約三十人捐壞機車客車多輛
page 2	廣州行營改編就緒昨日開始辦公何應欽因事未能來粵暫由林蔚文代理一切
page 2	滬日陸戰隊突作戰時準備在北四川路築臨時炮壘佔據要隘沿街布置鐵網架機關槍如臨大敵民居驚恐遷入租界如大難之將臨日司令部解釋謂係臨時預防性質無其他作用
page 3	西國叛軍佔託勒杜後循公路進攻馬德勒弗郎哥宣布為革軍最高領袖
page 3	阿爾加柴群眾歡迎叛軍司令
page 3	西政府昨決議實行計口給糧
page 3	奧利沃爾分別辯論
page 3	右派議員攻擊政府
page 3	法參議院對貨幣案之大辯論全案卒得多數票通過
page 3	李桐華由平抵津視察緝私情形定日內返京覆命
page 3	國府任免命令
page 3	眾議院京開會討論
page 3	總理答復對黨批評
page 3	前財部長發表意見
page 3	浙主席黃紹雄昨日佈告視事
page 3	中山秀雄案定期明日宣判
page 3	滬特區西藏路改名虞洽卿路昨舉行改名典禮
page 3	所得稅二三兩類業於昨日起征
page 3	設置行庭調解爭執
page 3	美南華艦隊司令拜訪粵省當局曾養甫設宴招待
page 3	馬來亞各埠華僑購機募款踴躍達一百二十萬元
page 3	法部核示選舉訴訟疑義
page 3	田代訪宋商談開發華北經濟
page 3	膠濟局收買博山路雙方業已簽字昨日正式接收
page 3	中華護士學會全國代表大會昨在金大禮堂舉行
page 3	意國當局宣言不與亞皇妥協
page 3	歐洲各國之貨幣貶值潮
page 3	美駐遠東艦隊司令馬芬昨晨抵滬
page 3	粵漢路定期雙十補行通車典禮
page 3	閩匪張河山股出擾南靖各鄉勒款五萬元殺鄉民多人
page 3	日軍隊一批在東安被襲擊死十二人
page 3	滿鐵在大連建築大旱船塢
page 3	國聯理事我國將佔一席
page 3	蘇俄新型潛艇百艘秘密抵崴決以海底實力對付日艦經過六千英哩之秘密航程駛抵海參崴決以龐大海底力量攻日本海軍艦隊日俄關係惡化齊齊哈爾俄領事下旗歸國
page 4	港大水運明日在西青會舉行
page 4	我出席台杯賽代表蔡惠全返國抵港蔡談久赴滬
page 4	日選手過港赴滬
page 4	李惠堂之談話
page 4	各健兒之動向
page 4	歡迎會無舉行
page 4	港滬友誼網球賽滬隊定八日南下草地網球會商招待辦法比　日期十一十二雨天
page 4	　記者組球隊訪廣州省方面準備就緒雙十節日作乒乓籃排球三種比賽在西湖路第一師球場為舉行地點永泰公司捐贈獎品
page 4	史無成績也不辱命世運代表團昨抵港亞輝連仁留德疑業四騎士仍效力南華王正廷發且參加世運目的李惠堂談退穩非其時陳鎮和麥紹漢效力九華會黃紀良決放棄球場生活
page 5	整理粵金融公債一萬二千萬昨已發出宋子良飛滬商洽抵押
page 5	水利局昨成立繼續進行之水利建設珠江後航線已製小模型試驗堵塞琶江提撥中英庚款一部
page 5	　江工程
page 5	韓江疏河
page 5	疏濬珠江
page 5	滃江水電
page 5	外僑遷入省會須由各領事証明
page 5	封閉全市煙室訊
page 5	憲兵喬裝賭客破獲東郊賭窟何應欽將南來先派秘書來粵
