page 1	羅斯福廣播與美海軍策略
page 2	侵略國如不放棄獨霸企圖美認為無和平可言決心盡力援助反抗侵略講國非掃除軸心勢力美國難安枕
page 2	英商務代表團抵智利京
page 2	德機再向英肆虐似圖毀滅倫敦特別注意炸意炸擊金融區天氣惡劣英機仍襲德
page 2	匈農務部長提出辭職
page 2	法國嚴寒供給食水運河冰結馬舍全城大鬧水荒
page 2	泰越糾紛解決難泰當局廣播宣佈決索還老撾柬埔寨日輪載運大批軍械援助泰國陰謀改造泰國政府加強親日
page 2	日謀推翻泰現政府
page 2	太平印度兩洋警耗逃日德輪改裝軍艦密航南洋擾害航業英美澳荷海軍會商防範德日勾結陰謀再進一步
page 2	泰越邊境仍有砲戰
page 2	緬記者團昨進謁蔣委員長進呈緬甸名將銀像一尊渝各報聯合會歡宴該團
page 2	日越談判昨已開始
page 2	德將助日擾太平洋遠東時局將有急變
page 2	英美輿論一致贊許德外部考慮又應中
page 2	羅斯福驚人談話發表
page 3	意如再無法阻希進展德將有斷然行勸羅馬尼亞人憤德壓迫轉向親英德人廣播亦認法反德思潮高漲
page 3	非洲　屬傾向聯英
page 3	巴地亞線仍相持中
page 3	法大使館將遷北平
page 3	日荷會商元旦後續開日特使芳澤已抵巴達維亞荷將統制入口報表憤慨
page 3	日陸軍部檢討侵華軍事預料英美兩國加強對華援助
page 3	美國助我大批飛機毛邦初接洽　果
page 3	遠東文明國家大團結東方文協會在渝成立會員在中日韓台越緬印等籍來賓到孫　等多人覃振主席
page 3	不明國籍飛機侵入愛爾蘭境愛爾蘭防軍高射炮迎擊
page 3	意委他斯拿里為糧食總監凡有屯　糧食者將受極刑之處分
page 3	西在加羅列群島建砲兵根據地
page 3	法當局否認一法機被擊落在　布羅陀附近
page 3	意傳有人企圖謀害索特國王英　預此項陰謀倫敦方面　力否認
page 3	晉南日軍受重創張茅大道戰事劇烈京鎮間我軍活躍予日打擊南京日軍在城內大肆搜索
page 3	滬日欲　取前公用局檔案被看更人制止
page 3	委座通令加緊禁絕煙毒苟有種運吸售一律皆處嚴刑
page 3	希馬拉北三鎮陷落
page 3	德軍源源過匈入羅
page 5	儋縣日軍犯大成市
page 5	文昌方面戰情亦烈
page 5	環島公路被我截斷
page 5	桂戰利品展覽定明年元日舉行
page 5	粵切實保護公路路面提高養路費元旦起實行營業自用運輸車均收費
page 5	南路糧食問師已有　計劃
page 5	某藥商談川產藥材市情
page 5	六邑沿海田土一律犁田蓄水了日機械部隧進犯
page 5	日機又炸陽江電白南路設警保水陸巡查處
page 5	魚珠發生大火日軍械軍糧倉被焚傳係我便衣隊縱火
page 5	各地災情
page 5	粵財政廳調整稅率財部派員來粵督察稅務
page 5	水東貨運近訊
