page 2	邦聯與聯邦
page 3	聞河南堰塔縣兵匪劇戰京漢路交通昨暫中斷
page 3	美公使介紹新銀團代表史蒂芬芝加哥大陸銀行副經理愛博德謁黎元洪
page 3	蔡成勳電稱常德盛軍八日克光澤請撥餉接濟但福州電訊許軍收復光澤常勢蹙擬通款
page 3	天圖路約已於八日在奉天正式簽字
page 3	齊燮元十日電京請假廿日葬親由劉玉祥代理
page 3	陸榮廷任桂邊督辦原因聞京府以陳炯明日言援閩又不發兵更聞九省聯邦係陳炯明主動故用陸防陳
page 3	戴天仇奉孫文命赴川七日抵宜昌忽投江屍身未獲
page 3	傳津派醞釀十省聯盟謀制吳佩孚
page 3	國會迫提內閣同意案黎元洪無法應付商王寵惠組正閣王荐曹銳王態度消極十日未到院
page 3	外人對我裁兵查賬無辦法鼓吹華洋合組裁兵委員會由二五加稅項上提的款交會保管作裁兵用財政公開由委員監理論調可注意
page 3	吳佩孚致函黎元洪請察六年往事勿信挑撥又函曹錕言擁護猶昔祇為大帥策安全與置人於火爐上不顧利害者不同
page 3	閩各界對劉冠雄任鎮撫使擋駕謂頭緒紛歧愈難收拾
page 3	吳佩孚對閩不懈仍有派孫傳芳督師意但蔡成勳不願謂常德盛師迭告捷無須增援
page 3	某派盛傳曹錕壽辰將發生某問題齊　元請假葬親與有關係吳佩孚態度未明
page 3	馬聯甲許文生電京阜陽已成灰燼流亡甚眾懇撥五萬元放賑馬許各捐一萬以示提倡
page 3	陸軍部電贛撥一旅由皖南前進聞將監視盧永祥
page 3	孫傳芳十日抵漢口十一日謁蕭耀南定十三日返宜昌
page 3	閩人反對劉冠雄自治會一電最激烈數劉荐李厚基禍閩
page 3	蔡成勳電京王獻臣把持財政觀望不前態度可慮致常德　部未敢深入自請為總司令常任左路司令李春生任左路副司令參陸處擬核准
page 3	上海電
page 3	漢口電
page 3	省行紙幣已稍漲
page 3	炸彈案尚未提起公訴
page 3	熊部軍隊之赴梧忙
page 3	西環貨倉失火續聞
page 3	李捷調防石龍
page 3	禁止巡馬代帶書函之不便
page 3	舊總統府之今昔觀
page 3	楊坤如將舉行北江大清鄉
page 3	熊略暫代第四師師長
page 3	聯商輪沉沒續聞
page 3	娶妾興訟已解決
page 6	宋淵源將回閩辦自治
page 6	國際永久法庭成立之經過
page 6	肥兒汁之製法
page 6	客述中途遇賊事
page 6	張溥泉北上
page 6	東省社會之怪現象續
page 6	創不一致對於選舉總統
page 6	總統問題業已停頓
page 6	　艦到港
page 6	海員慈善會五週紀念
page 6	破獲賭窟
page 6	被控毆殺
page 6	梅訊
page 6	私運硫磺判罰
page 6	鍾鏢工人罷工
page 6	私煙兩誌
page 6	六足奇蛇
page 6	軍火案
page 6	煙案
page 6	華差被賊打傷
page 6	謝贈月刊
page 6	影畫誌
page 6	還有比富貴勢位高堂大廈嬌妻美妾寶貴的嗎有拉就是生命
page 6	就要保衛肺的康健
page 7	貨幣借款先交五十萬磅消息
page 7	維持紙幣之開賭談
page 7	委翁式亮為傳達所長
page 7	援閩援桂分設兵站
page 7	軍隊不得擅自封船之原令
page 7	陳德春關心西海航道
page 7	織染工會准立案
page 7	紫金縣長被控
page 7	西人住宅搜獲槍彈
page 7	運臘味赴美之交涉
page 7	柴船不准載雜貨
page 7	陳炯明飭查究新興縣長
page 7	火警例誌
page 7	鍾秀南實行對待淡友
page 7	市參事會定期開幕
page 7	收降賊匪激成風潮
page 7	東圃輪渡被劫
page 7	油牛洋燭紮作工人要求加薪
page 7	三水江根鄉又準備械鬥
page 7	鐘鏢工潮近誌
page 7	公益渡搜獲大宗煙土
page 7	香山縣長為岐光醫院集議
page 7	荷蘭罷工風潮
page 7	美眾院議員
page 7	法比德幣之匯兌行情
page 7	焚船斃命之慘禍
page 7	日本預算案
page 7	青島問題
page 7	近東消息
page 7	可知專欲難成眾怒難犯
page 7	瑣聞一束
page 7	又調第一師赴梧
