page 1	中日之經濟戰
page 2	晉南連日激戰晉西北戰事又趨緊張
page 2	大名日軍東犯受挫
page 2	日人在滬西大舉拉夫
page 2	我軍向岳陽東北進擊新牆河北岸日來戰沉寂
page 2	濟陽日軍被我追擊
page 2	桂南村甲長義埋彈藥不以資日
page 2	大別山內安定繁榮山內米鹽均有辦法惟輔幣少交易不便
page 2	羅斯福廣播演說倘不停止侵略絕無真正和平
page 2	維持華北特殊化華北日軍反汪汪在平招兵機關已被解散日禁偽軍官團招二批學生
page 2	華北日軍準備集中東北
page 2	桂定六月底禁絕煙毒如有偷種即予槍決
page 2	美洲各共和國抗議搜德輪案
page 2	大小說家拉格羅夫患腹膜炎逝世
page 2	土非現役兵第十一級入伍
page 2	黨政要人參觀煤炭汽車表演駛行成績極為美滿
page 2	中等教育會議昨日舉行第二次大會通過提案三十三件
page 2	辛克萊責備各方援助芬蘭不力西線表面　寂大戰在穩伏中納粹政府迷信武力難望和平
page 2	湘黨部發揚戰時文化翻印大批黨義書籍
page 2	中央調查西北學務黨務
page 2	化學年會決在峨嵋舉行
page 2	東江我軍薄潮城菴埠邕欽路日軍圖犯靈山邕賓路我軍續向二塘一帶進攻
page 3	英法兩國人民要求改組內閣達拉第或將改組內閣張伯倫謂無改組必要
page 3	陝北交通舊工具
page 3	德機十四架飛英倫襲擊士加巴河一英軍艦受微傷德機一落數擊傷
page 3	美駐倫敦大使斥希特勒造謠含有惡意宣傳性質
page 3	荷女王贊同基督傳道工作
page 3	英海軍漁船米達號被擊沉
page 3	芬蘭總統批准蘇芬和約蘇向芬要求自由通過柏三姆欲發展其對大西洋口岸貿易
page 3	維裏斯與意當局會談情形歡洽維裏斯再訪羅馬意各界極為注意
page 3	蘇彝土運河英輪行駛最多二月份之統計
page 3	德追逐機擊落一法汽球
page 3	英意當局進行恢復商務談判
page 3	倫敦星期報評論日汪關係謂日只能利用汪精衛在淪陷區作為其工具
page 3	滬美僑特委會將舉行二次會
page 3	軍事家在蘇芬戰爭中獲得許多經驗證明平射炮有絕大威力坦克車轟炸機效用甚微
page 3	川決於本年完成金融網
page 3	湘省各界定期追悼蔡子民
page 3	滬麗都舞廳主人高鑫寶被擊斃
page 3	桂民踴躍捐輸
page 3	北歐諸國同盟問題已漸成具體化將來以六項原則為談判基礎此同盟條約完全係自衛性質
page 5	日陷南屏絕對不確
page 5	八區尚安斗門無恙
page 5	佛山發現反戰傳單日參謀到三水視察並有新兵開到河口
page 5	日軍遷怒各鄉大樹
page 5	日參謀長視察西線
page 5	傷兵源源運往江門
page 5	尚未准民眾回前山
page 5	江會進展甚為順利
page 5	我游擊隊猛襲日軍
page 5	禪炭路我軍進攻馮涌
page 5	西江下游日艦突增我軍嚴密戒備
page 5	楊村石角
page 5	向五馬嶺
page 5	粵路日軍仍有增援續犯馮村五馬嶺楊村石角日軍遭我圍殲
page 5	南三日軍最近動態
page 5	容奇鄉人聯合團隊襲擊日營焚日倉庫焚炸日臨時倉庫一座擊斃日偽兵卅餘名五鄉人被擒獲不屈壯烈犧牲
page 5	常懷報復之心
page 5	鄉人衝至日營
page 5	財部修正豬鬃統銷辦法歸貿易會購運規定屯積數量
page 5	日陷南屏不確斗門無恙日傷兵頻運江門江會我軍推進銳利日軍分由各地調援
page 6	日軍反撲楓溪
page 6	日指揮亦受傷
page 6	安籐派員調查
page 6	外海日艦砲轟古鎮海洲
page 6	教育系學員調訓省府規定辦法師範畢業服務細則
page 6	中山戰事起後縣黨部仍辦公
page 6	東線最近戰訊我游擊隊夜襲石灘日艦在澳頭港外肆擾
page 6	向石灘襲擊
page 6	徵兵辦法改良擬施行納金緩役制
page 6	東博九子潭
page 6	有日艦來往
page 6	嶺東日軍失敗後安藤派員抵汕調查即召集軍事會議作戰不力者被罰日軍突反撲楓溪但不逞
page 7	柴價奇昂
page 7	物價比較
page 7	譚啟秀部徵募雨具藥物
page 7	任鴻雋昨飛渝
page 7	小販工商會灣仔分會成立
page 7	衛生當局取締雀鳥商店
page 7	梅竹溪私梟關員劇戰私梟數名中彈受傷
page 7	赴星船票價格暴漲男客票竟售至三百二十元客機商人謂有人從中操縱
page 7	黨史史料
page 7	中央黨史編纂會徵求革命及抗戰史料應徵者可寄重慶山洞加園
page 7	海外僑胞捐款救濟鶴山米荒
page 7	漁人墮海溺斃
page 7	戰稅法案尚待研究妻的薪俸稅發生問題
page 7	少年求職被騙
page 7	紅包運動結束童賑會昨頒獎
page 7	魚菜柴薪價格續漲犯中山之日軍截搶運澳糧食昨日由澳運港魚菜較前益鮮
page 8	生時燒臘店受損失
page 8	響應春節勞軍運動全港學界積極募捐預算可募得國幣二十萬元粵北慰勞團積極推動工作
page 8	粉嶺馬票昨日開彩甲組首名三五八八零號乙組首名一六五八四號
page 8	酒樓娛樂場反盛旺
page 8	歹徒連日向商店行騙於擬價之際以偽品換真貨
page 8	假充闊客
page 8	偷龍轉鳳
page 8	狡計重施
page 8	行騙鐘鏢
page 8	灣仔汽車墜海慘劇四人獲救兩人溺斃
page 8	女子美容室舉行一仙運動為中大服務團籌款
page 8	辦法
page 8	紀念
page 8	宵小入屋行竊
page 8	零售商店提早收市後娛樂事業反見盛旺長夜無聊商店中人四出尋樂餐室酒店導遊社均應接不暇
page 10	華聯屢陷于危
page 10	總會健將缺場
page 10	球王未上火線
page 10	督憲杯第二戰華聯蟬聯錦標德輝出色獨建奇勳霍士兩射打成和局
page 10	德輝梅開二度
page 10	霍士兩射成功
page 10	澳記者體育團犯港秩序擬定記者公會籌備歡迎澳隊
page 10	昨島隊昨未赴澳
page 10	乒乓聯合會近訊
page 10	白蘿仙盃戰績
page 10	記者球隊赴鴨　洲比賽
