page 1	對內容忍與對外容忍
page 2	李宗仁談話桂軍編配聽命中央復員辦竣赴粵謁蔣
page 2	白崇禧談話出洋考察蓄志十年冀為國家多所貢獻
page 2	翁照垣部允撤退北海事件已趨和緩淩士謙昨返廣州報告調查經過
page 2	川樾謁張繼續談判兩案
page 2	日關東軍部擬就撲滅義軍計劃從速移民消滅滿 人國家觀念
page 2	日企圖攫取華北經濟組調查團來華考察全部團員均熟諳華北情形調查範圍遠及太原綏察等華北棉業已為日人統制
page 2	孔談冀察成立稽查處僅為私人條陳並非冀察當局本意
page 2	綏蒙會保安隊在平綏路譁變傳作義據報後昨已派隊進剿
page 2	淩氏奉令再赴北海調查
page 2	日海軍省聲言所採方針
page 2	日侵綏蒙野心愈熾在阿拉善旂建築無線電台
page 2	鐵部與粵省府會同開闢黃埔商港鐵部出資五百萬元曾養甫任督辦張嘉璈今晨偕隨員來港轉輪北返
page 2	李白黃宣誓後李宗仁黃旭初今日飛粵謁蔣白崇禧因處理桂軍復員稍緩東下
page 3	京滬銀行界訪高秉坊交換徵收存款利息所得意見該處已派專員赴滬與銀行界接洽
page 3	冀察經會主席人選日方屬意張弧
page 3	江門汕頭海口增設三僑務局局長人選昨已發表
page 3	滇省黨務指導委會通電慶祝統一多年積務一旦撥清國家統一于茲實現
page 3	新任駐華英大使許閣森昨晉京拜會我外交當局
page 3	徐紹楨遺體昨日舉行大殮中　監會及各要人均有電唁徐氏家屬
page 3	臨時高考各類首試告竣典委會趕閱試卷
page 3	就業訓導班學員証件審畢規定取錄一千名
page 3	五期受訓縣長決定延期舉辦
page 3	實部派員來粵視察合作事業發揮合作社機構以繁榮農村經濟
page 3	美艦隊司令馬芬檢閱駐平美兵
page 3	在閩台浪人走私又復猖獗改在福清等處登陸以白糖人造絲為多
page 3	日駐粵總　中村南下赴粵返任
page 3	行營舉行追悼諾那儀式諾那骨灰啟程南運
page 3	馮澤芳赴川視察棉產情形
page 3	九一八紀念日將屆平市警備辦法
page 3	希特勒等電賀蔣介石壽
page 3	西國叛軍決定封鎖比布爾及山田達兩城使城內四十萬軍民盡成餓殍勸告外輪限期駛出兩城港口
page 3	法紡織業罷工潮將有擴大之勢里黎城市政府職員謂將聯合罷工響應
page 3	葡政府准組織反共軍鎮壓共黨活動
page 3	鄂綏署省府佈告嚴防奸人擾亂
page 3	交通部令改善輪船設備
page 3	程天放赴慕尼黑遊覽
page 3	西康建省委會遷往康定辦公
page 3	希特勒演說引起蘇聯反感謂國社黨此種表示實欲破壞集體安全
page 3	奧外長與墨氏舉行重要談話奧在德意之間擔任聯絡之責
page 3	洛約列強會議開會日期未定英政府擬在十月舉行意德兩國欲延期開幕
page 3	不干涉西班牙內亂小組委會舉行首次會議討論經過保守秘密
page 3	法閣舉行會議內長陳述罷工情形海長報告鐵廠舞弊
page 3	中政會決議請中執會選任汪兆銘黃郛為　府委員追認李宗仁白崇禧黃紹維　任命
page 4	各隊陣容
page 4	全港公開水運第二晚二百碼接力港大榮膺首座女子一百碼楊秀珍第二明晚續有三項比賽舉行
page 4	中華青年會舉辦中西拳術比賽門券分一元五角兩種
page 4	九龍華人足球隊對香港會處女賽十九日下午在香港會球場
page 4	公開籃球賽昨舉行頒獎情形
page 4	昨日廣州西紙市
page 4	各行股票之市情
page 4	英京銀價無變動
page 4	英美匯兌仍趨漲
page 4	滬外匯市情微好
page 4	八九金價昨報升
page 4	全省第九屆水運會明日開幕一連三日比賽項目豐富看百八男女泳兒顯身手
