page 1	閩浙海疆之戰事
page 2	美國務院發表聲明拒絕撤退福溫美僑顏露爾聲明美艦在華有航駛自由英海軍將實行派艦護輪通航汕頭
page 2	蒼翠如屏之君山再為我軍克復鄂中向家溝我出擊勝利
page 2	某將軍對記者談暢談潮汕戰局潮汕地勢平坦本無軍事價值我移有利陣地繼續與Ｘ週旋
page 2	晉南Ｘ增援萬餘分三路犯翼城我Ｘ先頭部隊已經接觸垣曲我追擊隊抵橫嶺關
page 2	滬法租界俄國隊員諾特被擊斃槍彈係佔領區發出租界當局調查其死因
page 2	贛北我某團長率隊襲赤土岡Ｘ不　向獅子腦撤退撫河水漲淹斃Ｘ數百
page 2	外傳汪已飛津與王逆籌商組偽政府
page 2	蔣電會同縣長嘉獎碩紳蔡仁二飭子入伍足資矜式
page 2	厲行禁煙中彭山縣長革職原因禁煙不力
page 2	我軍退出潮安在城郊與Ｘ混戰閩Ｘ犯平潭與我發生激戰玉環坎門戰事仍在進行中
page 3	歐戰名將胡勃特主張英應強硬對日日本真意在建設東亞大帝國英國受害最烈故絕不能退縮
page 3	英法蘇談判英訓令昨送出雙方將再賡續談判
page 3	美財政部減低購銀價格
page 3	美眾院將通過修正中立法案美眾院昨開會討論中立法案全場一致痛詆中立法之無用
page 3	法總理發表重要演說對歐洲和平之維護實具決心任何破壞和平企圖必加反對
page 3	蘇日空戰未輟再毀日機七架蘇蒙機六架未返根據地
page 3	Ｘ犯花縣城南被我圍剿犯兩龍墟Ｘ亦敗退
page 3	德機一架在波境被擊落
page 3	英皇關懷時局
page 3	楊森電軍何擁護中央服從既定國策
page 3	南慰勞團抵達南寧北慰勞團將主成者
page 3	綏遠我軍襲百林廟Ｘ警備司令負傷
page 3	英商輪阿里德尼號食糧斷絕津Ｘ不予檢查不許泊岸輪上有華籍乘客二百人
page 3	英日談判將於下週開始津日軍態度比前略見緩和提四項新要求作解決條件
page 4	一號路線
page 4	二號路線
page 4	五號路線
page 4	五號A線
page 4	紅磡各界紀念七七辦法向賑聯會領紀念花萬朵
page 4	劫艇殺人疑案押候七天再審
page 4	利源東街劫案下月四日公審
page 4	五邑急需醫藥
page 4	美國獵人來港在蘇門答臘獲標本甚多
page 4	跑馬地至堅尼地城巴士新路線定期通車一二兩號路線同時略有更改中華汽車公司昨已正式宣佈
page 5	新鶴各線Ｘ均退守
page 5	江門河南Ｘ砲拆卸
page 5	Ｘ防偽軍逃走辦法
page 5	前晚會城亦有砲聲
page 5	潮嘉惠警備司令電告Ｘ侵汕頭抗戰經過Ｘ我在東湖對峙中柘林一帶現無Ｘ蹤Ｘ沿鐵路圖侵湖安正展開血戰
page 5	寶安新任縣長莫鉞抵縣接任
page 5	睦洲一帶均告無恙
page 5	香翰屏籌設游擊幹部學校
page 5	端節之日我空軍猛炸廣州Ｘ營
page 5	十八嶺下奇奇襲Ｘ
page 5	北江最近戰訊Ｘ又犯十八嶺遭我截擊白坭偽維持會長被擒獲我槍決Ｘ方密探長陸某
page 5	省府會議紀要通過禁煙實施計劃嘉獎西江抗戰官兵
page 5	天和之Ｘ敗退龍口
page 5	Ｘ密探長被我槍決
page 5	北海關公佈免征出口稅貨品共有數十種之多本月十九日實行
page 5	肇慶公務員舉行勞動服役化公路為水田增加抗戰生產
page 5	省當局派員到東路視察公路破壞
page 5	委長行營飭各部隊不得亂佔民房
page 5	廣州Ｘ軍之撤調要訊西報謂Ｘ軍退出廣州市省河各Ｘ　艦亦悉數他駛市南及西線Ｘ軍之撤退
page 5	市南Ｘ軍紛紛撤退
page 5	西線Ｘ軍退回廣州
page 5	令市民儲糧十天訊
page 5	Ｘ在市郊增設哨位
page 5	Ｘ退守江會兩大據點新鶴各線Ｘ軍均已後退江門對河之Ｘ砲亦已拆卸前晚我軍夜襲象山之Ｘ陣
page 6	Ｘ機頻襲之下東江各縣防護情形疏散物資嚴查奸宄
page 6	莞城混亂
page 6	截擊漢奸
page 6	傀儡祝捷
page 6	西南Ｘ偽聯歡我軍掩至幾一網打盡圍賽花樓傷斃Ｘ偽廿餘祝捷不成惹出一場恐慌
page 6	我軍掩至
page 6	大良連夕均聞槍聲
page 6	Ｘ軍炮轟三水洛平墟
page 6	容陳電輪在半浦被匪截劫淪陷區內荊棘遍途
page 6	粵分四區設置戰時衛生防疫區署組織規程及管轄區域已定
page 6	組織規程
page 6	管轄區域
page 6	莞龍太Ｘ尚無異動Ｘ一部昨開汕增援莞城混亂游擊活躍
page 7	英輪準備武裝自衛
page 7	各營難民統計較前週增百餘人
page 7	英法艦隊聯合演習
page 7	中美文畫會第二次聚餐紀港督羅富國親臨致詞
page 7	捐出藥物
page 7	演劇籌款
page 7	婦女兵災會籌款購贈兩救護車一贈渝中國紅十字會一贈廣西李白兩將軍
page 7	立法局定今日會議各機關請增撥政費十餘萬
page 7	後列問題
page 7	財政委會
page 7	嚮導社議決義導籌賑
page 7	贈旗成績
page 7	Ｘ謀封鎖福汕英國政府態度強硬對Ｘ方諸般恐嚇決置諸不理新海門輪昨又衝破汕封鎖線
page 8	領防疫證手續費下月一日起減收五角港督體卹民艱通融辦理羅旭和昨對記者之談話
page 8	俯恤輿情特予通融
page 8	七月一日開始減費
page 8	兩地商場均受影響
page 8	港澳合作異同之點
page 8	食物店防疫之　密
page 8	英兵行竊疑案被告兩獲釋一受懲
