page 1	意希戰事的前途
page 2	美傳日軍南進停頓日海陸軍裂痕愈深
page 2	日軍集中海南訓練南進企圖待機即動
page 2	加財長向下院提議戰時匯兌準備法案禁止多種奢侈品輸進來自英鎊集團者例外
page 2	美國各船廠行將擴充承造英國商船
page 2	一挪輪抵神戶行蹤神秘到神戶一日又離去係為補充糧食燃料
page 2	商輪犧牲愈多英海軍部人物將有所更動期加強海軍作戰力量以對抗德國潛艇政策
page 2	南大西洋英德海戰英巡洋艦受傷
page 2	汛美團結進一步美墨將締軍事協定美以十二艘逾齡艦讓墨墨允供給美海根據地
page 2	自由法軍駐美代表談如接管馬田尼格島將許美建海空軍港該島居民多數擁護哥里魏剛將軍似取中立態度
page 2	西沙漠戰局逐漸變化　已取得主　地位不久　作大規模反攻
page 2	加拿大空軍中多美人二千五百名以上
page 2	蔣委員長在紀念週講演二痛駁日汪私約
page 2	野村大使晤美記者大談日美無戰必要
page 2	近衛外交著著失敗海陸軍裂痕愈深勢將決裂海軍集東京灣戒備英蘇將繼美後貸巨款助我德不助日決不承認汪政權
page 3	希佔聖德瓜蘭阿人極表歡迎
page 3	意軍一再易帥軍黨間有裂痕
page 3	越南法軍闖入滇境已被我軍擊退我向法提抗議
page 3	津粵日領近有更動
page 3	菲民族同盟發表宣言反對組無政黨政府
page 3	筒舊附近擊落日機一架
page 3	美海軍部加緊施行兩洋海軍建設並提前完成建艦程序國會又批准增建船塢
page 3	津英租界將開納稅人會議討論增收市政　
page 3	日在滬西行駛公共汽車工部局決提抗議
page 3	日委本多熊太郎為南京大使替代阿部大將
page 3	在德外國俘虜一千四百餘名
page 3	維士政府將遷凡爾賽只當欲建一小朝廷
page 3	鄂中日軍萬餘犯長壽店受我重創蘇南我軍攻襲高淳漂水豫北沁溫附近不斷激戰
page 3	英財次在美活動將赴紐約加拿大巡視回美後再與摩根韜談
page 3	華中日艦隊司令易人細萱戌子郎被委代替谷本馬太郎
page 3	日千葉縣發生水荒
page 3	希軍勢如破竹意守埃爾巴桑
page 3	意軍繼續崩潰在阿治權動搖
page 3	意軍損失重大喪機二百餘架
page 3	意軍在阿全線崩潰德望土國出任調停謀促意希停戰希軍繼續推進意在阿統治地位動搖近東受影響敘利亞法軍對英表同情
page 5	日機迭炸天河周郡
page 5	傳日乘泰越間發生戰事對廣州灣重提各項要求日艦一艘開抵西營海面
page 5	日艦騷擾洴涌北卡
page 5	鹽米互運開始
page 5	省銀行訂定辦法借款農民買牛期限二年月息八厘鄉長保證七人聯保
