page 1	我國的光明前途
page 2	所謂條約內容全文計共九條
page 2	簽字兩次舉行禮堂戒備森嚴
page 2	條約即生效力日承認汪政權
page 2	加拿大決心支持戰爭國防部長到英發表堅決談話
page 2	希軍向進進展威脅意軍交通意軍雖屢次反攻希軍仍固守陣地
page 2	意方軍報發表戰訊
page 2	北路希軍繼續進展
page 2	意機十架被英擊落
page 2	意軍反攻被希擊退
page 2	英倫海峽發生海戰又傳希特勒將進攻英倫
page 2	羅政潮更嚴重現正醞釀內戰德欲乘機吞併羅國駐羅境德軍現正大量增加鐵衛團頻與軍隊發生衝突
page 2	墨共黨密謀行刺新選總統　察搜查共黨紀部黨人拒捕傷亡數名
page 2	英空軍大舉炸德史達田鎮共引起二十個大火頭人造煉油廠傷害重大
page 2	瑞典向美所定機轉讓與加拿大
page 2	菲憲法修改案羅斯福未簽字
page 2	羅斯福將出發巡視國防出巡路線未宣佈
page 2	十月份美廢鋼鐵輸出共二十五萬餘噸過半數運往日本
page 2	滬一日憲兵被擊身受重傷一鞋匠為流彈擊斃
page 2	桂省禁裁菸草
page 2	汪精衛與日僭訂喪權條約中央懸重賞重申緝令所謂條約詞旨疏漏遺禍甚大允許駐兵承認　滿辱國至甚
page 3	泰機繼續轟炸越境軍部下令集預備兵
page 3	日以戰爭威嚇美國起用芳澤與荷談判
page 3	鄂境日軍迭受重創大洪山麓突圍被截襄花路以南日軍被我圍殲潛江岳口一帶戰事甚激烈
page 3	襄河兩岸激戰經過
page 3	大洪山麓日圖突圍
page 3	各路日軍均　崩潰
page 3	滬租界中區巡捕罷崗幸當晚即告解決昨晨商店閉門停業情勢嚴重虜洽卿出調停巡捕允先復崗
page 3	北平日高級官吏被人行剌
page 3	昆市驟寒降雪
page 3	傷亡三百餘人受害者俱係　人
page 3	由閩抵筑
page 3	美蘇談判歡洽韋里斯昨對記者談商務關係將可改善
page 3	同盟社華職員要求善待遇
page 3	蔣總裁召宴國大海外代表
page 3	增強對華援助英美仍採平行行動郭泰祺訪英外相宋子文與美方談商有進展除信貸外另成立貨幣借款
page 3	陪都各界追悼雷司鐸
page 3	法海岸德炮兵轟擊多維爾港
page 3	泰機不斷對越報復法仍望和平解決曼谷泰人示威擁護對法政策泰相演說應付非常已有準備
page 5	附日軍犯堂下不逞
page 5	石岐我便衣隊活躍
page 5	粵西鹽務局公佈私運鹽出境處罰辦法無證出境者五市斤以上科罰
page 5	劉侯武抵韶關
page 5	廣州情勢復緊募伕千餘在北郊掘散兵壕日機五十餘架昨分批飛去
page 5	粵省政府嚴飭救濟米荒
page 5	防範拐帶人口辦法粵省政府已頒佈實施
page 5	西樵鄉渡被劫
page 5	粵青年團徵求傷兵之友共約六千餘人
page 5	馬少屏抵三埠
page 5	梅菉商人自動疏散物資禁花紗布疋運入
page 5	桂省統一糧食供給各縣設縣糧食委員會各鄉鎮設立糧食公店
page 5	表揚忠烈祠祀及建坊辦法
page 5	江佛路日軍犯棠下不得逞石岐便衣隊活躍縣府秘密遷址前山日軍一度搗毀三廠發證處
page 6	周處長談
page 6	款項分配
page 6	車輛調整
page 6	廣東戰時教育概況國民教育中學教育稽　擴充訓練師資推行社教救濟文
page 6	國民教育進行工作
page 6	師資訓練日著成效
page 6	中學教育積極擴充
page 6	加緊推廣社會教育
page 6	桂省積極採鎢
page 6	潮屬黃岡商業繁盛丁未馬路熱鬧不減汕市
page 6	粵僑匯機構嚴密聯絡航電聯匯登記水客特約國外銀行辦理
page 6	桂林小本貸款處擴大組織已貸出金額十二萬元將在柳梧等地設分處
page 6	粵整理公路交通計劃修要　　等線有增築　規定各
page 7	救濟　回國僑民中央僑委會已訂定辦法
page 7	港府整飾市容
page 7	學生漫畫競賽今日下午頒獎
page 7	整理墳場計劃實施運柩辦法亦已訂定港府置備巨艇多艘將代人民運柩過海
page 7	新闢　場編定號數
page 7	威非道築蓮柩碼頭
page 7	衛生局之議案
page 7	五艇四車專責運送
page 7	老人宣慰團下週首途歸國
page 7	領移民證手續居民聯會歡迎詢問
page 7	私攜文件出口澳輪一客被捕文件含有政治意味承審官在內庭審訊
page 7	汽車撞毀貨車賠償七百餘元
page 7	登記獲獎人士港政府之通告
page 7	港府嚴禁麻包硫酸出口
page 7	港府戰稅收入驚人八月份已得百七十萬全月稅收超過五百萬元較去年同月幾增加一億
page 8	粵省府組織僑匯網省銀行港分行為總機關設服務部解決僑胞困難
page 8	規定更練工值
page 8	硤石尾村將建臨時公廁
page 8	日艦三艘昨抵大亞灣頻頻派機偵察港韶路線來往客商改於夜間運貨
page 8	大潭灣不准船艇寄碇
page 8	砲兵繼續演習
page 8	陳慕華宴李宗仁夫人
page 8	東安輪大伙麥堅利昨逝世該輪延遲一小時　行
page 8	聖安道杯賽名駒加力茜獲冠軍鴿沙灘讓賽珍都一鳴驚人代督岳桐與星督蒞場參觀
page 8	文協會昨會議組織文藝獎助委會
page 8	少青服務團日間回港補充
page 8	港政府委任令
page 8	文藝獎助
page 8	推進國語
page 8	山口返抵日本謂　留時港府待之甚優
page 8	新運婦女會贈年咭籌賑各校女生擔任推銷
page 8	菜販擅用私刑毆傷小竊被罰六十元
page 8	港越航業近狀中立國船照常　往
page 8	花園道停車場行政局議決取消
page 8	本港新聞記者駱文熙君逝世
page 8	英賑華分會撥助各方賑款
page 8	連續五夜防空演習港府決改期來春舉行現集中力量建築防空洞避難室十一間相繼落成
page 10	今日足球聯賽甲組兩場戰爭南華渡海征光華東方加山戰約瑟
page 10	四比一星島奏凱愉園三比一九龍克蘇皇軍四比三警察挫米杜息
page 10	星島大破香港
page 10	九龍擊敗蘇軍
page 10	米軍不敵警察
page 10	昨日總賑
page 10	四屆德權鼎有主榮發黑膺冠軍英美屈居次席
page 10	公開女子排賽南華初逢星島
