page 1	德國之閃電攻勢
page 2	明江以南日軍在圍殲中日機被擊落二架
page 2	正太兩側我軍強襲奏捷克娘子關等據點
page 2	教部主管人談統考錄取分發標準視考生成績及需要學額而定
page 2	陸蔭初間關抵渝為匪槍擊受傷
page 2	日軍在碣石強行登陸與我軍發生激戰
page 2	西南日軍進犯受創
page 2	戰地黨政委會程潛任主席以周恩來為副
page 2	日婦女參政同盟自動解散
page 2	英大使由滬來港
page 2	英謀發展印度軍需工業並謀東半球英屬軍需工業聯絡羅杰爵士奉派率專員赴印調查
page 2	小林一三定月杪赴荷印
page 2	埃及內閣全體辭職
page 2	畢朗薩遇剌經過與刺客交火數分鐘畢一手及左肩受傷
page 2	美加聯防局舉行首次會議討論兩國聯防計劃並討論及售艦問題
page 2	駐埃英大使發表率直談話埃及獨立地位繫於英國勝利
page 2	宜昌南岸困日突圍未逞
page 2	渝各界紀念孔子誕辰
page 2	戰事並不沉寂
page 2	日美關係緊張
page 2	編外話
page 2	日對亞洲大陸實施統制貿易
page 2	旅美華僑捐款建設空軍已募得百萬金元
page 2	瑞士要求英國尊重瑞士中立瑞士發生兩次警報
page 2	日軍將不惜孤注一擲預料十月間大舉進犯我現正集中一切力量準備迎擊
page 3	美海軍少將史太陵謂日美戰爭難避免美資源富厚必獲勝利
page 3	軸心國家謀促成匈羅談判恢復匈表示願恢復談判
page 3	蘇瑞舉行經濟談判
page 3	名作家林語堂談重慶空襲經過人心堅定非炸彈所能摧毀蔣委長謂係精神對抗精神
page 3	挪王否認往美在英倫廣播作證
page 3	美上議院通過強迫軍訓案限定每次徵壯丁受訓人數不得超過九十萬
page 3	法大使向法僑發表廣播勸法人團結以挽救危機
page 3	美政府限令外僑登記防範第五縱隊
page 3	駐滬英軍最後一批離境
page 3	德空軍又增加閃電攻之速力空襲範圍長凡五百里空襲時間整夜不稍停
page 3	廿六夜德機又來襲倫敦
page 3	廿七日柏林又發出警報
page 3	德機噴白煙劃成符號
page 3	德尚未放棄侵英倫計劃
page 3	英轟炸機隊炸意工業區
page 3	英飛機出產創空前紀錄
page 3	偉大的同情美教會援華會捐鉅款救濟中國戰區難民美國美以美教會執委會發起救濟國外兵災運動
page 3	日傳美將與澳洲組織一聯防委會又料美將租用星洲軍港將來日美關係必甚微妙
page 4	描寫地獄眾生相地獄金龜形形色色
page 5	日在陳屋建築炮台
page 5	出擊石龍克復石牌
page 5	莞城外圍戰事激烈
page 5	寶安我游擊隊活躍
page 5	李主席由渝返韶粵政府有劃期進展今後困難問題多獲解決在渝粵籍同鄉盡力贊助
page 5	陳驥接任四區行政專員
page 5	財廳舞弊要員在渝被捕續訊
page 5	呂部旅長被日扣留第四旅在增城已散夥
page 5	增城連日砲戰甚烈
page 5	武裝民眾襲擊石灘
page 5	旅韶瓊商捐款救濟桑梓
page 5	廣州灣日檢查員誣捏我方圖藉口要脅法當局各項物價仍未回跌
page 5	石岐日警備司令白木被我游擊隊擊斃連日潭洲港口有劇戰
page 5	曲江增加稅率
page 5	我機大炸廣州天河機場日機被我炸燬
page 5	寶安我軍準備太舉反攻我機散傳單勸人民速疏散莞城外圍激戰我軍攻克石牌增城我新式砲隊連施展神威
page 6	欽縣
page 6	防城
page 6	高雷
page 6	日機狂炸桂省各地桂林柳州全縣均有落彈
page 6	珠江日艦盡調赴南路中山沿海已無日艦蹤跡
page 6	寶安人民無不稱快
page 6	欽縣我軍五路出擊防城日軍受創狼狽束潰日機狂炸陽電各重要縣市梅　水東閘坡博賀均被炸
page 7	各區商店提前收市
page 7	史柏堅巡視救護站
page 7	七時以後全市昏黑
page 7	過海小輪暫停開行
page 7	干諾道中遊人如
page 7	八時半發空襲警報
page 7	九龍邊境砲聲隆隆
page 7	敵軍企圖登陸不逞
page 7	解除警報十時發出
page 7	交通停頓幾二小時
page 7	港越輪忽停開已開行者亦被召回聞與越南局勢有關
page 7	金銀場獻金十一萬四千　元
page 7	金山輪入禁海因有一客染霍亂症斃命
page 7	下月二日公假航政署更改辦公時間
page 7	防空處倣造安達生防空 棚市民如欲購置可向該處登記每棚可容九人需費約百卅元
page 7	中大服務團歡送同學赴桂服務
page 7	破獲紅丸機關捕獲疑犯兩人
page 7	著名女作家韓氏由渝抵港將赴美督印兩新書
page 7	燈火管制演習昨晚成績為歷次之冠日落後繁盛市區頓成黑暗世界海陸兩方交通停頓幾達二小時全港救護隊總動員作技術表演
page 8	港九教聯會紀念會
page 8	儀式簡單莊嚴肅穆
page 8	張瀾洲氏致開會詞
page 8	黃燕清讀大會祝文
page 8	歐戰和平雜感二
page 8	青年獻劍團由渝返港林賜明談謁蔣委長經過
page 8	東區教師興辦義學
page 8	華人水藝會頒發獎品情形
page 8	學生聯向師長致敬
page 8	各大僑團開會紀念
page 8	姪竟串匪圖劫姑母六個匪徒事敗被捕法官判每入獄九月
page 8	東院定期賣花
page 8	汎美機未到港
page 8	木匠投海獲救
page 8	滬英軍眷抵港日間轉赴澳洲
page 8	本港各大僑團昨遵用國曆慶祝孔誕港九教聯會同時紀念教師節東區教師聯會演劇籌辦義學
page 10	本屆重要足球賽秩序編排公佈聯賽全部戰程日內決定
page 10	聖約瑟足球隊本屆加強實力
page 10	慶祝記者節二屆水運暨同樂會參加者甚形踴躍遊藝秩序極豐富
page 10	夏令籃球劇鬥印警僅勝南商初級國民挫洪流
page 10	遊藝秩序豐富
page 10	紀念會之儀式
page 10	邀體育界幫忙
page 10	今夕游泳競技勵進對抗東方地點中青泳池
page 10	中華體協會明晚歡宴黃家駿
