page 1	特種蕭條與軍備擴張
page 2	陳誠返京謁何報告
page 2	劉峙電王樹常歡迎
page 2	　民政府頒發何桂國等新任命粵海關監督翁桂清免職候用戴恩賽由廈門關調任粵海關
page 2	修正國大兩法規均照初步審查通過傅秉常談國大職權既經變更此次參加競選代表將較減少
page 2	馬步芳電促馬麟回青青省謠言不攻自破馬麟昨晨抵京訪晤魏道明青省政務待理當午即北返
page 2	京杭路綁票案徐許二人已獲脫險匪等有嚴密組織機關遍設京杭各地各地鄉鎮保長士紳多與匪互通聲氣
page 2	對售　北軍調整問題何應欽發表重要談話從此東北軍各部均改為直隸中央各部人員均按原級原薪照舊任用張學良以後不擬再攝軍務楊虎城擬赴歐美考察
page 3	主席歡宴
page 3	意使頌詞
page 3	主席答詞
page 3	孟祿博士抵滬談世教會議決無偽代表蹤蹟滿洲國既非世界教育會會員故該會從未有邀其派代表出席
page 3	徐海警備司令部槍決販毒女犯犯年廿八姿色頗麗
page 3	江海關華員會議對付浪人走私並發表告同胞書
page 3	孔特使隨員一部已抵倫敦
page 3	孫宋下月南下前往瓊崖視察
page 3	日陸軍中將香月赴平視察
page 3	徐州廢黃河發現舊城住宅挖出陶器瓷器多種牆磚極大係宋代物
page 3	朱慶瀾今日飛蘭勘災
page 3	劉尚清晉京請示日內赴皖履新
page 3	平市當局槍決毒販八名
page 3	津海河浮屍日來續有發現至其來源尚無眉目
page 3	沙王覲見林主席報告綏蒙近況
page 3	川樾返國述職昨晨乘輪啟程
page 3	宋抵察視察後決定今日返平
page 3	胡世澤在國聯社會問題顧委會解釋我國未成年罪犯法案與會員各國代表均感深刻印象
page 3	京滇週覽團行抵安南縣境
page 3	津海關拍賣查獲私貨約值十餘萬元
page 3	賀耀祖抵京約留十日即行赴甘履新賀談土耳其憲法並不限制人民宗教自由教權在政治上之趨勢與戰前土國已大異
page 3	閩學生號機飛機因霧遇險機身略有損壞機師一人傷眼
page 3	平市西郊萬壽寺
