page 1	太平洋上未來烽火
page 2	林主席昨抵南昌沿途氏眾燃放鞭炮高呼萬歲晚間由黨政各長官聯合全宴
page 2	贛各界開會歡迎林主席
page 2	林主席談巡視各省觀感
page 2	弔奠事畢宋子文等先後離甬馮玉祥兗學忠等仍留奉化
page 2	英眾院開始討論西叛軍封港問題反對派攻擊政府無力保護英商輪但此彈劾政府案卒被多數票否決
page 2	遼寧人羅愛民憂時傷國絕食
page 2	重慶磁器口大火焚燬房屋九百餘家損失約百六十餘萬元被難災民達五千餘人
page 2	華南米業公司召開成立會議
page 2	世界風雲日亟柴汕進口增加
page 2	滬銀行界籌組國貨銀團向國貨公司投資
page 2	孫科尚須休養明日立院例會請假
page 2	意在言外用樾談話極可注意華北走私有特殊情形冀東問題祇謂理論上乃我國　內問題經濟提攜亦可為解決政治問題顯之前提
page 3	一百七十餘團體電請中央收回領事裁判權滬各領袖發起組全國委會促進此項運動並主張將來談判如無結果則取單獨行動
page 3	埃及取消領判權會議討論取銷領判權過渡時期法代表主張定過渡期為十八年埃及則要求將之縮短為十二年
page 3	沙赫特發表談話德願與世界諸國謀經濟復興但國際間經濟狀況欲求其進步非先解決各種政治問題不為功
page 3	川災救濟協會已領到財部擬發川賑災公債一百萬日內由朱慶瀾攜往散放急賑
page 3	朱紹良飛京請示甘政方針
page 3	陝中央軍各部準備復員
page 3	宋哲元令公務人員一律穿著制服
page 3	河相離滬返日
page 3	孔特使過孟買
page 3	王正廷定期赴美履任
page 3	陳　府撥款辦理平糶
page 3	津日商補納私貨稅款
page 3	閩贛鐵路改線
page 3	舉行首次會議美領將出任總董
page 3	英議員質問馬來工人被驅殖民大臣答稱係由罷工所致
page 3	中央儲蓄會第十三期開彩特獎二一三六
page 3	食鹽專稅調查本年內約二千萬元
page 3	招商局機器廠劃歸交部管理現已辦理移交手續
page 3	某國人在冀察竟作荒謬宣傳當地官方恐其肇事當即勸告彼等離境
page 3	川省局勢澄清中央地方關係當可打成一片
page 3	亞難民口述慘被屠殺情形步行八百里逃入英境沿途被意機開鎗掃射
page 3	各地日存銀已先後運赴滬準備繳解我國國庫
page 3	中美航線定本月底啟航
page 3	南土當局談話結果甚為圓滿
page 3	中常會例會紀
page 3	墨西哥教堂樓板下陷受傷者七十人
page 3	京滇週覽團今日離湘赴桂
page 3	國民政府十五日令
page 3	新任中央造幣廠長德柄
page 3	據同盟東京電滬中華籃球隊十四日晚八時由關　乘快車抵京
page 3	日本早稻田大學足球隊十五日下午五時半抵滬
page 3	聞華北日駐屯軍參謀長橋木自日返任後
page 3	西國叛軍內訌佛蘭戈與意德參謀團不睦意德參謀團認佛蘭戈指揮失常不能制勝而佛蘭戈則不欲盡聽德意軍事之指揮
page 3	內實兩部各派人員調查各省統計謀改進統計方策
page 3	張自忠赴平謁宋
page 3	日本松江市大火全町五百餘戶被焚長野縣火藥庫爆炸二十人斃命新義州水災民房二百所被沖毀
page 4	保安縣積極準備參加粵省運動會
page 4	本屆南華會徵求梁早如得冠軍個人續後交款者仍計積分
page 4	廿二日赴菲島三場尋常杯提前比賽明日先對奧斯德
page 4	北寧足球在日連戰報捷征平關東將下關西
page 4	老尚英雄芬渣勝李裕榮下週與林珍爭決賽權同為球場老將當有劇戰今日有一場重要雙打賽
page 4	兩棋王鏖戰六局周德裕勝利得金章五總成績三勝二和一敗
page 5	粵省府合署辦公制有促使實現之訊
page 5	廣九焚車案撫卹問題鐵部援粵路成例辦理
page 5	李子英定今日接收國省金庫
page 5	李芳陞市府參事
page 5	黃惠龍派員整理各地海員工會
page 5	僑汕某人住宅施放電網傷小童
page 5	楊華定期晉京商撥庚款興辦水利建銅湖水閘堵塞琶江口籌炸甘竹灘石近訊
page 5	吳主席今晨到府視事就職日期未定中央派覃振來粵監誓
page 5	洋米免稅照緩發粵米商分請程吳維持民食會委員熊理之談話
page 6	禁煙特署今日成立省內各人員已委定日間招待新聞記者解釋外間所傳謠言
page 6	汕市經建會會議提案多件詳述無遺言之非艱行之維艱
page 6	省商派員謁吳償還粵債之請願
page 6	別開生面解除婚約之趣聞在神廟焚婚約鄉人認為不祥
page 6	菸葉專賣未撤銷菸商派代表謁吳
page 6	國經分會討論發展工業各計劃吳主席參加討論
page 6	英國駐遠東艦隊司令　度　將
page 6	前越南總督現任法國眾議院議員華蘭尼斯夫婦及秘書一人
page 6	黃主席治喪會昨通電全國報告黃故主席慕松公葬典禮
page 6	廣東省高等普通檢定考試
page 6	　東亞　專女子籃球隊抵省後
page 6	當局最後調處製皮業糾紛資方公會欲恢復活動昨分呈黨部社會局商會呼籲
page 6	財廳將增設各稅局副局長協辦稅收農產稅營業等局增派副局長名　最大收入緊縮支出
page 7	禮堂佈置
page 7	到會人物
page 7	開會情形
page 7	普要致詞
page 7	印商百餘人過港赴日考察否認此行係受日政府資助
page 7	廠聯會招待朱轟定期改選理事
page 7	郝督答詞
page 7	菲島僑胞喜乘招商局船曾廣頂赴菲視察航務已返港
