page 1	中日應謀真實提攜對吉田政治論文的感想
page 2	中常會　議案准蔣辭國府委員職推章嘉呼圖克圖為國府委員補推張繼為中央財委會委員
page 2	出　在即孔祥熙赴滬俟輪行前召隨員及財部高級職員訓話備贈英王禮品選購齊全均極名貴
page 2	許世英赴平祭段抵平後接見各方友好頗為忙碌定廿八日返滬後即轉黃山休息
page 2	錢大鈞等赴杭謁蔣孔祥熙女公子設宴為蔣夫人祝壽陳誠朱家驊宋子良等均被邀作陪
page 2	津海關規定補繳稅款辦法根絕走私維持國家威信於不墜亦置全市貿易於健全穩固地位
page 2	謁蔣報告　竣盧作孚昨返蓉
page 2	日閣決請延長議會會期
page 2	日赴英考察團使命調整中　國問題以恢復對英友誼關係
page 2	長谷川昨謁陵
page 2	中國茶葉公司首次籌備會議決定五月一日舉行成立大會
page 2	田代赴唐山檢閱日駐屯軍
page 2	日與英美撤除永租地權
page 2	日方盛傳中俄已訂立諒解協定俄政府停止其對中國共黨之援助中國政府不與他國訂立反共協定
page 3	鮮人在津行兇津滬私運銅元猖獗
page 3	法擬請國聯徵集各國海軍制止意軍開入西境倘意積極援助西叛軍使英法感受威脅法外長聲稱英法兩國對此當不能漠視
page 3	全國美展四月一日開幕入選貨品約二千件
page 3	中央儲備銀行法案短期內可完成立法程序該行股本分為官股商股兩種官股百份四十商股百份六十
page 3	昆明大火
page 3	下月起可有大宗贛米運粵
page 3	代滬市長俞鴻鈞之談話
page 3	全國二月份對外貿易增加
page 3	冀察行政機構將有相當更動
page 3	胡文虎捐建小學百所
page 3	英機在埃及遇險機員傷斃多人
page 3	意與南斯拉夫訂立政經協定意欲繼續干涉西亂先取緩和中歐態度
page 3	日購長江奇魚清除御溝水藻需款不多一勞永逸每年會省工費萬元
page 3	日意經濟協定月內即行簽字
page 3	于學忠代表東北軍民電謝蔣委長撫慰
page 3	　各界定期歡送吳鐵城
page 3	華北華中各地大風雪
page 3	吉隆坡罷工潮嚴重恐有暴動發生
page 3	英下院討論意不願撤兵事
page 3	蘇聯政府擬闢蘇美空航
page 3	司法院解釋工會法疑義
page 3	英帝國會議政府代表團名單昨在下院宣佈
page 3	加藤敬五郎抵津
page 3	西亂不干涉委會開會意蘇代表發生激情蘇代表質問意政府援助西叛軍事實意代表強詞反駁謂一切為共黨陰謀西政府搜獲意秘密文件
page 4	尤烈治港大校運會之第一日獲萬米冠軍成績四十二分零七秒正楊旭華後勁不繼居次席
page 4	第廿八屆學生運動總成績
page 4	公開網球賽李惠堂勝基利林珍擊敗陳金洪星期二始續比賽
