page 1	新任蘇俄大使來華
page 2	敵軍進佔周村分兩路攻青島沈鴻烈抽調壯丁五萬人編抗日義勇軍擔任游擊
page 2	大名之敵再度陷我重圍衛河東北地區漸無敵蹤
page 2	在滬日海軍汽輪被手溜彈轟炸
page 2	平偽組織各傀儡將定一日就職
page 2	西陲宣化使署移渝辦公
page 2	台灣革命風潮日益高漲被捕革命份子共達八百餘人
page 2	屏障徐州熊式輝堅決表示誓與暴敵週旋贛省黨政人員決不離境堅持忍耐做到三個不字
page 2	浙省實施戰時青年訓練
page 2	滬敵運輸頻繁
page 2	陝當局設法疏散戰區難民
page 2	經補充後臨安我軍向餘杭反攻在滸溪埠將敵警戒哨兵全部殲滅運河南段之敵現仍艦據揚州一帶
page 2	漢各界組織國民外交協會
page 2	沈子體認養難民六十
page 2	川各界追悼饒國華
page 2	在漢各領籌備二次國際列車運各地外僑赴港
page 2	鄧漢祥昨覲謁林主席
page 2	美艦歐湖號今日由滬駛京
page 2	滬慈善團體請款救濟難民
page 2	日軍部對明年預算提出侵華戰費最低要求為六倔餘萬元
page 2	陝發動婦女參加抗戰工作
page 2	黔抗敵會電蔣擁護抗戰到底
page 2	流動宣傳隊隊員一部抵陝
page 2	美設法撈起巴納號艦
page 2	敵軍昨晨侵入濟市我軍現移白馬山扼守我離濟前自動將濟市全城焚燬魯省府政務人員暫移泰安辦公
page 3	法報評論美國對日態度美雖接受日道歉並不因而滿足其對日態度且當逐漸趨於強硬
page 3	蘇聯觀察下敵空軍之危機認為如此兇殘屠殺必失敗飛機舊技術劣人才亦缺乏
page 3	日政府預備答復英國英艦被攻擊案日海軍破壞香港領海案尚待報名
page 3	王冕論抗戰政策敵人向以赤化誣我觀王談話不辯自明
page 3	日人兩次圖劫取巴納艦案影片美政府派出偵探嚴密保護
page 3	英飛船抵奧克蘭
page 3	日未放棄進攻蘇聯計劃滿州方面完成軍略路線多條俾供屆時輸送軍隊進攻蘇聯
page 3	英國在本年內內政重大事件擴充軍備計劃不列顛帝國會議國王喬治六世加冕及內閣改組
page 3	日方宣稱在日管轄下之居華外僑不能享受治外法權倘有外人在日軍管轄區內作軌外行為將受嚴懲如罪情較大者則將處以死刑
page 3	齊爾非氏將重履英航空大臣職
page 3	羅內閣將改組
page 3	孔祥熙致電旭丹賀年
page 3	英希王族締婚
page 3	倫敦主教演說發揮世界正義
page 3	英委挪比爾為駐華海軍司令
page 3	羅斯福宣告延長白銀協定
page 3	蘇聯大使抵漢謁王外長昨日由蘭州飛抵西安時曾與中蒙代表交換意見
page 4	甲組尋杯賽南華華昨以絕對優勢四對零大勝香港會碩友連建兩功松生水益添花錦上南華門外七鬯無驚君幹儼如備席
page 4	參加鐵如杯賽
page 4	元月一二日舉行南華十五屆陸運大會公開女子四百米十餘隊參加
page 4	振成銀牌乒乓賽華大女勝晨光今晚有兩場在協會舉行
page 4	記者二次出戰對梅芳男校隊三時半在精武會齊集
page 4	英葡看客驚喜異態英格蘭淘汰葡萄牙葡隊以勢弱固守上半場維持不敗下半場負四球後奪回一球破光蛋
page 5	敵機冊架昨日又分批來犯曲江陸空激戰猛烈源潭一橋洞受損失
page 5	敵擾台山續訊
page 5	廣州行商聯請處分不入會商店
page 5	廿七晨據第五路軍駐粵辦事處消息如下
page 5	駐閩省我軍封鎖大燈島沿海敵軍在平海登陸擾民漳廈我軍佈防之外訊
page 5	學界救國工作近誌
page 5	嶺大員生之宣傳
page 5	三醫學院之救護
page 5	農村貸款計劃定期討論修訂
page 5	省府通令免除賀年應酬節省耗費救難民
page 5	廣州報界代表慰問殉國遺族
page 5	李振球昨召開會議商定今後警備計劃曾其清對記者之談話
page 5	廣東煉油廠被匪擄劫之詳情劫油多罐並擄去廠長警局偵緝在梅溪截獲人贓起回惟匪等泅逃
page 5	酒業行商擬請改善禁釀酒法
page 5	學抗會呈請收容失學生徒
page 5	難救會撥款救濟台山難民
page 5	退出上川之敵兵昨廿五日又復登陸台山縣長之電告敵佔各島工事忽自動破壞訊
page 6	煙民在家吸食限制辦注取消
page 6	建廳限各糖廠一律復製煉
page 6	中山警察扣留無照運米糾紛商人請改善發照辦法
page 6	瓊島實施集中訓練義警
page 6	革命同志抗敵年援會告粵人書
page 6	新會聯防總處定元旦成立
page 6	各縣辦救護隊
page 6	陸豐建醮耗費驚人
page 6	警察圍匪激戰
page 6	取沙釀成械鬥
page 6	賊匪盜牛縱火
page 6	廣州市抗敵會肅清漢奸之嚴密組織增設偵查組之條例
page 7	暹海軍漸成日本化
page 7	奧醫來華服務同盟服務團送花募款英醫漢奇定明日北上
page 7	同盟勝務團
page 7	婦女慰勞會
page 7	敵艦泊澳門附近海面巡艦航空母艦各一運輸艦三艘
page 7	惠坪工作團
page 7	澳門營地街焚舖三間疑係因焙臘味失火
page 7	抗戰刊物
page 7	醉漢墮水溺斃
page 7	廣州九車票增價正式宣佈實行
page 7	外國軍事家觀察日戰費銷耗五倍于華平時貯備金已用去三分之二國內無產階級極力反對戰爭
page 7	日在暹厚植勢力本港及星洲均受威脅日擬在暹闢偉大飛機場暹羅海軍已漸成日本化
page 8	抗戰前途到新階段
page 8	日佔上海無力統治
page 8	建立華南文化中心
page 8	新界警官回港
page 8	美輪要求准用華員美政府尚在考慮中
page 8	兩日人被控醉酒滋事
page 8	滬民努力救亡工作
page 8	世界學生會為我聲援擬派代表團來華　查真相
page 8	左雨荃在港逝世
page 8	防火夾萬之成績
page 8	少年服毒求死
page 8	澳撞車案續誌
page 8	章乃器在招待文化界會中演詞我抗戰前途到新階段國際形勢對我有利已成顯著事實敵人雖佔據上海但不能統治上海
page 10	英艦角城來港
page 10	救濟失業海員
page 10	安利輪已浮出昨日入塢修理
page 10	港曼班機遲到
page 10	戰地攝影展覽將再覓地擴大舉行
page 10	少婦投海獲救
page 10	法國影星珍梅列昨抵港
page 10	蔣委員長西安脫險週年紀念滬三百萬市民行升旗禮表示擁護領袖服從政府
page 11	關于民眾運動
page 11	抗戰期中的婦女動員問題
page 11	出錢與出力
