page 2	奉直戰事已結束
page 3	奉軍三路俱敗潰已繳械遺散徐世昌下令遞緝葉恭綽梁士詒張弧交法庭訊辦周自齊亦署名又令直軍回防奉軍撤　關外聽候解決
page 3	京交通次長鄭洪年在豐台被擒
page 3	吳佩孚要求徐世昌將張作霖梁士詒葉恭綽褫職查辦徐恐逼張過急彼將以東三省獨立故尚猶豫
page 3	魚六日徐世昌令梁士詒葉恭綽張弧褫職奪勳位勳章逮法庭定罪又令奉軍著令退出關外直軍亦應退回原防聽候查辦
page 3	張景惠鄒芬逃不過入北京張作相失蹤張學良先逃租界後隨張作霖易服出關
page 3	張作霖乘日本船逃大連說不確今查係由某國兵保護出關海軍陸戰隊及趙旅尚未加
page 3	　　　　懷慶宣　奉軍　　死傷者　　　鎮
page 3	奉軍失敗之原因
page 3	旅長趙明德繆漢臣在西路陣亡鮑德岳重傷張學良聞亦受傷
page 3	吳佩孚電徐世昌謂三使均請免職以謝國人
page 3	徐世昌　吳佩孚歡　但　兵
page 3	　　天津
page 3	張作霖　敗耗　伐督戰以　恢復　尚未　抵落伐時張景惠軍又潰遂即中途　　急逃
page 3	此次奉軍入關共十二萬人只傳李景林兩派未潰退時尚整齊
page 3	吳佩孚追兵五號已
page 3	吳佩孚請徐世昌從速組閣徐擬起王士珍如王不出或
page 3	鍾世銘　接濟張作霖嫌疑吳佩孚囑王懷慶看管
page 3	吳佩孚電張作霖言勝敗乃兵家常事望整隊而退否則我軍幫同護送語含嘲諷
page 3	傳說張作霖初接敗訊時曾求和吳佩孚要求賠兵費二十兆人民損失八兆議尚未協而奉軍三路已潰
page 3	天津守衛極嚴敗兵未搶掠今日尚有敗兵陸續經過洋兵及外僑日夜輪班戒嚴
page 3	某國遊說張作霖以滿蒙自主設緩衝王國張作霖如從恐重陲從此多事但張內部分裂已失統馭能力
page 3	京奉鐵路局長唐某隨張作霖逃
page 3	梁士詒四日逃滬葉恭綽有逃日本訊
page 3	川訊四日張作霖勝利消息到川熊克武劉湘決助陳樹藩侵陝陳已誓師
page 3	吳佩孚要求奉軍潰兵不再編未潰者酌裁如張作霖照辦吳亦裁直兵為各省先但仍主國民大會
page 3	吳佩孚限令張作霖梁士詒系金融機關籌款送運潰兵出關
page 3	王懷慶等所繳奉軍槍械吳佩孚派員分去半數
page 3	　正　候
page 3	　　　　奉恢復交通津浦路瞬亦通事
page 3	京傳在張景惠王承斌孫烈　分督　　吉馮玉祥督皖訊　鄒芬北京　　張景惠則助王懷慶電　敗兵　軍官給費
page 3	　昌之停戰命令覆　之戰爭直軍死傷多數　有覆電作霖雖　奉總統命令便總統仍當　曹錕停戰云云二日吳佩孚致電各　總長官　作霖罪狀十六款
page 3	　　日晚長辛店奉軍受直軍側面攻擊大敗直軍　　晨　　地佔領北京城門隨行關閉云
page 3	直軍佔領京奉號豐台站奉軍向南方退卻
page 3	京漢線長辛店一帶之奉軍三日晚受直軍之襲擊奉軍敗北後京　恐兵級兵逃至城外卻行關閉各城門拒絕入城
page 3	據四日　由　辛店方面來京之救傷隊時所談自三日晚二次晨直軍轉　奉軍右翼猛烈攻擊致奉軍右翼失敗長辛店南方高鎮一帶砲兵陸地復受直軍圍攻在前方南溝口及東西獨立荷之奉軍苦戰多時浙回北方退卻該處以北雖有奉軍衛隊但無防禦之力四日京漢路一帶大部份為直軍所佔
page 3	　安方面之奉軍中路亦已回魯廊庄敗退奉軍得接敗訊開始全線總退肆
page 3	天津　張作霖　軍糧城對東　方通訊社記者陳述戰況並云余之出兵目的已見通電吳佩孚非余敵手其自矜之第三師已有一部在長辛店方面投入奉軍直軍餉窮蹙到處掠奪以　人民曹錕正張皇整理在　之財產但余以南北統一為目的區區財產向在眼內云　氣　頗張
page 3	東京電英　力面交　海衛之條件報載　要點云一將來威海衛之布行政　參預二中國將來　威　衛為軍　時冬季須尤許英國軍艦出　三糧良品　舊　免關稅
page 3	孫中山起程韶之情形
page 3	陳炯明兵力　厚
page 3	英皇登拉紀念
page 3	陳炳生將來港
page 3	　例局定例草案
page 6	　歡迎顧維鈞
page 6	討論
page 6	樹膠市情
page 7	再派姚雨平請陳炯明回省
page 7	第一師定關赴韶
page 7	駐潯魏　又不能返粵
page 7	　會改選　長之競爭
page 7	瓊東學生　　西沙島
page 7	新任省長之說笑
page 7	政府又要收銀毫
page 7	帶之　　隊傳聞
page 7	粵贛邊境　恐慌
page 7	朱老　搶拘
page 7	以監督紙幣權授之商聯
page 7	古勞茶失收
page 7	省城米貴之所聞
page 7	福軍回防南番各屬
page 7	各衙署解嚴
page 7	鄭祖怡　放
page 7	恥紀　大會赴　　
page 7	開會慶祝
page 7	慶祝　中之
page 7	添設憲兵一營
page 7	接收無線電局
page 7	工人鬥毆斃命又聞
page 7	肇慶工大鬧國民黨支部
page 7	賭違　　
page 7	總部搜存私煙之飛去
page 7	海軍　餉之新支配
page 7	總商會呈請准予紙銀並用文
page 7	瑣聞一束
