page 1	國米與洋米
page 2	賀國光談話六項辦法極為公允劉主席已極意接受
page 2	魏道明談中央對洋米免稅入口令當不至收回成命蔣謂粵為革命策源地北代時期負擔頗重此次米荒中央當澈底救濟為民解除痛苦
page 2	川萬縣空前大火全縣四分之一被焚被燬二千餘戶損失約五百萬死亡二十餘人災民約二萬餘
page 2	當不致收回成命
page 2	埃　發現六千年前古塚
page 2	美國海員又鬧罷工風潮
page 2	日人鑄化銅圓廠又肇傷人慘劇
page 2	冀東偽組織遷唐山說已作罷日現正籌築唐通熱通兩鐵路此項計劃意在側重軍事侵略
page 2	財部核准輸日蘆鹽十萬公噸為限
page 2	失業少年吳振民冒名騙職敗露
page 2	惠通公司虧本逾十萬元
page 2	德政府加緊排猶政策
page 2	蘇駐日大使訪問佐籐交換調整華北意見俄使此次返日攜有對日新方針故今次談判之經過極堪注目
page 2	川軍國軍化日漸實現川軍待遇問題中央絕不歧視何應欽是否入川刻尚未決定蔣委長精神甚健惟背傷未復原許世英已打消辭意
page 3	立法院例會通過修正國葬法及國葬墓園條例公共工程減少工作時間公約案暫緩批准
page 3	討論各事項
page 3	國葬法全文
page 3	國葬墓園條例
page 3	林主席離贛返京各界歡送人員不下五萬餘人齊集車站歡呼萬歲情緒熱烈
page 3	蘇駐英大使宴台維斯請與美合作發展蘇遠東海軍計劃在蘇北部漸曼斯克港建海軍根據地邁氏特請求台氏商由美國技師予以合作
page 3	南洋兄弟煙草公司將聘宋子文為該公司董事長決定增加資本從事復興運動
page 3	救濟黔災財部撥款十萬
page 3	國府建都南京明日十週紀念將舉行隆重典禮
page 3	吳稚暉否認覆車受傷僅因車震動傷額
page 3	蒙德婁會議討論公堂問題決定上訴庭庭長應以外國人扣任
page 3	桂攷察團赴漢
page 3	中英庚款會設置獎金兩種徵求初中史地教本每種獎額定四千元
page 3	三月內滿洲產金值百八十餘萬
page 3	沙赫特談話英金融界贊成如欲各國對德貸款須先綏和政治局勢
page 3	國際織造業委會採納日方提議低減織造品入口稅
page 3	冀東偽組織組赴日攷察團
page 3	華南米業公司今日開創立會選舉董事通過章程
page 3	汪夫婦蒞美展會參觀
page 3	林雲陔視察閩省計政今日離閩赴廈轉粵
page 3	范熙績任江漢工程局長
page 3	朝日新聞機神風號飛往柏林
page 3	西亂監察計劃定十九日全部實施撤退西志願兵可望計劃實現蘇意兩國代表已不堅持成見
page 4	東方會對奧斯德南華南對九龍兩場有同樣重要赴菲在即欲勝強旅養名氣果能得勝造福南華南不少九龍也是南華南畏友必戮力與戰
page 4	足球之利弊與運動道德一李惠堂在播音台作足球講座第六講
page 4	東亞女排球隊勇挫克虎三對二最後勝利
page 4	普通界籃球賽青年會戰印警相信印警必極力抵抗
page 4	公開網球賽陸王苦戰克蔡吳星期一始有一場雙打
page 4	拔萃書院週年運動會成績課餘展覽會物品巧妙美麗
page 4	兩棋王鏖戰六局周德裕勝利得金章六總成績三勝二和一敗第六局周勝
page 5	米價近日狂漲
page 5	米行損失慘重
page 5	發起擴大呼籲
page 5	程天固抵省昨發表重要談話糧食問題分治本治標辦法
page 5	財廳人員更調續訊新委參議多力辭營稅局長亦辭職
page 5	沈氏今日晤吳
page 5	同時向程訴苦
page 5	今日向吳遞呈
page 5	前越督范抵省
page 5	吳主席昨到省府就職視事黨政軍長官職員觀禮者數百人即日會商省政及委出秘書科長
page 5	觀禮擠擁
page 5	蒞任情形
page 5	行就職禮
page 5	接事佈告
page 5	發表談話
page 5	僚屬公安
page 5	各方電賀
page 5	就職通電
page 5	吳主席就職情形
page 5	米業三團體昨向市商會建議對免稅洋米進口擴大呼籲米商定今日舉派代表分謁吳程米業要人昨對本報記者之談話
page 6	廣州市政府完成開闢內港之計劃全部經已草擬完竣
page 6	總部在韶組腳氣病醫院
page 6	省商聯會設四區辦事處洋米免稅入口呈部請速發證
page 6	標煙特派員李基鴻昨晨就職
page 6	營稅評議會十二次會議紀要
page 6	駐羅保安隊謀搗亂二十三大隊長計誘繳械反動隊長被擊斃
page 6	商會集議應付重複征收之所得稅重慶商會來函錄要
page 6	五路軍成立後已改穿中央制服
page 6	赴暹華僑五百餘被解回汕
page 6	粵港　瓊崖實業考察團原定十八日出發乘兵艦前往
page 6	記者昨訪保甲處主任梁謙武
page 6	十五日廣州市中山欖鎮公會
page 6	省會警察局
