page 1	桂局之曙光
page 2	日本大使官邸中對解決蓉案有重要協議須磨出席報告訪我外交當局後之情形川樾今日乘出雲艦入京開始向我交涉
page 2	津日軍部又擬擴大豐台事件欲迫我軍撤離豐台
page 2	華北中日經濟協定王抵平後即可簽訂日派阪垣出席會議偽滿亦派大橋參加
page 2	無敵國外患者國恒亡馮在紀念週中演講敵國外患日趨嚴重實不能再苟安下去我們要具死裡求生精神不惜以死報國
page 2	滬市租界趕辦煙民登記
page 2	冀察當局定期厲行禁毒凡吸食毒品者一律判處死刑
page 2	曾養甫出席紀念週演講粵省新政
page 2	吳鐵城報告鞏固統一工作應注重教育訓練民眾以鐵的紀律鞏固統一
page 2	川省三廳長舉行宣誓就職劉湘代表監誓
page 2	京工人福利會電蔣委長慰勞
page 2	財部令飭各區稅務局嚴查漏稅捲菸
page 2	河內舉行商品展覽邀請我國參加實部通令粵桂商會轉知商人預備參加
page 2	滬法界賊匪圖劫未成華捕擊斃一匪
page 2	京市鐵路與京蕪路接軌俟簽字後實行聯運
page 2	桂局和平解決寧粵滬朝野各界均大快慰桂邊中央軍已開始撤退李白將於日內來粵晤蔣
page 3	冀察當局公佈設立冀察稽查總處真象稽查登陸私貨與海關方面並無衝突實係臨時性質絕無另立新稅則之事
page 3	豫東旱災慘重災民赴普就食
page 3	新任駐津日總領事明日正式就職田尼乘機返津交代
page 3	張嘉璈赴杭轉南昌視察粵漢全線
page 3	足球健將李惠堂業餘資格問題正在嚴查中
page 3	日人在滬開設堵局被警搜獲一網成擒
page 3	濼河上游缺口兩岸農田被淹
page 3	中美交換學生美學生廿六名即來嶺大肄業
page 3	林雲陔病勢仍未痊愈電監院續假二星期
page 3	蔣委長撥款四千特獎魯大昌部
page 3	蒙藏會籌備追悼諾那大會諾那遺灰即將運京俟公祭畢運廬安葬
page 3	隴南匪勢已殺俘虜七十解抵蘭垣鳩形鵠面疲乏不堪
page 3	隴海路局重申運毒禁令
page 3	財部考取稅務人員昨日舉行口試全部竣事明日發榜
page 3	吳鼎昌由蕪乘車返京
page 3	農本局將召開創立會該成立後首要工作將從事於倉庫之設置
page 3	故都首期文物整理定九月底結束先定修理天壇等工程
page 3	蕭同茲朱暉日等一行昨日抵滬俞鴻鈞等到埠歡迎
page 3	日全國警察高級組舉行首腦部會議
page 3	葡國允守中立
page 3	陸部發表戰報
page 3	馬德勒城陷落在即英代辦已令英僑民離境法社會黨主張干涉叛軍
page 3	政府軍隊內訌
page 3	羅斯福播音演說警告美國人民勞資雙方互相利賴當能促進全國福利
page 3	旅行機在美失事搭客十人斃命
page 3	國際全權代表辦事處設置專門委員暫行辦法外部製定後昨以部令公布
page 4	廣州渡江泳續詳高合宜臨干不泳
page 4	體育健將龐磐芳學成歸來準備為國效力
page 4	三千公尺長途泳十三日上午舉行提前於九日下午六時止截報名
page 4	全港水運會分兩日預賽十五日起舉行決賽
page 4	華人游泳會週年水運會完竣
page 4	津滬埠際游泳賽第一日郭振恒獲俯泳冠軍成績一分十三秒二十七比十滬佔優勢
page 5	迎白崇禧來粵
page 5	李宗仁就新職
page 5	財廳核准減征四種雜稅率照原征稅率減二成
page 5	十九路軍問題
page 5	粵路軍運情形
page 5	成立全省營業稅總局與撤銷用商照資額為稅準問題全省稅捐總局暫不成立商人將請財廳仍用商照資額課稅
page 5	廣州長途電訊桂局和平解決之種種蔣已令各中央軍撤退給十五萬元為十九路組軍費李白來粵謁蔣訊粵將組監察處以鄒魯任處長
page 5	桂局和平之有待於表現者白氏來粵與李氏就新職某軍要談十九路軍之情形粵路仍運軍用品南下但與桂局之和平解決無關因此項軍運已在日前決定
page 6	中央又開始接收石井兵工廠
page 6	無線電報局電政局已接收完竣
page 6	國選要聞兩誌團體參加之資格
page 6	市小教職員索薪潮之擴大
page 6	省市黨部整理各團體步驟先派員視察團體狀況增設婦女股指導婦運
page 6	昨晨紀念週曾養甫報告禁賭
page 6	裁稅禁賭後之彌補計劃劃分國省稅收確定預算設法彌補鞏固法幣基礎必不再發毫券因大小洋比率問題收買白銀無進展法幣分會委員擬由商界選任
page 6	粵鹽運湘辦法
page 6	范德星請辭職說
page 6	劉軍冠復任推事
page 6	各軍區司令部緩設後
page 6	國立中山大學社會學系主任兼社會研究所主任傳尚霖博士
page 6	林雲陔未能兼勷大校長
page 6	法科院院長鄧青陽
page 6	省營物產經理處正經理陳君璞
page 6	國聯女記者蘇斯
page 6	新任市政府秘書長會蹇
page 6	寶聯會請免抽租捐省府將提出議決俯念市內人民經濟枯困舖屋碼頭租捐及借租某未繳之租捐均豁免本星期五日可提出省務會議
page 7	訪蕭　成
page 7	桂局前途
page 7	行止未定
page 7	水塘滿溢存水大增
page 7	低窪之地盡成澤國
page 7	連日大雨之結果水塘蓄水突破歷年紀錄總量已達四十萬加倫除城門一塘其他均滿溢
page 7	殘舊屋宇形勢危險
page 7	楚有楚謙兩艦昨開西江現駐西江軍艦共六艘
page 7	西林寺改建落成
page 7	汽車撞傷一路人
page 7	廣九路取銷深圳特別車
page 7	住年妹賣田打工
page 7	宋美齡日間返省
page 7	英飛艇又將來港由英遠東空軍司令統率
page 7	屋經蟻蛀尤須防範
page 7	王寵惠談白崇禧將隨蔣晉京寧桂隔閡悉已消除全國統一殊可欣幸
page 8	恢復以前刻板態度
page 8	吐痰答案亦屬舊調
page 8	美穗派車救護華僑
page 8	屍骸山積供用火化
page 8	地方紊亂槍彈橫飛
page 8	菲總統女秘書到港談在西班牙遇險之經過西境內積屍如山流血成渠紅軍對衣衫襤褸者不盤問
page 8	設法改善不容再緩
page 8	防微杜漸當務之急
page 8	夫妻遠離音訊隔絕
page 8	西報著論指摘衛生局對公共衛生不思改良祗有調查工作並無實施方法答癆之質問尤令居民失望
page 10	大會堂暫不拆卸陳死車打所遺古玩
page 10	港大已定期開課
page 10	偽幣案押候查究
page 10	紅丸案兩宗提堂
page 10	誘良為娼之疑案
page 10	窮漢投海幸遇救
page 10	滾水泡傷女童已死
page 10	九龍城道虛報火警
page 10	意圖不軌入獄四月
page 10	西青會將修改會章
page 10	義勇軍仍野外宿營
page 10	瓊崖農業專家吳賢壽南返過港
page 11	三水河口駐軍暫駐民房
page 11	異聞群猴咬斃馬熊
page 11	河口夜間禁燃炮竹
page 11	清遠六三師派隊管軍橋
page 11	匪夜劫警隊分駐所
page 11	婦女力爭國選名額六代表昨午向當局請願通電呈文及告女同胞書
page 11	致南京電
page 11	分電各縣
page 11	呈各當局
page 11	告女同胞
page 11	軍警團剿匪黨激戰
page 11	九江沙口風覆果船
page 11	運報艇大王滘被劫
page 11	恢復模範縣政制楊子毅與省主席接洽
page 14	教長王世杰離牯前談教育大計義教經費明年起增至千萬元全國各村鎮設置電化教育網
page 14	義教五年計劃
page 14	成人識字教育
page 14	電化教育運動
page 14	漢字注音問題
page 14	察北偽匪變更策略不犯綏東進擾綏西王英派人赴綏西活動企圖佔河套為根據地
page 14	悲壯輓聯
page 14	發生槍聲
page 14	中元節北平追悼陣亡將士游客擁擠時槍聲突作受傷三人軍警出動鎮壓秩序旋即恢復
