page 1	外交上之兩大喜訊
page 2	晉南我軍又大捷克復刮皋落鎮迫近垣曲垣曲Ｘ砲擊南岸似掩護退卻同蒲路之張皋站被我炸燬
page 2	日經濟機構已失約衡美國務院之報告
page 2	小學女教員請纓殺Ｘ效木蘭之所為志行彌足稱道
page 2	滬銀錢業實行匯劃
page 2	限制滬市提存辦法財部聲稱係暫時性質俟市面回復原狀即行取銷
page 2	Ｘ機炸常德兩英僑被炸斃
page 2	意外交方針進攻物件為巴爾幹半島煽惑保國要求收回失地極力向阿拉伯民族拉攏
page 2	Ｘ司令大塚被我擊斃
page 2	法增參謀人數
page 2	齊亞諾定期下月訪西
page 2	美國加省發生大地震
page 2	美國人民阻廢鐵運日
page 2	星洲英法聯防會議討論暹羅之地位問題荷蘭當局將與英法交換意見
page 2	Ｘ大藏省強化管理匯兌修正以前辦法七月一日實施
page 2	國際糖業會議昨在倫敦舉行
page 2	日本厲行新生活運動見我收效起而效顰
page 2	英法蘇談判必有完成希望波羅的海諸國無論願否受保證而在英法蘇三國則必須保護之
page 2	美派輪助法打撈潛艇殘骸
page 2	英貸款與羅國經已成立協定
page 2	Ｘ沿潮汕路北犯在新塘與我展開激戰我生力部隊已陸續開赴汕北前線梅溪Ｘ我隔河對峙四基圍Ｘ被圍
page 3	史密斯已獲釋放津英僑仍受侮辱
page 3	法外長龐萊報告國際局勢津案仍有就地解決之可能英法蘇談判務當賡續努力
page 3	摩里遜抨擊西門中國局勢一至於此西門實負重大責任
page 3	關於偽聯邦政府汪建議設南京仍用青天白日旗Ｘ亦提兩項要求
page 3	美政界人士熱烈討論禁械運日問題宣佈禁械運日中國亦受影響最善辦法仍為對日經濟制裁
page 3	湘北全線沉寂
page 3	兩月來浮山戰況一
page 3	日向英國挑戰美法蘇亦必牽入漩渦各關係國目前仍暫取隱忍態度將來必須聯合行動以應付遠東
page 4	新鶴戰區時症流行
page 4	請各善團代募藥物
page 4	潮僑今日會議討論救濟桑梓難民
page 4	婦慰會募捐訊
page 4	游泳場中小童中暑獲救
page 4	黃二南畫展會今日為最後一天
page 4	西江青年會籌備委員選出
page 4	古鼎華函宋子文請代受傷將士募藥物並請許賑委長救濟難民彭玉棠談江會前線近況
page 5	我軍一度衝至沙堤
page 5	新鶴路亦發生戰事
page 5	九江Ｘ兵赴江增援
