page 1	須磨回國與中日談判前途
page 2	蔣委長西飛日軍中央部大起恐慌急召首腦會議密商對策又決定對華北施行最高壓行動將以秋操為名造成極恐怖慘劇
page 2	胡故主席今日舉行國葬典禮胡墓園於昨日已佈置就緒由中央主祭委員行破土禮
page 2	蔣委長壽辰獻機典禮宣傳要點標語與紀念歌詞在使民眾認識蔣委長為唯一領袖一致擁護蔣委員長完成國民革命
page 2	滬各界損獻壽機十架昨日舉行命名典禮參加各團體代表民眾十五萬人天主教會奉總主教命捐五萬元
page 2	日人傳菲總統來華協商共同對日陣線實行抵抗日本南侵國策
page 2	宣傳要點
page 2	京各界發起創辦漢民學院現已開始籌備推定籌備委員
page 2	紀念歌詞
page 2	宣傳標語
page 2	現祇作非外交方式之談商須磨承認有第三國起而干涉川樾利用側面機會暗示促蔣返京須磨已到長崎轉東京得訓令後即返任
page 3	駐蘇聯大使蔣廷黻昨日離滬赴任蔣氏臨行發表談話上下團結方有出路
page 3	志成學校桃色案主角逯明宣告無罪
page 3	香翰屏等參觀砲兵學校並在湯山沐浴遊覽
page 3	滬港空線下月正式開航廿四日首次由滬出發
page 3	德國實施全國工業統制比戰時統制尤為完備
page 3	法大使那齊雅昨飛平
page 3	日對華北農業作有系統考查此次調查極可注意
page 3	暹羅華獻白象祝壽並以一頭贈陳樹人
page 3	和平不絕如縷不干涉西內戰調委會開會蘇聯尚未正式退出該委會蘇聯或將請召集國聯行政院會議以謀解決葡政府宣布與馬德勒西政府斷絕外交關係蘇極力避免與德意作運輸軍火競爭
page 3	蘇聯民眾準備應付萬一事端
page 3	意視蘇聯照會不過掩人耳目
page 3	德對蘇聯舉動並不表示驚異
page 3	國聯各界意見大局至足憂慮
page 3	英向美與加拿大定造軍用飛機千架美加製造飛機公司股票飛漲
page 3	意德兩國談判將在白爾加施特加登城舉行意首相昨已啟程赴該地與希特勒會晤
page 3	李維諾夫辭說係屬反俄宣傳
page 3	美國空軍大演習在太平洋舉行海軍巡邏機四隊將自真珠港出發
page 3	國勞海軍會議通過我國提案海員平等待遇問題廢除工頭包工制度
page 3	警察號及七閩號壽機八架昨日舉行命名典禮粵省銀行董事會議決認捐購機一架湘省各界捐款二十八萬元購機三架
page 4	今日麗華杯初賽陸軍聯隊實力之雄近年來所僅見華聯少壯派可得勝乎球藝自不如人惟士氣激勵當有佳妙演出文員戰海軍一場高下分明預料文員勝利四時起分在海軍球場九龍會場舉行
page 4	東方會甲組大有進步昨戰蘭開夏僅以二對一失敗曾仲雲帶傷應戰下半場始失敗
page 4	游樂場小足球賽委員會昨開會議陶義及深水埔紅隊上訴駁回
page 4	昨日學界籃球賽港大華大雙奏凱乙組仿林克保羅
page 4	公開排球昨開幕球證不到未有舉行比賽
page 4	法學院班際排球賽
page 4	成績二對一中華敗于九龍會九龍上下半場均獲勝一球中華僅以十二碼球破光蛋
page 5	事前情形
page 5	撞車慘況
page 5	肇事原因
page 5	南段赴援
page 5	路局會議
page 5	行營查究
page 5	參加葬胡典禮孫科等抵省情形各方代表數十人同來
page 5	車站候迎
page 5	閩匪竄粵邊後潮屬各地匪共之蠢動
page 5	桑浦口發現匪蹤
page 5	北山之土共猖獗
page 5	古大存潛回豐順
page 5	廣州長途電訊擬以廣東為模範省之籌劃市財局調查市產預備招投
page 5	國民大會在短期內可開會中央各委員之所談
page 5	同來人員
page 5	粵漢鐵路發生撞車慘劇詳情車卡粉碎軍隊死者三十餘人昨晨零時全路交通經已恢復
page 6	四集團軍整飭軍紀國步多艱抗日責任仍著落肩上務本已往奮鬥精神宏將來大業
page 6	范其務明日接收中區綏署
page 6	張之英昨日與海校員生話別
page 6	酒樓工人拒收筵捐案已和緩新頒苛例財廳允暫緩執行
page 6	河南著匪被捕
page 6	好因緣變惡因緣被控重婚誘騙案
page 6	捐火柴購機請免稅出廠不准
page 6	廣州市社會局長劉心石
page 6	第四路總部現以一五八師參謀長曾舉直
page 6	今廿五日乃胡故主席漢民國葬
page 6	省政府主席黃慕松
page 6	人口貨蓋嘜列號問題影響農稅局收入各行商仍請改善報關行抄發海關布告
page 7	過港情形
page 7	開航日期
page 7	飛剪返菲
page 7	祭胡大員孫科等昨已晉省各方代表隨行者三十餘人感懷舊事謝旡量舟中賦詩
page 7	廣九路局備車歡迎
page 7	各方代表隨同赴粵
page 7	羅翼群等昨均返省
page 7	謝旡量氏感舊賦詩
page 7	威力士條陳暹府請舉辦中暹航線運木材生果來華推銷招商局亦擬派輪行走
page 7	威氏條陳
page 7	推銷暹貨
page 7	減入口稅
page 7	機器會復僑教會決不出席該會迎黃會議
page 7	九龍國選中央僑委會准通融辦理名冊署有九龍字樣者歸寶安無者仍得劃歸港僑方面辦理
page 7	四項要求
page 7	據李氏稱
page 7	麥煥章過港赴滬
page 7	羅忠詒昨日抵港
page 7	英皇批准之新例
page 7	中航機昨試飛港滬定下月五日正式開航省港客腳有酌減消息
page 8	僑工獻機會已定期結束獻機總會昨又收到捐款千餘元
page 8	獻機總會
page 8	播童團體
page 8	本廠工人
page 8	僑工會議
page 8	第九次特別賽馬昨舉行秋季馬票同時開彩首名票號五七七零二得彩銀二萬八千餘元
page 10	青山道木屋被焚
page 10	衛生局定期會議
page 10	東華萬善緣法會勸捐成績頗佳
page 10	一老婦服毒殞命
page 10	羅旭和在省　酢
page 10	初級法庭案彙誌
page 10	行劫
page 10	潛回
page 10	盜竊
page 10	傅秉常任仿中校董
page 10	開採林馬鳥礦產港商擬集資二百萬
page 11	增派砲艦出防西江護商
page 11	欖　建築冷藏庫發現大幫埋屍
page 11	仁化等五縣召開聯防會議
page 11	南江口焚舖數十家
page 11	北灣等圍兩次被劫
page 11	請准捐資修西岩寺
page 11	京背鄉捕獲劫殺匪
page 11	筋坑築水圳之血案
page 11	禪行署更調各職員
page 11	縣府職員索薪風波
page 11	破獲森村之大賭窟
page 11	九區匪徒圖劫被擊
page 11	匪徒劫絲艇兼擄人
page 11	輪拖撞沉永安小艇
page 11	悅城酒戶停止甑酒
page 11	瓊崖防軍將舊軍衣施贈貧民貨無用為有用亦惠民之事也
page 11	旅暹華僑李克三派員獻寶刀祝蔣壽馮燦利等過汕轉京刀嵌明珠兼有文字
page 14	名人生活林主席
page 14	日本政潮醞釀之分析
page 14	一台灣總督改文為武
page 14	首都大火朝報館殃及被焚損失頗鉅保險四萬餘元
page 14	篷廠起火
page 14	波及鄰家
page 14	照常出版
page 14	損失甚鉅
