page 1	日本外交之彷徨
page 2	反攻大良有功省府嘉獎袁帶
page 2	滬津我游擊隊攻入龍華治Ｘ援兵至始引退
page 2	蔣委長加強抗戰後盾分區訓練民眾閻錫山白崇禧為西北西南主任華西後方由蔣委員長親自訓練
page 2	皖南全線開始反攻大戰即將展開
page 2	滬日商公大紗廠傷兵擠擁思鄉不已放聲大哭
page 2	Ｘ各銀行枯賑累累雖贏餘亦虧本
page 2	滄縣東北偽保衛團反正
page 2	晉南浮山激戰Ｘ機連日在東陽關帶肆虐
page 2	吉安疏散人口
page 2	重慶衛戍司令劉峙宣誓就職汪東等監察委員同時宣誓
page 2	乙鄉村宣傳辦法
page 2	甲城市宣傳辦法
page 2	二期抗戰二次宣傳週宣傳辦法定四月十柒日舉行
page 2	Ｘ仍藉口軍事關係未能開放珠江英輪數艘尚被封鎖
page 2	鄂東我克浠水湘北我軍克復新開塘羊樓司羊樓洞Ｘ增加
page 2	南昌仍由我軍固守萬壽宮一帶展開血戰Ｘ戰車多架觸中地雷被炸毀陳誠將軍親赴南昌前線督師
page 3	馬德里城已告陷落佛朗哥已入城
page 3	駐東京英大使請假休養過滬時訪寇爾交換時局意見
page 3	匈仍向羅壓迫羅作軍事措置
page 3	法西斯廿周年紀念日墨索里尼演詞法意關係亦憑武力決定要求增加大炮戰艦飛機
page 3	匈斯又起劇戰炮火甚烈雙方傷亡甚多
page 3	盛傳法國將以巨款貸我
page 3	土國選舉結果經已揭曉國民黨佔優勢
page 3	德意軸心
page 3	起而應戰
page 3	現在事情
page 3	意國命脈
page 3	多些槍炮
page 3	其赤如血
page 3	德方贊揚
page 3	法方評論
page 3	英極注意
page 3	波蘭政府秘密進行備戰傳德又向波提出要求目的在波蘭走廊權益
page 3	我軍連克信陽西北要地
page 3	蘇聯大使返國
page 3	Ｘ機襲擊汕頭我方無大損失
page 3	茶園口Ｘ已分三路潰竄
page 3	Ｘ機兩炸潼關
page 3	意國對法最低限度願望都尼斯吉布底蘇彝士河
page 3	意大使昨離滬
page 3	漁業談判日方表示讓步願接納一臨時協定一年為限逐年改訂
page 3	希特勒抵慕尼克
page 3	東野正剛返日
page 3	滬法軍司令參觀難民所
page 3	凡勒拉稱愛爾蘭仍有獨立必要英愛國防上合作一舉難以實現惟他國決不能假道愛爾蘭攻英
page 3	昆明鐵路發現煤層
page 3	英政府聲明現尚無意採取徵兵制艾登主張組織混合內閣抵抗侵略行為
page 4	英艦來去調查
page 4	捐金購債彙誌
page 4	均益倉獲厚利昨開股東年會
page 4	救難會之月報
page 4	防空教練考試
page 4	服務團徵集書報
page 4	警探破獲私寨
page 4	葡籍義軍　歡
page 4	美國美爾頓大學中國分校
page 4	本港造船業日益發達黃埔塢去年造船十七艘獲純利一百六十餘萬元
page 5	Ｘ偷襲小黃圃被我擊潰詳情
page 5	九江Ｘ軍偷測甘竹水度江尾仍安謐如常
page 5	桂林西南行營派員巡視粵省各戰線現已抵韶先至西江Ｘ防我反攻之近態
page 5	梁猛虎返防後決短期內收復鳳角擴大軍民合作效率組各界抗戰工委會
page 5	獲Ｘ軍鴿須交出研究
page 5	粵省澄清吏治之先聲決議撤辦三縣長由行政專員訊辦
page 5	粵重新調整師團管區
page 5	Ｘ軍已入市僑限商店四一復員業
page 5	九江Ｘ抽調空虛Ｘ已準備放棄河清甘竹左灘之Ｘ圖佔右灘旋即退去順德沙頭糖廠全部機件被Ｘ搬運
page 5	Ｘ淺水艦駛甘竹灘
page 5	大良Ｘ軍搬糖廠機
page 5	左灘Ｘ兵進犯右灘
page 5	粵發展戰時經濟組調查團並設經濟建設會
page 5	Ｘ舉行防禦大演習
page 5	Ｘ趕築工事之情形
page 5	我軍迫近增城攻觀音岩Ｘ機炸汕之續訊南澳之Ｘ已退去
page 5	容桂大戰行將展開Ｘ偷襲小黃圃被我擊退沙頭之Ｘ準備炮擊容奇並圖由小黃圃進製容桂
page 6	神崗Ｘ軍擾南蛇頭
page 6	大崗我軍抄擊Ｘ陣
page 6	廣新公路軍運頻繁
page 6	江門航業合作社不願加入者之訴願指為違法數點
page 6	軍政要人行蹤
page 6	信余森文
page 6	七區專員張炎禁止運輸米糧出口並派員視察各縣行政防務
page 6	巡視行政
page 6	禁糧輸出
page 6	洋米核准免稅後四邑米價漸降
page 6	教廳在平遠縣設立臨時中學收容戰區學生
page 6	免稅米運汕指日可以實現
page 6	赤坎警隊破獲賭窟捕獲賭徒十六人
page 6	南路督導區二期抗戰宣傳開籌辦南路導報
page 6	Ｘ機昨又轟炸海康在港頭投彈數枚
page 6	古鼎華昨抵台山視察
page 6	北江大戰仍未展開南蛇頭大岡連日哨戰廣新公路Ｘ軍運忙趕在新街修築工事
page 7	體育衛生不能偏廢
page 7	予以機會變換環境
page 7	財部規定吸收僑匯統一辦法指定中國銀行專買各行橋匯匯兌行市亦須以該行為標準
page 7	組織章程各部設施
page 7	啟德航校練習機失蹤學校當局請警察協助查究
page 7	波音機昨抵港載客四十六人
page 7	伍智梅昨赴韶
page 7	Ｘ機飛炸揭陽港汕庄昨接電報
page 7	制裁加租迫遷法例有效期必延長華人代表羅文錦昨發表意見現住居問題之嚴重與前無異
