page 1	英日談判有中斷形勢
page 2	晉省東南戰況愈趨激烈長治壺關Ｘ屢犯平順不逞沁翼公路南我殲Ｘ四百餘
page 2	煙台英領署亦被日人搗毀徐州加教士兩人被捕晉省淪陷區英僑被逐
page 2	Ｘ艦在橫門觸雷沉沒Ｘ軍溺斃甚多
page 2	錦河北岸之Ｘ被我掃蕩潰竄我乘追擊抵生米街附近
page 2	天津水災勢難倖免
page 2	Ｘ在增城石龍集中企犯惠陽博羅我軍及團隊正嚴密監視
page 2	Ｘ機分批襲桂梧州龍州等被炸
page 2	反侵略會定期獻旗
page 2	日方決定應付歐局原則將召開內閣五相會議已正式通過有田原則
page 2	行政院例會議決要案
page 2	英決引渡津案四華人郭大使受命向英交涉我政府擬向國際法庭為四華人申訴傳英願與日討論經濟問題實不可靠
page 2	桂林美僑房屋被Ｘ機所炸燬
page 2	渝市黨部歡迎桂慰問團
page 2	東流Ｘ犯江　展開猛烈血戰
page 2	傳我財政當局將行新貨幣政策發行一種新幣代替大洋券杜絕Ｘ用大洋券套取外匯
page 3	英為但澤問題向德警告德侵但澤英決應戰
page 3	意謂德意態度已趨一致德必解決但澤問題
page 3	國際勞工大會席上我代表朱學範陳詞斥日Ｘ侵華為國際侵略禍首述我工人苦況籲請國際行動
page 3	英外長返京整理情報
page 3	倫敦證券市情甚少變動
page 3	斯洛伐克發生復土運動收回羅波匈所佔地
page 3	盛傳教廷出面調停歐局墨索里尼經已同意
page 3	美助中美各國增強海防
page 3	邱吉爾赴法視察馬奇諾陣線
page 3	美外部考慮取締軍火輸日
page 3	德百八十萬大軍大規模演習中團單位演習本星期可結束師單位演習九月初始完畢
page 3	溫哥華華僑阻止廢鐵運日在碼頭盤踞罷工卒達勝利之目的
page 3	天津美籍寡婦被日軍掌摑雖有日副領事名片亦不能阻日軍事暴行
page 3	南太平洋鐵路被工人所破毀夜車一列出軌死傷達百餘人
page 3	墨索里尼突主張以談判方式修改和約解決經濟殖民地德被包圍等問題並準備德義電合作以應付非常之變
page 3	李漢魂廣播演講廣東民眾起來一致Ｘ
page 3	青島偽聯議會無期廷擱
page 3	但澤問題將擴大成為瓜分波蘭德意報紙近日對波大肆攻擊法國決定實施予波切確保證
page 4	衛生局昨會議
page 4	女新運會捐訊
page 4	違犯防空法例四人受薄懲
page 4	瑞典公司之義舉
page 4	非常時期營進日犧品我政府准領特許證分　出及商銷兩種領證辦法昨已公布
page 5	派大員督師
page 5	東江之推進
page 5	市南近郊我團隊在鳳南公路炸毀Ｘ軍車Ｘ工程隊班長傷重斃命
page 5	白崇禧令粵加緊動員民眾
page 5	克復區域處理Ｘ偽鈔票辦法限人民七日內自動呈繳
page 5	番禺團隊深夜清奸
page 5	Ｘ方謀應付
page 5	粵省府澈底裁廢苛捐什稅財廳訂定存廢標準飭各稅捐機關查報
page 5	省府奉令舉辦國營工廠登記
page 5	粵綏靖署召開國民兵役會議
page 5	Ｘ南犯詭謀
page 5	中山無Ｘ蹤
page 5	粵省府嚴禁運載機械離境
page 5	籌備舉行農業合作會議
page 5	粵省政設計會及研政會成立
page 5	大亞灣Ｘ艦向汕尾駛去昨Ｘ機迭向廣九路各地窺伺石龍增城Ｘ防我便衣隊混入
page 5	汕市情形之實地調查
page 5	禁煙專款管理委員會章程
page 5	別動隊攻鍾落潭
page 5	禪炭線五路襲Ｘ
page 5	西北兩線最近戰況
page 5	入太平燬Ｘ輜重
page 5	　三線Ｘ大戒嚴
page 5	各線戰事沉寂中我反攻軍事加緊籌備Ｘ亦集中兵力不暇分擾各地
page 6	省賑會撥款施賑禺南由何燮天辦理一切
page 6	江門會城昨發生火警我團隊乘機衝進殺Ｘ
page 6	Ｘ艦截奪私梟貨船滿載鎢銅值卅餘萬元
page 6	Ｘ機炸興寧之慘重落彈凡八十枚城內大火留隍落彈十餘死傷甚重
page 6	中山腳踏車限期登記
page 6	省社會工作團昨抵惠陽
page 6	粵各縣早造豐收糧食恐慌得平安渡過當局並妥籌根本解決方法
page 6	救濟經過
page 6	防患辦法
page 6	合浦兩壯丁請提前入伍
page 6	石歧策動清奸
page 6	橫門收復失地實地調查記
page 7	分誌如次
page 7	原詞如下
page 7	介紹港督
page 7	孔院長答
page 7	周紳壽臣
page 7	商賑會第一獻金台三天後始結束多予僑胞以捐獻機會其餘各台決依期核算
page 7	賀市長答
page 7	吳氏答話
page 7	港渝港菲無線電話昨日舉行通話儀式三地長官接談本報記者邀參加謝星河電告本報首都最近之情況
page 8	中大服務團二角贈券揭曉
page 8	灣仔李節街又一住戶被劫三條大漢託辭訪友賺門入屋香港仔傳道艇昨亦被匪光顧
page 8	藉口訪友賺門入屋
page 8	綑縛事主大肆搜索
page 8	接管政記公司財產法院已委出特別經理員
page 8	劫去財物約五百元
page 8	香港仔傳道艇被劫
page 8	顏惠慶昨抵港十九日轉輪赴歐
page 8	中央軍校招考華僑軍訓學生
page 8	練習機又失事全機破碎人幸無恙
page 8	救債分會報告最近募債成績
page 8	國醫踴躍獻金
page 8	全港公開游泳競技昨日舉行預賽男子五十碼自由式泰羅占鰲頭女子背泳僅五人參加無須預賽
page 8	週末足球籌賑賽太古會戰傑志
page 8	學賑會會員單人乒乓比賽參加者卅餘人
page 8	華民司警告燒衣紙之店戶
page 8	荷國女泳家創白碼蛙泳紀錄
page 8	夏令籃球戰績
page 8	　餐輸財　力小販義賣昨日更熱烈中西環深水　九龍城同時舉行各區店戶贈送標金已超過萬元
