page 1	日本革命有無可能性
page 2	臨全代表會宣言全文
page 2	抗戰建國綱領全文
page 2	臨全代會函慰蔣委員長及將士
page 2	臨全代會注意體恤將士家屬
page 2	東戰場我軍活動滬西南有劇戰我軍逼近上海敵人八面受困津浦路敵軍連日反攻無進展
page 2	臨全代會決議蔣中正在任國民黨總裁推汪兆銘為副總裁藉以集中權力組織民意機關即召集國民參政會
page 3	廣德泗安我軍乘勝包圍長興白峴鎮鏖戰三日斃敵千餘人殘敵突圍現向宜興方面竄去
page 3	黃河北岸敵軍敗潰我軍迫近濟源永濟之敵企圖渡河不得逞
page 3	平津附近我游擊隊活動廊坊敵軍被襲王逆克敏被剌後地方不靖津市郊時聞鎗聲敵偽戒備
page 3	敵在上海又辱英人林勿地奧斯被擊英領事準備抗議
page 3	侮辱英軍官案日發言人強辯
page 3	開濼礦潮頗難解決礦局擬遷就日方以弭風潮
page 3	運河河水盡赤津浦北段戰事仍劇烈魯南各路我軍已開始第二次總攻作戰以來敵傷兵在二十萬人以上
page 3	德併奧竟全功奧陸軍併入德五集軍奧境德軍陸續調回德國避以軍事征服公民投票現在留奧德軍僅有兩師
page 3	三月份內我擊燬敵機三十五架敵空軍人員在我境死亡者三十七人
page 3	西國民軍逼近拉列達城政府軍固守待援
page 3	英意談判順利意允予英國四項退讓志願兵俟簽協定全數撤離西境決答應不在紅海東岸設根據地
page 3	法記者西滋代表反侵略會啟程來遠東視察
page 3	三國海軍談判結果英美正宣佈廢除主力艦噸位限制法則表示暫時仍遵守限制辦法但須歐洲各關係國均共同行動
page 3	各國照會內容
page 3	敵誣我懸掛英旗英大使館證實並無此事此說純屬無稽毫無事實根據
page 3	戰局好轉我解鎮海封口
page 3	淮河南岸敵軍四五百被我圍殲通如公路線我軍開始向敵反攻皖東我軍已克復繁昌之三山鎮
page 4	上半時一比零
page 4	下半時一比一
page 4	東方敗於九龍
page 4	香港會勝九華
page 4	昨宵籃球戰績
page 4	怒吼籃球隊征港首戰勝記者隊今日戰仿林與華雄
page 4	甲組尋常杯勝軍南華華二比一昨首受挫於米軍米軍十人應戰南華卒無法取勝
page 5	敵艦又向海岸騷擾昨砲擊稔由窺伺沙井圖在洪奇瀝登岸不逞
page 5	警察局封存市內廢鐵銅鐵行商請求揭封
page 5	粵市民後援會電蔣委長祝捷
page 5	敵以毒鹽加害省府飭所屬嚴防
page 5	英大使昨離粵
page 5	桂省府決定調整全省基層組織省府擬定調整計劃派員前赴鄉村視察
page 5	未註冊商號實行停止報稅
page 5	土煤油廠會商維持原料入口
page 5	緝獲價值三十餘萬元改裝偷運之仇貨花紗現尚封存呈市黨部核辦
page 5	走私
page 5	報警
page 5	交涉
page 5	封存
page 5	敵機昨兩次分批襲粵炸黃埔支線死傷七人有一架被我擊至重傷
page 6	石圍塘外之鴉雞狗別有天地藏狗納污
page 6	桂綏靖公署梧轉運所成立
page 6	商民國防公債准由商會包收
page 6	河南鄉所禁止清明掃墓
page 6	劉石心談廣州商運辦法
page 6	市會召各行商討論轉口稅難題將派員向海關交涉
page 6	戰時之經濟國防與廣東之糧食問題一
page 6	舶來奢侈品實行加重征稅原因征額體察物品而定
page 6	粵婦女團體推行一仙購機運動
page 6	江門募銷國防債辦法
page 6	江門海關稅務司易人
page 6	匪徒劫　蛋民
page 6	焚農戶廿三間
page 6	市橋火警傷人
page 6	敵機槍擊豬船
page 6	毆斃媳婦疑案
page 6	辦理兵役人員不得隨縣長為去留手續清楚方准交代
page 6	中山各鄉民眾節胙購債多巳實行
page 6	粵桂邊之聯防近訊會設守備司令部之職責
page 7	本港各區
page 7	交通方面
page 7	九龍方面
page 7	外國兵士打架
page 7	九龍教　會理監事昨會議
page 7	帝航機昨抵港
page 7	旅港番禺會所移掃墓胙肉席金購債客棧行努力認購國防公債沙籐商會捐雨衣一千餘套
page 7	海洋賑會收到捐款
page 7	沙籐商會踴躍輸將
page 7	女會徵集膏丹丸散
page 7	客棧行購國防公債
page 7	輪客投海遇救
page 7	港政府委任令
page 7	遠東英艦隊將在本港避暑威海衛已被日軍盤據各英屬士氣候又不宜
page 7	輔　司署公佈防空大演習之成績藍色電炬仍須用布遮蓋船塢工廠燈火管制得宜
page 8	組織問題
page 8	經費支配
page 8	兩批摩登女由港赴台領隊者為能操中日語華婦
page 8	華僑銀行被騙案提堂首次兩被告將加控串騙罪
page 8	港民兵新增二百餘人女救護隊參加人數亦眾某巨紳提議另設華人營
page 8	女救護隊
page 8	設華人營
page 8	汽車御者被控駕車不慎
page 8	劉華瑞談唐紹儀近況拒絕敵人利誘不作傀儡租界當局派警嚴密保護
page 8	屋租調委會報告書日間可呈當局審核
page 8	明日為兒童節各學校準備慶祝
page 8	山頂纜車減價
page 8	報界戰地視察團已定今午出發
page 8	財政司金錫儀草擬水務財政備忘錄水務局隸工務局但帳項應獨立修訂水費以前免費供給者取銷
page 10	中學生論文賽昨在港大舉行
page 10	林培生允任東院總理
page 10	芽菜坑謀殺案本月七日開審
page 10	滑翔機研究會歡迎中外人士參加
page 10	砲兵演習取銷
page 10	壽宜書畫院成立
page 10	藍拔特返英渡假
page 10	歌舞正酣舞女翁蓮娜突倒地舞客葉炳泉被疑行兇控以踢傷翁女身體罪
page 11	五阜寧如臬的一瞥
page 11	淪陷前夕的南通
page 11	徐海風雲三
