page 1	史汀生復出後
page 2	我對日威脅越南行動發表重要聲明如日對越南有武力行為我將取必要之自衛措施
page 2	桂省實施國民教育計劃三年整理完成
page 2	滬西賭窟又將開業
page 2	政視團西北組離陝赴甘
page 2	奇玉山等覲見主席
page 2	陳嘉庚抵老河口
page 2	大美晚報發現炸彈
page 2	日冇又襲重慶英法領館炸燬投下紙彈內有染色傳單此種宣傳益增我人憤恨
page 2	國民政府明令褒揚方旭
page 2	四大學聯合舉行畢業
page 2	四行聯合總處擴大黔省農貸
page 2	英法領館被炸與轟炸歌
page 2	我外部對滇越事件聲明
page 2	南僑慰團抵韶
page 2	駐埃及意大使率領職員離境
page 2	美共和黨代表大會起草政策大綱主張美國不干涉歐洲戰爭亦毋庸無限援助民主國
page 2	蘇派紅軍一百師團在德蘇邊境間集合蘇聯與軸心國家衝突漸尖銳化軸心勢力膨脹使蘇聯大為焦慮
page 2	日再向英要求阻止滇緬運輸日謂其對越南有特殊權益意德對日此種通知無表示
page 2	鄂西我軍緊縮包圍大洪山麓迭殲日軍贛北武寧外圍據點多已克復
page 3	德法休戰條件苛酷解除武裝割讓土地
page 3	法將在英組織政府繼續協助英國作戰
page 3	法意談判順利進行
page 3	英國輿論痛斥貝當
page 3	索馬里蘭英軍侵入意屬阿境英意空戰擊落意機一架
page 3	上海法軍將撤退徐家匯徐家匯之居民紛紛遷入租界
page 3	英郵船一艘被魚雷所擊沉
page 3	埃及內閣辭職將組聯合政府決定埃及將來命運
page 3	烏拉圭擬與德斷絕外交關係美大使允為援助
page 3	日軍鬥志消沉身藏我通行證于備必要時向我軍投誠
page 3	平漢南段被我破壞中斷
page 3	印度總督邀約甘地商談
page 3	宋子文抵檀香山將赴美國本部視察中行支行
page 3	柏林發出空襲警報
page 3	近衛致力組織新黨已辭去樞密院長
page 3	意軍向法進攻法軍利用優勢地形抵抗
page 3	比國諸領袖逃往葡京
page 3	歐陸戰事告一段落德將全力進攻英倫德法休戰條約簽字內容苛酷法將在英組織政府繼續抗戰
page 5	決向日偽迎頭痛擊
page 5	兩日前派日艦三艘
page 5	深圳方面中英邊境
page 5	傳沙頭角已陷不確
page 5	本月十四十五兩日大批受傷日兵載返市區又有日兵萬餘北發增援從花日軍迭向後方退集
page 5	偽旅長強迫族人開會歡迎宴席上突發生炸彈案赴宴之兩日軍官亦吃一虛驚赴席三百餘眾及旅長均被拘
page 5	日機四出飛襲蒼梧肇慶清遠靈山
page 5	禪炭線連日激戰犯大窩日軍潰竄馮涌
page 5	民廳分區派員視察行政
page 5	粵各縣區鄉鎮設兵役問答處
page 5	粵省府籌備組戰時藝術館
page 5	第五游擊區整頓隊伍充實給養掃除積弊注重軍民合作司令彭霖生對本報記者談游擊戰
page 5	種種為非作歹事情
page 5	作戰將士給養充足
page 5	帶有群眾性之戰鬥
page 5	係因距離民眾太遠
page 5	西線戰事沉寂日偽統制糧食人民生活異常艱苦
page 5	南路軍事吃緊廉江等縣下令疏散粵北桂南日軍大量抽調瓊崖
page 5	日偽增到深圳後即沿沙深路進迫龍崗我軍在兩渡河迎擊惠寶邊界發生激戰淡水龍崗被炸甚慘傳沙頭角已陷不確
page 6	詢問
page 6	解釋
page 6	省參會三次大會開幕李主席懇切致詞表白四點重要意思對該會深切期望特別提出廣州偽組織向我進攻陰謀
page 6	日兵一名失蹤附近各鄉大遭蹂躪
page 6	廣州市又戒嚴
page 6	日訓練青年奸細分批南來工作
page 6	基層公務員任免由省政府主辦
page 6	粵各界紀念七七會議決定辦法慰問軍人及死難家屬
page 6	財廳解釋貨運納稅辦法免稅貨運銷應憑轉運證
page 7	沙頭角情形
page 7	文錦渡擠擁
page 7	老鼠嶺方面
page 7	省振會急賑
page 7	港澳振濟會
page 7	港寶安商會
page 7	法機由越來港
page 7	七七紀念日全港停止娛樂從速救濟新界難民振聯會常委會議決
page 7	賈乃錫昨巡視邊界
page 7	法簽休戰協定本港尚未接官方報告法領事黎諾氏發表談話
page 7	本港邊境安謐賈乃錫昨日乘軍出巡日領謂日軍不犯港界
page 7	難民約五千
page 7	難民數千逃集新界各賑濟會辦理急賑葉蘭泉等昨日赴邊界撫慰難胞寶安商會今開會籌商救濟辦法
page 8	政府律師縷述案情
page 8	趙妾被斬七十一刀
page 8	警察方面分別作證
page 8	關氏指妾深夜行兇
page 8	僑民出國攜旅費辦法中央訓令予以變通
page 8	僑考全港主任由周雍能兼攝
page 8	澳門舉行特別賽馬六場賽頻見爆出冷門第四場督憲杯賽一元彩票揭曉首名一七六二七得彩六千餘元
page 8	董承道昨來港
page 8	工合香港促進社定下月初售花籌款現開媽銷售戶內名譽花
page 8	三門關海面日漁船又肆虐貨船損失二千餘元
page 8	機關團體向海外募捐須經政院核准如組織社團招募人員亦應事前報告海外部
page 8	傳宋子文飛美借款美金五千萬至一萬萬
page 8	趙氏前妻亦有一子
page 8	兩司更人先後作供
page 8	臬庭公審義皇台血案關麗珍謂因自衛殺人觀審者約一千人多數為少年婦女今晨十時繼續提審正午或可宣判
page 10	宵來乙組籃球賽精勵青乙奏凱記者南商敗績末場因事改期
page 10	九龍學籃戰訊
page 10	南女排球股動態
page 10	小型足球義賽善款收入公佈
page 10	中華體育協淮會今日召開同人大會記體會放棄選舉及被選權交代聲中六社團函請退出
page 10	文員協會近訊
page 10	南華游泳場二次水藝有期
