page 1	和戰關頭之歐局
page 2	平沼發表辭職原因
page 2	從化方面我軍圍攻獅嶺廣州近郊我軍對Ｘ猛攻葵涌之Ｘ退返Ｘ艦他駛
page 2	天津災情嚴重華人溺斃者至少千人日人損失至少四萬萬日元受水災影響人民約二百萬
page 2	阿部生平
page 2	蒙滿邊境戰事再重展開日方謂蘇蒙軍被包圍
page 2	Ｘ機襲桂南寧宜山均有投彈
page 2	喬全清慷慨就義
page 2	桂傷愈將士昨日重赴前線
page 2	Ｘ分六路進擾浦南展開劇戰浦東我軍大規模反攻
page 2	吳志騫等響應汪逆運動引起學生質問
page 2	蔣委長發表重要談話國際演變有利我抗戰我國抗戰乃有一貫不變之方針決不因國際形勢變遷而受牽動
page 2	鄂中Ｘ調動甚忙
page 2	我軍襲擊張八嶺Ｘ沙河集間血戰
page 2	巡迴施教車在滇工作情形備受民眾歡迎
page 2	Ｘ國策轉變平沼內閣辭職阿部將拜命組織新閣磯谷吉田將分任新閣陸海兩相鶴島將任藏相重光葵則任外相
page 3	英國覆德照會尚守秘密傳德所提和平方案只示願望而非具體
page 3	英法兩國不惜出於一戰軍事動員繼續進行和平希望僅餘一線
page 3	英國宣佈執行非常條例出入國境須受檢查實行統制工業物價
page 3	中央國府合併舉行舉行孔子誕辰紀念二由孔院長主席並作報告
page 3	孔子遺教與民族精神
page 3	道德的修養
page 3	希特勒國堅持修改條約但澤與及波蘭走廊均亦必須交回德國
page 3	希特勒亟發揮恫嚇手段照會法大使古隆達謂已不能再事忍耐
page 3	滬孤軍問題Ｘ要求工部局開列名單無非借題威脅租界當局聞工部局對之決置不理
page 3	英禁止各輪船行地中海並即駛離意各口岸英國海軍接管商輪
page 3	波蘭人民忙掘戰壕
page 3	荷蘭下令軍事動員
page 3	英法尊重比守中立
page 3	波德邊境有小衝突
page 3	瑞後備兵奉召入伍
page 3	英限外國証券交易
page 3	丹立均將嚴守中立
page 3	法國通令檢查報紙
page 3	綏蒙偽軍反正
page 3	平綏路被雨沖毀現已不能通車
page 3	贛北前線沉寂
page 3	漢宜路戰事無大變化
page 3	金壇Ｘ軍增加均著我軍制服圖混入我防地
page 3	同濟大學函德捐贈圖書
page 3	蘇聯國會通過德蘇協定
page 3	沁縣集Ｘ萬人企圖向東伸展長治Ｘ主力撤至漫流河
page 3	意願與日本維持友好關係不受德蘇協定所影響德傳日蘇有接近可能
page 3	為應付非常時期英將組織戰時內閣韓德森昨攜照會飛返柏林羅斯福繼續斡旋和平工作
page 4	港大女生宿舍今日行開幕禮
page 4	徵募蚊賬運動留德同　會募得七千元
page 4	賑聯會常會紀
page 4	商賑會將演劇徵求名伶參加
page 4	颶風毀舟七漁人幸獲救
page 4	旅　增城商會救濟失學難童辦義學四間已定期開課
page 4	購墨水筆好機會
page 4	新靚　在　徵募之救護車五輛裝配完竣昨在九龍舉行獻車禮省振濟會派代表接收
page 5	葵涌我軍退Ｘ經過
page 5	保安隊反攻西湖塘
page 5	淡水始終未有戰事
page 5	南頭Ｘ軍大部撤退
page 5	港寶小輪復航續誌
page 5	深圳Ｘ軍撤退另訊
page 5	桂軍入赤白坭
page 5	市北游擊壯丁夜襲龍眼洞
page 5	全省各校令限九一復課
page 5	地方行政官兼理軍法權責粵綏靖署之解釋
page 5	粵記者公會九一在韶成立
page 5	省府通令禁出賣公民證
page 5	戰區司令部嚴禁無故放鎗
page 5	我反攻江會戰事仍劇烈前晚我軍曾迫進惠民門犯鐘碌山Ｘ攻東西坑不逞澳門三埠渡昨改航線復航
page 5	中山沿海無事
page 5	Ｘ犯東西兩坑
page 5	三埠輪渡改道
page 5	星夜增援睦洲
page 5	會城戰事激烈
page 5	北路我軍克復新街橫潭之經過伍觀淇部之便衣隊克蚌湖鴉湖之戰績
page 5	東線我軍分路反攻中葵涌Ｘ軍昨已分路後退南頭Ｘ軍亦大部撤退淡水方面始終無戰事廣九路我軍反攻之戰訊
page 6	圍攻增城續有進展
page 6	福和方面Ｘ我劇戰
page 6	我軍出擊朱村戰情
page 6	Ｘ機進襲粵北各縣在韶關市區投彈無大捐翁源被轟炸死傷十餘人
page 6	河南偽警串匪圖劫北溪被鄉民擊退傷斃匪數人
page 6	粵省立教育學院遷設粵北
page 6	嶺大慰勞團昨已抵韶向各長官獻旗
page 6	古鼎華召開行政會議
page 6	鄧青陽巡抵中山
page 6	粵省府五七次會議紀更換興寧南海等縣長
page 6	反攻增城我軍進展極速廣增路我軍向朱村中新出擊
page 7	自衛團組委會會議
page 7	電單車司機須登記
page 7	指定兩院收容
page 7	英僑反對入戰鬥團
page 7	外僑均已準備撤退
page 7	中西警探准請短假
page 7	試放空襲警報九龍警報機裝妥
page 7	澳輪客仍擠擁華僑佔大部份
page 7	高級法庭提審銅鼓灘劫殺案六疑犯均否認有殺人行為主控律師述慘案發生經過
page 7	肇事地點
page 7	晚上九時
page 7	推之下海
page 7	貯藏貨物
page 7	汽車司機登記參加者極踴躍
page 7	八賊夜劫新界雜貨店掠現款貨物約值千元
page 7	接駁過海喉縮短放水時間由今日起至下月一日止
page 7	婦女兵災會寄出大宗藥品
page 7	昨晨炮擊隆隆原來演習高射炮
page 7	宋子文非赴菲
page 7	應付非常時期港府實施緊急授權法港僑自衛團已在積極組織中指定兩醫院為戰時傷兵收容所
page 8	會議情形
page 8	內容包含
page 8	自力保護
page 8	義風慈善社響應組自衛團
page 8	中華步行團告香港婦女書
page 8	電影院中艦員奉召歸隊
page 8	　運服務團定期演劇籌款
page 8	匯豐行並無限制提款去星期六且延長付款時間
page 8	小童墮樓殞命裁判署研究其死因
page 8	英警官失釣魚機
page 8	南征隊在泗水兩戰一勝一和五比二擊敗泗水選手二對二與中華隊言和
page 8	宵來水球比賽鐘聲甲挫華人華
page 8	南遊日記廿五
page 8	夏令籃球賽今日兩場戰事
page 8	中華水藝成績
page 8	本星期日有一幕棒球義賽兩華會聯戰友啤
page 8	四　人代表昨召開全港紳商時局座談會各紳對時局均表示樂觀僑胞勿信謠言自相驚擾
