page 1	日要求我減稅共防走私
page 2	王寵惠昨晉京據談今後外交方針遵照全會宣言進行
page 2	張群發表談話亮疇才學遠勝於余繼任外長深慶得人
page 2	張部奉命開始向豫皖移防繆徵流部調豫東何柱國部調皖北本月廿六日前一律到達指定地點
page 2	劉蘆隱解鄂後將即開庭審訊
page 2	浙省黨委王廷揚昨逝世
page 2	陝省府將開行政會議
page 2	滬六團體歡迎魏達士舉行世界學校懇親會
page 2	冀察高級行政長宮將討論施政方策
page 2	黷武者互相呼應德同情意國擴軍將以德意所搆成之政治軸心與法蘇捷所　之軸心抗自衡
page 2	西班牙放棄領事裁判權西僑被訴案件依法審理
page 2	佐籐尚武正式就任日外相眾信佐籐主張除二重外交保證軍部華北中日軍事協定
page 2	中政會議決要案王寵惠任外交部長顧孟餘辭交通部長由俞飛鵬繼任張群曾仲嗚任中政會正副秘書長
page 3	工黨　員攻擊秘密外交
page 3	外相艾登繼起答復質問
page 3	對於國聯作有力之辯護
page 3	重整軍備擁護國聯盟約
page 3	華北日軍繼續辦理換防
page 3	廈門警察當局破獲大批軍械
page 3	日在察北失控制力蒙偽醞釀反正
page 3	美國會通過下屆海軍費總額達五萬萬餘包括飛機三百九十七架驅逐艦八艘潛航艇四艘
page 3	鄭重聲明維持國際和平
page 3	日首相為許世英餞別許訪堀內次官致別交換中日問題意見
page 3	全國美展會聘林主席為名譽會長蔣院長為名譽副會長
page 3	臧啟芳抵陝接收工學院
page 3	孔將赴英參加加冕典禮預定行程三個月
page 3	河南城內發現古井水味甘冽異常掘出珍貴古瓷
page 3	我國出發瓊島日誣受英主動滬商會瓊崖考察團下月十五在港出發
page 3	闢濬港河工程發行美金公債二百萬元年息六厘十六年還清以粵關附征稅作基金
page 3	日日東公司收買慶豐公司
page 3	蜜語甜言兒玉談來華使命純在促進中日兩國關係在政治上尊重中國館土主權在經濟上保持兩國互惠平等
page 3	孫蔚如電謝蔣院長等
page 3	宋哲元在津歡宴　賓名伶多人演劇助興
page 3	一月份對外貿易統計出超五百餘萬元
page 3	劉廣沛謁孔報告甘省災情
page 3	意新使柯賚下月來華
page 3	何鍵由京抵漢談全會印象頗佳
page 3	閩浙邊匪均被各個擊破邊區指揮官陳光中召開邊區剿匪會議
page 3	傳日準備談判海縮問題
page 3	中央準備銀行法草案將交立院審議
page 3	福關森熱心教育捐贈金大藏書古器九百餘件價值約百萬元
