page 2	邦聯與聯邦一壹統壹的限度
page 3	昨眾院臨時動議質問政府關於內閣同意案初由少數否決第二再表決多數通過
page 3	交通公債六千萬由京漢京綏分擔各發三千萬以加車價及盈餘作保
page 3	七日晚臧致平宣佈漳廈獨立即動員進攻李厚基高全忠八日佔廈門李高逃鼓浪嶼會審公廨臧通牒領事團迫李高離廈臧任閩粵邊防督辦許崇智兼閩贛邊防督辦八日王永泉就總司令職林森就省長職各界懸旗慶祝
page 3	贛軍常德盛部已抵建邵迫順昌各屬迭告急福州八日開緊急會議
page 3	安格聯六日赴重慶查稅務
page 3	日　返漢口回京
page 3	陳炯明駐京代表鍾鼎基迭請黎元洪王寵惠加陳兩廣軍務督辦兼　長眾議員彭養光聞耗即函阻黎王勿受愚
page 3	總統問題天津派仍竭力運動曹錕廿一日生辰擬乘機集各省督長代表會議
page 3	袁金鎧七日由洛赴奉奉直漸接近張作霖承認曹錕繼任總統但希望洛陽對奉諒解粵張福來六日就豫省督理軍務任即遣兩枝隊赴項城偃城剿匪
page 3	馮玉祥由保定回鄭州照科各部北上住眷先到京寓東亞酒店
page 3	外部願放鬆庫恰撤兵交涉
page 3	先辦中俄會議但紅俄仍要求繼承前俄權利
page 3	李厚基由廈門電京已派員與　獻臣接洽高全忠擬分兩隊進攻子彈到即動員
page 3	杜錫珪索鹽餘五十萬又代防艦索十萬部擬給三十萬
page 3	郵電加價滬西商反對公使團表示不滿郵費加大鉅請外部注意聞將由外部向使團說明不得已理由
page 3	高恩洪派姚啟賢赴奉吉查電　被張作霖監視
page 3	天津派又組西北議員俱樂部董士恩主任
page 3	林虎七日由湘回漢即赴滬聞將回桂
page 3	聞緝王揖唐令有取消說
page 3	張某控招商局董事搗亂會議請派員澈查
page 3	楊永泰宴某派議員演說非做議長不　聞已湊足九十餘票
page 3	中日魯案委員會今早再開會中國分委員會對公產案提出青島陸軍當局所管轄之公產沽價清表日代表應元容後答覆中代表建議撤退青島日軍以中國警察替駐各手續日代表將答覆展緩日代表提議討論土地問題照第十次會建議辦理中代表允俟公產分委員報告後磋商
page 3	夏門所駐軍隊八日晨廈門道尹佈告臧致平以責任維持地方治安各宜安居樂業但全市震動人心惶惶
page 3	又有乘機開賭之條陳
page 3	再誌紙幣低跌之原因
page 3	委洪兆麟為援閩總指揮
page 3	粵軍紛紛開赴潮閩各地
page 3	閩事之探報
page 3	啡　室工人要求之解決
page 3	疋頭商停止定貨之原因
page 3	官紳看劇誌盛
page 3	被控用槍傷人案
page 3	被控製造偽銀紙案
page 3	妓女控客案取消
page 6	　軍南檢閱　
page 6	郵電加價
page 6	關餘與閩事
page 6	接收威海事棘手
page 6	新公債咨國會追認
page 6	列國將來華調查司法
page 6	接贓案
page 6	因妓婦小事打架
page 6	婦娟娟前者欠人客區耀衣服銀
page 6	影畫誌
page 6	肥肉爭執案判結
page 6	銀價
page 6	九龍電燈公司聚會
page 6	上海罷工大風潮
page 6	捲煙發還
page 6	私煙案兩則
page 6	貨艇沉沒
page 6	控拐案再押候
page 6	逃犯私回
page 6	竊案
page 6	被控以刀傷人
page 6	緝私差被控藏軍火
page 6	校誤
page 6	本港養和園始業歡聚會會紀盛
page 6	匯市近狀
page 6	土國風雲
page 7	市政借款續有抵押品
page 7	派員密查印刷反對借款傳單
page 7	軍政費支絀之一斑
page 7	造幣廠照常開鑄
page 7	現象報又被搜查
page 7	上蓋補稅准再展限
page 7	徐傅霖因祝壽返粵
page 7	北京法律舖顧問來粵調查
page 7	小北江之商團自衛
page 7	軍人搶劫案三誌
page 7	新市長尚　接任
page 7	總部之軍事特會
page 7	郵局通告
page 7	大埔縣　免職餘聞
page 7	四會開抽會樸捐近聞
page 7	股匪圖撲雲浮城之揚言
page 7	便衣軍人不服警察盤查
page 7	南岸捕賭記
page 7	羅紹雄追悼陣亡將士
page 7	瑣聞一束
