page 1	礦務發展與華僑投資
page 2	須高再作測面談商
page 2	日報均作牢騷語調
page 2	宋哲元接見記者談中日通航將可實現同時取銷日軍用機飛行我領空中日航機擬繪八卦圖以資識別
page 2	我國禁止外人入綏蒙目的完全在對日美國對此問題正在考慮中
page 2	高瀨被殺案日領若杉要求緝兇
page 2	革命先進又弱一人尤列在京寓病逝上午與馮自由談笑尚如平日下午病勢忽轉沉重醫治無效遺體定今晨　殮
page 2	尤氏略歷
page 2	旅京綏省同鄉請中央援綏抗敵
page 2	國大會堂工竣昨日開始驗收
page 2	滬日商紗廠工潮仍未解決
page 2	二十九軍秋操繼續演習萬福麟部定期舉行對抗演習
page 2	日方宣傳俄蒙訂約聯防
page 2	中華工業總聯會籌設兩廣分會
page 2	京國貨宣傳週舉行提燈大會參加人數近二萬由褚民誼總領隊
page 2	東北中山中學南遷學生乘車南下
page 2	財部賑款十萬元已函中行匯桂
page 2	張川七次會談日方已有相當讓步八次會談可望得一結束仍由須磨高宗武先作側面　商解決枝節問題並決定八次會期
page 3	主席報告
page 3	上海
page 3	阿王日內返綏
page 3	南京
page 3	長沙
page 3	南昌
page 3	濟南
page 3	漢口
page 3	杭州
page 3	日　械商存京開展覽會
page 3	劉文輝奉令率部入康
page 3	阿柴那總統表示政府軍決奮鬥到底即使馬德勒為叛軍所攻陷亦不當認為官軍業已屈服叛軍昨日仍已重炮向馬德勒猛烈進攻
page 3	叛軍進攻目的圖佔法蘭西橋
page 3	叛軍砲隊陣地仍與前日相同
page 3	叛軍所發炮彈數枚落在城中
page 3	墨索里尼與日本狼狽為奸互相承認侵略所得之土地
page 3	統帥佛蘭戈爾昨對記者談話
page 3	監察西國海口計劃業已草竣
page 3	實部調查農業合作情形
page 3	意奧匈三國會議結果奧匈承認意國吞亞昨晚意王誕辰奧匈代表於舉觴慶祝時即用意王兼臣皇帝稱呼表示承認之意
page 3	英萊特爵士提議救濟航業
page 3	波蘭關心西毆安全公約希望西毆安全公約勿使波陷孤立地位
page 3	德國內政將受軍權管轄希特勒將僅高拱於上一切政權由戈林施之
page 3	柏克艾登連日會談融洽
page 3	佛蘭戈爾之弟昨到羅馬活動
page 3	大戰醞釀之中歐戰和平紀念
page 3	艾登答下院議員詢問中國走私減少
page 3	中央國府暨各地舉行 總理誕辰紀念林試報告紀念總理之意義當效法總理之好學實行愛人
page 4	高級學界籃球賽華大輕取西南友誼賽印警大勝華仁
page 4	友誼足球賽虧佬團對印警隊十六日下午四時
page 4	南華陸運萬米賽跑發生糾紛第四名之黎兆倫指裁判員令其多跑一圈原列第二令列第四特請田徑部秉公辦理
page 5	閩邊匪共竄粵粵軍分路圍勦詳情又分路竄入閩邊
page 5	石井兵工廠改用電機發動
page 5	江防司令馮焯勳召開冬防談話會重要軍官之更詞
page 5	廣州空防建設請撥飛機備測量
page 5	九個月內潮汕外人走私調查共值一百廿六萬七千餘元
page 5	古玉展覽會場巡禮
page 5	各行遵令參加公斷處選舉第二次請願結果
page 5	督察處擬訂售吸所管理章程全市煙民在二萬
page 5	孫科昨乘機飛桂林
page 6	各界紀念總理誕辰大會記孫科主席致開會詞
page 6	汕頭漁業商人再電層憲請救濟制止某人入領海捕魚並設法　積漁業公司
page 7	致商會函
page 7	商會會議
page 7	廣東銀行日內正式復業址四日開股東會選舉新董事
page 7	宋子文氏主持開幕
page 7	正式恢復營業日期
page 7	招收新股成績美滿
page 7	定期舉行股東會議
page 7	意領祝意呈壽辰港督親往道賀
page 7	意領致詞
page 7	利哥打輪火警焚斃一人昨午清理灰燼始發覺
page 7	歐亞空郵之便捷中航機接運多拉都機郵件
page 7	港督答詞
page 7	四人意外受重傷
page 7	蔣委長嘉慰僑胞黃曾兩氏電港各團體致意
page 7	貝璐夫人健康院是病嬰救星母親顧問
page 7	亨特醫生
page 7	獻機會雜費千元由華商會負擔
page 7	贈送肉汁
page 7	診治室外
page 7	冬令如何招呼賓客
page 7	酒樓飯店聯合商會請求減征酒牌費並請改訂分季徵收辦法商會決向港府代為呼籲
page 8	開會情形
page 8	主席致詞
page 8	週年報告
page 8	第三宿舍
page 8	醫藥方面
page 8	義務贊助
page 8	逼人入會案註銷兩被告改控打架罪
