page 1	最近日本之外交
page 2	蔣總裁開幕詞全文
page 2	持久抗戰奮鬥到底
page 2	我們同胞誓死不屈
page 2	又能得到最後勝利
page 2	晉西鄉寧縣城日軍全部移柏山寺晉南聞喜日軍圖犯稷王山翼城東南我軍續向西挺進
page 2	他所發表組閣方針
page 2	在我中國橫行無忌
page 2	盡量獻媚要求妥協
page 2	各個拉攏次第分散
page 2	試問英法能受欺嗎
page 2	奔馳在秦隴邱原二
page 2	即如近來他的國內
page 2	放出許多離奇謠言
page 2	諸位須知敵人最近
page 2	日議會下有開會討論明年度收支
page 2	六中全會昨在渝開幕中委報到參加者已有百四十餘人蔣總裁親蒞大會主席並致開幕詞
page 3	德侵荷比意必守中立意現正謀在巴爾幹積極組織和平陣線
page 3	德軍侵入一無人地帶該地屬德國荷未明德軍侵人未遇抵抗
page 3	德比邊界已局部對鎖徜德軍侵犯荷蘭者比必容英法軍入境
page 3	大砲聲中各方舉行休戰紀念法總理與英後均有演說紐約市長則謂不 值慶祝
page 3	法總統之演說
page 3	英皇后之演說
page 3	羅斯福之演講
page 3	胡大使之演說
page 3	美在華權利損害案一部已獲解決其中較大之案件至今仍成為懸案
page 3	今年對外貿易較上年為發達並示受歐戰影響
page 3	美聯社記者視察馬奇諾防線報告堅固防禦工事俱築地之下層無論破壞力如何大亦所不畏
page 3	德軍封鎖下比國損失重大國內工業停頓貿易減少軍費浩繁實在支持不易
page 3	連夜有德機飛入法東北部
page 3	啤酒廠案疑類似工人德國秘密警察總監通令各方人民注意
page 3	英法來往電文
page 3	德報竟誇言英倫未必穩固德軍有侵入英倫可能
page 3	滬各界紀念總理誕辰
page 3	羅馬教皇憂心美人風俗離婚節育之風亟宜取締尤應解決勞資糾紛問題
page 3	英謂慕尼克炸彈案或為德方所為回憶德國國會縱火案或係德秘密警察所為
page 3	荷蘭對蘇態度仍堅持不妥協增加軍隊於蘇芬邊界蘇芬代表未再作會議
page 3	冀西來源附近我軍大勝
page 3	楊庶堪拒絕汪拉攏已秘密離滬即將赴重慶
page 3	我空軍再襲三水
page 3	　江兩岸有小接觸
page 3	英法答復荷比願考慮真和平倘長久和平得實現戰爭當然可以中止
page 5	新鶴日軍退守木塱
page 5	日援兵千餘抵睦洲
page 5	何某可謂枉作小人
page 5	檢討粵南整個局勢後鄧世增張炎分別回防實行政治動員配合戰時需要日兵在防城魔墩島登陸騷擾
page 5	粵南局勢
page 5	三埠安定暫止疏散
page 5	延長乾電池使用辦法省府飭屬採用
page 5	日軍增兵容奇並運到大批工事材料
page 5	吳飛張惠長等告中山民眾書
page 5	擒獲白沙偽長省府嘉獎稅警團
page 5	雷州關宣佈土貨出口復加統制商人再請改善結匯辦法結匯地點不集中發生絕大困難價值不滿百元之貨物准免結匯
page 5	貨款攜帶出口問題
page 5	商人方面並無反對
page 5	突又宣佈恢復統制
page 5	我機窺察大良炸毀西山日營
page 5	粵臨時糧運證改各專署核發
page 5	粵北我軍攻克蓮塘新村日軍謀奪兩龍被擊退
page 5	匪黨圖劫擊斃日軍官日派兵拘人民居被焚日兵指鄉民庇匪亂捉去八十餘人焚燬民居六十餘
page 5	江門日軍大部他調後我當局飭各路乘時反攻新鶴路日軍不支已退守木塱江門日軍增兵千餘昨抵睦洲
page 7	學術界招待暹華僑慰勞團
page 7	回教僑胞獻旗禮極隆重情況熱烈
page 7	買物有保險開本港新紀元
page 7	王志聖昨返渝
page 7	婦慰會募捐訊
page 7	港督夫婦返港
page 7	留滬猶太難民擬移殖菲律濱
page 7	兇徒斬傷老翁
page 7	財政監理官積極籌備開征所得稅我國經濟學家之意見
page 7	輕油汽車獲減徵牌照費
page 7	展拓統一碼頭實行尚未有期
page 7	黃紹　昨過港邀婦女慰勞會主幹茶聚
page 7	南海同鄉會昨舉行成立禮第一屆　事已選出
page 7	港澳各僑團紀念總理誕辰
page 7	法大使匆匆過港赴渝留港僅數小時曾訪問此間當局英大使下榻督府返滬日期未定
page 8	九龍邊境安謐寶安小輪照常行走
page 8	油麻地小輪決增設圖書室
page 8	巨竊案之疑犯
page 8	罌花節足球義賽2對3港聯壓倒軍聯上半時零比零紀錄未開易陣再戰結果港聯僅勝
page 8	南華會第十七屆週年陸運昨日舉行成績甚佳有多項破會紀錄一萬公尺香吉生壓倒群雄
page 8	統制糧食聲中安暹米石源源運港九個月內入口總值幾達一萬元港府躉存數十萬包糧食無虞缺乏
