page 1	日內閣改組的意義
page 2	兩陣線對立愈激化德意日加強合作決設立聯合委員會德認美國政策為精神侵略大部德運艦貸與意國反攻
page 2	維持太平洋現狀美遠東政策不變
page 2	對美國能否戰爭日內部意見不一
page 2	太平洋中部海島美決築空軍據點
page 2	德機又繼續大舉炸擊英倫馬士塞特引起數火頭蔑蘭利物浦亦受炸擊
page 2	傳英政府將局部改組哈里法斯使美艾登繼任外相
page 2	美組織一新機關專管軍需生產決委納桑氏為該局局長加速發展軍備擴充程序
page 2	汎美公司要員抵星考察注意機場設備
page 2	一不明國籍飛機向愛爾蘭投彈
page 2	埃及首相視察戰地完畢由前線飛回開羅參加贈氈儀式
page 2	美統制入口貨尚未有意立即實行倘將來實施統制時日絲當在統制之列
page 2	烏拉圭親英運動成功
page 2	蘇聯共黨定期舉行全國會議
page 2	前波蘭陸軍統帥在羅乘間逃脫
page 2	前羅王將赴葡
page 2	對邱吉爾演說詞英各報有好評英國不久可取主動作戰務求獲得完全勝利為止
page 2	英在美定製商船六十艘將於後年秋間完成
page 2	越南土軍三百越入華界被我軍繳械
page 2	日內閣改組實現內法兩相辭職平沼柳川繼任近依賴軍部靖內變日政治愈趨法西斯化
page 2	英陸軍使用新式坦克軍有厚皮革以保護平射砲不能穿過
page 2	中央準備銀行昨在南京成立周佛海任總裁
page 2	德意輪五艘由內河抵滬被日軍扣留
page 2	傳汪將委盧英任浙省主席
page 2	日　德意之精派代表團赴歐觀戰山下為團長定期今日出發
page 2	在菲日僑侮辱英美將日德旗蓋美英旗駐菲日領事致書道歉
page 3	地中海英海軍活躍策應南北兩岸攻勢
page 3	意軍在巴地亞西部集二十萬人備反攻
page 3	英軍已包圍巴地亞鎮內意軍死守待援
page 3	意軍放棄德比林尼希軍猛攻續有進展
page 3	日要求越政府借用南圻軍事根據地秋田赴西貢傳與此事有關泰越機互炸邊界仍有衝突
page 3	瑞武公路北段我軍克沈家舖瑞昌日軍出擾被痛擊晉東南我軍異常活躍
page 3	鉅野日軍出擾中伏
page 3	信陽西殲日軍百餘
page 3	皖北我軍出擊奏功
page 3	英國函教會贊成羅馬教皇和平原則各教會領袖在報章聯函擁護
page 3	加強團結之要著中央已下明令著共黨軍隊移防避免磨擦中樞一片苦心重慶各界贊成政府措置
page 3	地中海大戰展開英艦隊衝破奧德蘭海峽砲擊華倫納要港意海軍無力控制亞得里亞海德軍入意畢蘭那客車已停開
page 5	各路日情
page 5	西江方面
page 5	嶺東方面
page 5	北江方面
page 5	某戰區編纂委員會成立全體委員宣誓就職許崇清任主委余長官親臨授印南路慰勞團昨向軍政長官獻旗
page 5	潮汕日軍拆毀跌軌夜間用艦運去
page 5	第七戰區範圍
