page 1	一年來之中日關係
page 2	晉省大戰展開在即我軍開始向太原進攻敵犯祁縣與我主力接觸展開劇戰經我軍奮勇迎擊殲敵約三千餘人
page 2	敵手段愈卑劣竟向閻氏恫嚇通牒閻錫山限期入棄反日態度閻決不予答覆並下令向敵總攻
page 2	我鄂西空軍新根據地現已全部完成機場機庫建築均極宏偉
page 2	中樞人事調整已全部內定日內發表中央軍事委員會亦將改組委員名額將分三方面分配
page 2	風內部在渝覓定地址
page 2	孫傳芳舊屬在揚活動
page 2	瓊海敵艦他駛
page 2	敵機襲擊西安
page 2	津浦北段戰事我軍由白馬山推進我千佛山守軍極活躍濟敵時在我控制由周村南犯博山之敵受我軍嚴重打擊
page 2	犯青之敵被我阻於　縣
page 2	敵機兩隊分襲泰安徐州
page 2	南潯吳興慘遭敵軍蹂躪
page 2	外部決定在漢設辦事處
page 2	日軍須要休息松井又發謬論企圖緩和我國抗戰空氣
page 2	佔據各地之敵軍以軍法臨外僑美國對此甚注意
page 2	東戰場戰事開展江南我軍克廣德富陽我先頭部隊已離杭閘口二十里江北各線敵我仍在原陣地相持
page 3	巴納艦案如是解決美輿論均不滿謂此案之解決為日方一大勝利正與日海陸軍之最大勝利相同
page 3	廣州長途電話台山縣長電告上川敵軍已全數撤退敵機廿八架輪炸廣九粵漢兩路余總司令召集向高級軍官訓話
page 3	美著手計算巴納號之損失向日要求賠償
page 3	比紅十字會在滬工作
page 3	日內部裂痕益深近衛辭職已確近衛反對軍人所提外交政策軍政聯合會議今尚開會無期
page 3	羅馬尼亞新內閣已組成新內閣之施政方針與國社主義相接近
page 3	法頭巾團領袖發表驚人供詞共黨密謀以八萬三千之眾佔領巴黎殺前首相勃魯姆
page 3	美政府主張菲律濱暫不離美關係菲若不要求提前宣佈獨立可暫時繼續受美國之保護
page 3	日意談判商約
page 3	巴納案影片已運抵三藩市今日轉運往紐約沿途保護甚嚴密
page 3	日革命潮勢如排山倒海海員罷工宣言反戰高呼打倒軍閥帝大學生自治會搜出革命印刷品
page 3	李廷安抵桂洽商進行戰進防疫
page 3	徐毓生等組西北墾殖團
page 3	第二次國際列車今日由漢來港
page 3	金陵大學決移長沙開課
page 3	美國續購墨銀
page 3	美國鑒於時局嚴重盡力擴充海軍
page 3	法參院通過明年軍費預算總額五十萬萬餘佛朗
page 3	巴黎發生工潮金融大受影響
page 3	愛爾蘭宣佈成立新國體新憲法亦同時正式頒佈全國各地舉行熱烈慶祝
page 3	承認意帝國問題英不致接受荷蘭提議英意尚多懸案須先加以解決
page 3	金門失守縣長被處死刑
page 3	上海租界捕獲我方敢死黨員將移解於敵方
page 3	在日人牽線下滬偽組織出現
page 3	王外長回拜蘇聯大使
page 3	敵軍派員負責華北外交
page 3	日外務省對炸英艦案發表長篇報告強詞自辯謂當時長江霞霧濃厚且有煙幕日軍不能辨認該兩艘為英國艦英當局聲明對日所發表之報告書不能承認
page 4	女子籃球賽西南南勝華南南華擊敗精武
page 4	華雄雄籃球隊今日戰聖類斯
page 4	記者送出之銀杯定名最後勝利杯賽全港乒乓界主辦籌賑款定元月五日開二次會議
page 5	廣州市商整會會議解決財政糾紛
page 5	訓練消防壯丁
page 5	實行設立難民之墾殖區
page 5	開始換發第三期戒煙証
page 5	行商請減征煤類稅費運費
page 5	各師管區組兵役宣傳隊
page 5	中日問題定期開座談會
page 5	潮汕當局救濟糧食已由華南公司放糶米荒情形已有轉機
page 5	救亡日報已移廣州出版
page 5	潮汕抗戰組織近誌
page 5	潮民組壯丁隊
page 5	潮汕地方寧謐
page 5	汕募債會結束
page 5	敵擾閩潮邊境之企圖我沿邊防務之鞏固潮汕居民仍極鎮定敵在金門逼人民偽鈔人民多已逃避
page 5	敵兵登橫琴島志在取水據該島逃難者言敵取水後已離去惟民居財物多被掠奪三灶等村人民多被壓迫作工
page 6	困難情形
page 6	新舊辦法
page 6	改善之點
page 6	中山糧調會調查邑內存米實數米商請改變辦法未獲准
page 6	下基發現浮屍
page 6	九江商界募衣
page 6	敵機槍擊鄉渡
page 6	小叔殺嫂慘劇
page 6	三童玩彈炸死
page 6	愚婦拜神燒斃
page 6	義教會已成立
page 6	元旦民眾巡行
page 6	廣州各行商請改善海味徵捐原文蠅　之利有限限制之術無窮請求改善征收手續共八點
page 7	恩平工商會購公債
page 7	油行商會長期捐輸
page 7	中華支隊開辦事處
page 7	潮救護團定期演習
page 7	潘鰲夫婦捐贈棉衣
page 7	中大服務團徵品物
page 7	兩輪船員捐款購債
page 7	蔡廷鍇將軍訪問記軍民合作抗戰必勝利民眾力量可銷滅漢奸
page 7	太平劇團演劇籌款
page 7	歸國義勇隊之進行
page 7	鶴山商會定期開會
page 7	本港青島航運斷絕港滬線外輪紛紛復航
page 7	華僑救護隊明日北上七隊員日間攜救護車續發英名醫韓基昨已離港飛漢
page 7	廣九路被炸毀昨晚快車今晨始到港
page 7	救國公債勸募分會函促各社團長期捐輸廠聯會等實行已久頗著成效恩平工商會購公債一萬餘元
page 8	鎗斃拒捕犯案訊結陪審員認警察開鎗為合法
page 8	發生打架
page 8	起釁原因
page 8	執起短槍
page 8	毆打差人
page 8	不見死者
page 8	遍體流血
page 8	誤殺陳新案昨日續審陳　力證華探陳真曾毆死者
