page 2	憲法問題的我見三
page 3	十六日葡使謁曹錕要求於四十八點內撤銷田中玉益威上將軍令
page 3	忽有熊希齡先長財政後組閣說
page 3	十七日外交團會議對免田中玉令已諒解
page 3	交通部令郵局扣押上海時報勿代送遞
page 3	湘訊劉聚彝軍圖撲長沙北門外新河一帶與趙軍賀耀祖唐生智兩部劇戰譚延闓電勸中立各軍謂北軍將入湘請協力拒絕意在誘各軍為已助
page 3	譚延闓委陶葵舉為討賊軍西路總指揮
page 3	警備司令部已由岳州進駐黃沙街
page 3	馬濟十七日晨赴岳州車站有人擲炸彈馬未傷
page 3	王都慶旅已有一部入湘西與鄂軍胡念先旅會合援湘蕭耀南派張牧喈赴黃州催劉佐龍旅開拔赴岳劉允日內成行俟劉旅到岳後五十旅即赴岳州以上與四十九旅擔任前線警備
page 3	趙恒惕任羅光闓為零陵鎮守使蕭　為礦務總理將鐵道警備司令取消
page 3	劉　部團長袁植十五日赴姜畬中途被部下槍斃所部三營一歸吳劍學收編一被魯滌平調去餘潰散
page 3	吳佩孚十六日匯開拔費十萬赴閩催孫傳芳速攻廈門
page 3	據外人消息川軍十六日下午復佔重慶楊森部向下游退卻
page 3	俄政府對中俄會議無誠意駐蒙俄代表已到庫倫競與活
page 3	佛商西伯利亞鐵路延長至蒙古問題
page 3	外使團十六日開緊急會議謂中國政府處置田中玉無誠意國際信義無可言以此嚴詰葡使葡使憤辭領袖公使先採冷靜手段再謀第二步辦法故顧維鈞不得不辭
page 3	有人建議續辦運河借款曹錕循袁世凱例飭天津造幣廠鑄紀念幣三十萬元一面曹錕像一面國旗
page 3	高淩霨十六日午到院正式視事顧維鈞張弧均遞辭呈
page 3	內定熊希齡長財政為組閣預備曹錕派孫寶琦謁熊徵求同意從此組閣頭緒益繁
page 3	交通部設大沽無線電台
page 3	曹錕令十四師全部移豐台調胡景翼部陝軍填豫防
page 3	小學教職員團呈請教育部加薪未遂全體罷工天津中小各校亦組索薪團將舉行大索薪
page 3	曹錕擬畀湯薌銘任長江防務
page 3	曹錕派曹銳赴奉張懷芝赴津張瑞萱赴滇唐寶鍔赴粵王芝祥赴浙疏解各要事
page 3	張作霖應吳光新約遣湯參謀到津商要事
page 3	直省署召集天津各銀行籌借款百萬以開灤礦稅擔保
page 3	粵代表溫宗堯由洛陽抵漢口將回滬
page 3	東江戰事緊急滇軍忽有主和之說
page 3	高雷粵軍之戰報
page 3	鄧剛所部出發東江之又一說
page 3	省長問題近誌
page 3	聯軍炸燬惠城南門
page 3	刑名案
page 3	劉震寰在大浪灣宴客
page 3	盧焯雲案賞格壹千元
page 3	盧章立已省釋
