page 1	紀念先烈敬悼國殤
page 2	倫敦報章評論日軍失策敵人已漸覺悟前途危險但今欲縮小戰區已太遲
page 2	津浦北段敵軍概況
page 2	皖浙戰情
page 2	敵在滕縣恣意
page 2	全椒之敵組燒殺隊
page 2	懷遠之敵被我包圍
page 2	邵伯之敵遭我奇襲
page 2	海鹽之敵被　包圍
page 2	我游擊隊展至平湖
page 2	晉南局勢日趨好轉
page 2	修武附近敵被截擊
page 2	我奮勇隊進攻中陽
page 2	敵在芮城肆意勒索
page 2	晉南聞喜已無敵蹤
page 2	靠山集敵被我包圍
page 2	晉豫敵軍兵力已感不足我軍收復偏關五寨敵軍擾榮河被我擊潰斃敵二百餘封邱敵軍後路被我切斷給養斷絕
page 2	崇德敵軍撤回富陽
page 2	溫孟之敵均甚恐慌
page 2	鄭逆孝胥傳已斃命
page 2	上海外匯市情混亂
page 2	魯南我軍三路齊告捷正面乘勝追擊再克監城圍攻勝縣左翼克復濟寧及大汶口進迫兗州左翼我軍向敵猛攻敵向莒縣潰退
page 3	美對墨國停止購買白銀世界白銀價亦受打擊
page 3	捷極右派政黨參加內閣
page 3	捷全國青年採取共同行動謁見國務總理願為國家服務
page 3	對奧國全民投票國社黨作努力宣傳運動投票結束後德將注意奧輿論界國社黨對保王黨表示蔑示態度
page 3	法總工會秘書長石屋主張採取積極外交政策竭力阻止法西斯主義侵入法國並表示贊成集體安全一項原則
page 3	西政府軍各黨一致精誠團結
page 3	牛鬼蛇神南京傀儡臉譜
page 3	粵省督種雜糧去年頗得豐收約穫六千萬擔
page 3	貿易調整委會傳將改隸政院
page 3	日議會經已正式閉幕近衛警告全國人民中日戰事現方開始
page 3	慨捐筵席費救濟戰區孤兒馬龍刺僑商詹孟衫壯舉
page 3	國府明令褒揚李儀祉等
page 3	全川各界一致擁護抗戰
page 3	蔣委員長電慰石王夫人
page 3	各傀儡在敵牽線下南京偽組織正式成立梁鴻志甘作罪魁任偽行政委員長陳群陳錦濤溫宗堯等亦袍笏登場
page 4	因雨未終局之乙組牌準決賽下星期四再賽
page 4	昨網球賽徐家軍獲雙打準決賽今　打又　看頭
page 4	港外匯仍趨好
page 4	廣州西紙續漲
page 4	舊中紙價微起
page 4	省毫券價略降
page 4	昨宵籃球賽三十八比三十二青年會勇克南華上場南華努力曾一度佔先乙組陽光晨光兩隊均告捷
page 5	粵路客車被炸慘狀
page 5	港紙價格尚起跌不定敵方陰謀擾我金融當局已有平定辦法
page 5	市抗敵會擴大防衛運動宣傳訂定宣傳大綱十項
page 5	槍決女漢奸案再誌香副總司令曾親自提審該犯三歲即赴敵國居住
page 5	五路軍總部頒發實施　兵注意事項征調編號改七一起施行預征兵仍參加抽簽編號
page 5	中行梧支行協助收兌桂鈔郭樹鈞對記者談
page 5	李福林昨赴漢
page 5	河南各村女發起賣花購債
page 5	米糠米機兩公會關於運米之呈批
page 5	敵向乾霧進犯之激戰敵改向大小淋進犯昨被登陸某軍要談敵利用沙灘作機場
page 5	敵之詭謀
page 5	改途進犯
page 5	登陸不逞
page 5	廣州商民認銷國防公債數目照總額三百卅萬元攤派
page 5	敵機昨分九批來襲向韶關投小型彈逾六十枚在南雄方面亦投彈二十枚粵路客車被炸死傷二百餘人
page 6	煙葉商將訴願有人請領鶴山煙葉恐　賣後影響全行
page 6	花地廿　鄉募衣會已結束
page 6	馬鬃河面巨浪捲沉敵漁船
page 6	花縣漢奸梟首示眾
page 6	敵機擊沉柴船在西江馬口河面
page 6	戰時之經濟國防與廣東之糧食問題二二外匯與法幣以及廣東食糧
page 6	根本解決粵省糧食五年內可整個解決資助費七十六萬元
page 6	山潦沖塌民房
page 6	塌文閣死二人
page 6	沉船溺斃五命
page 6	廣寧趕緊徵工築路
page 6	陽江縣長指示備戰
page 6	解散救國先鋒隊經過未奉准組織藉名招搖主事人四名解局究辦
page 7	五路軍募雨具現得十二萬套海外僑胞昨又匯四萬餘元辛亥醫院畫展會昨日開幕
page 7	海防設民眾壁報社
page 7	黃埔船塢獲利百餘萬股東會昨議決增加股本
page 7	澳督昨已返澳
page 7	帝航機昨脫班
page 7	搜獲大批私煙
page 7	英大使將過港飛渝曾電約諾貝爾中將會商時局
page 7	辛亥畫展會昨開幕
page 7	滬救護隊辭港同胞
page 7	海外宣傳團長返港
page 7	財政司及匯豐行總理談港粵法幣準備金充足最近漲落實由上海局面所影響不久可復原狀金融界無庸憂慮
page 8	遠東英艦動向
page 8	救傷隊週年大操港督蒞場檢閱對該隊功績大加贊許獻議增設傷兵救護隊
page 8	長沙國立臨時大學學生百餘人過港赴滇該校遷滇後決分兩部辦理
page 8	婦女策進會昨已正式成立
page 8	更練受賄疑案昨日續審情形
page 8	左維明昨返粵
page 8	兒童保育會成立港分會已發動勸募預算全國設四十所每月經費百萬元收容將士遺孤及戰地流離失所兒童
page 10	中國國貨銀行港行今日開幕
page 10	澳馬會定期賽馬
page 10	烹飪指導班消息
page 10	救傷隊馬票昨開彩首名二一五零三號得獎銀萬四千餘元
page 11	八千里長途宣傳工作二續
page 11	平漢線上前征前訊之六
