page 1	和平之最後通牒
page 2	中立國瑞典輪被德潛艇擊沉駐柏林瑞典公使向德抗議英輪格拉曼號亦被擊沉沒
page 2	蘇向土強硬要求訂立互助協定土國處境有左右做人難對蘇討好又勿失歡英法
page 2	希特勒將向英法下和平哀的美郭書倘英法拒絕參加此次非法和平會議德報暗示蘇意兩國將以武力助德國
page 2	美墨仍承認波蘭主權繼續維持外交關係
page 2	英空軍部發表傷亡人數
page 2	岷尼拉一機遇險下墮
page 2	美參院開始辯論中立法案戒備嚴重以免發生意外料多數人贊成政府提議
page 2	我外部聲明長江五英艦他調純係軍事上之需要並非英有退出長江表示更非放棄英在遠東權益
page 2	美有走私份子供給德艦糧食美當局現正調查
page 2	英首相演講對德蘇協定所持態度英法兩國必不受無論何種威脅決動員一切資源力量繼續戰爭
page 3	我英勇空軍昨在漢口施威轟炸日機場全市震動日方之損失必甚重大
page 3	美國暗示對日施行壓力美航空母艦駛夏威夷將保證北太平洋區域
page 3	張文鰲殺身成仁教部擬從優撫卹
page 3	蘇北日軍漸次肅清
page 3	海防華僑致電討汪
page 3	汎美會議通過禁止交戰國飛機入美洲領空劃定美洲海岸線為安全地帶禁止交戰國海空軍在此活動
page 3	汛美洲大會兩宣言內容
page 3	西線無大戰事英國空軍則非常活躍
page 3	政院會議
page 3	兩日機被我擊落
page 3	許多蘇聯軍隊開入新疆
page 3	英大使蔻爾明日來港轉往重慶任務未明
page 3	紐約金融市場英法貨幣穩定
page 3	日軍再犯蓮塘經我迎擊不逞
page 3	芮城以東已無日軍蹤跡
page 3	蘇仍派大軍赴蒙滿邊境
page 3	蘇立開始談判兩國懸案蘇要求與立締不侵略協定愛政府批准蘇愛互助協定
page 3	日軍車在橫林中地雷傷斃日兵二百餘
page 3	湘北我軍繼續告捷克栗橋福臨鋪向泊羅江南岸挺進贛我再度克復甘坊
page 5	南路各縣紛組評價會折低物價取締投機操縱當局謀劃將予商人以運輸便利
page 5	新會舉行戰時施政會議劃定各區管轄地段
page 5	寶安新興兩縣長之更動莫鉞撤職通緝
page 5	游擊司法案件擴大巡迴審理高等法院移設粵北
page 5	一軍委會戰區軍風紀第四巡察團
page 5	東江臨中收容潮汕學生並籌設分校以廣收容
page 5	黃明堂夫人突被暴徒擊斃
page 5	華僑回國從軍桂省府優待辦法
page 5	西路我軍一度衝進三水縣城
page 5	各縣重新舉行煙民登記強民工廠已分區成立
page 5	粵南情勢依然嚴重日艦續窺欽廉防沿岸欽廉海外傳來砲聲甚劇當局加緊完成戰時準備
page 5	各地寧謐
page 5	強迫疏散
page 5	張炎出巡
page 5	河源各界歡送壯丁出征
page 5	日軍徘徊橫門兩岸中中山當局嚴密戰時機構吳張分區策動後抗戰更趨強化我團隊連日在前線殺狼狗過百
page 7	各項稅率均有增加
page 7	希望民眾同肩重任
page 7	統制外匯立見收效
page 7	馬來亞限制貨物入口為港貨南銷絕好機會本港廠商應乘機盡量發展廠聯會主席葉蘭泉之談話
page 7	澳門馬票揭曉首名○七三四六號
page 7	劫艇殺人案三犯今晨行刑其餘三犯另定期執行
page 7	港寶小輪復航
page 7	葡僑籌祝國慶
page 7	為難童募寒衣
page 7	婦慰會徵募慰勞物品
page 7	雞鴨行商組中山慰勞團
page 7	港府向市民解釋英增稅案與本港關係英屬各地均已次第增稅本港實行時望勉力負擔
page 8	華軍追擊敗退日軍
page 8	教　會雙十贈旗二十萬面仍不敷用昨再趕製十萬分發各校華商會雙十日開慶祝會
page 8	教聯會致各校通啟
page 8	商會召集同人慶祝
page 8	雙十贈旗獻金辦法
page 8	反攻華軍約二千人
page 8	港府派機視察邊界
page 8	麻瘋專家過港
page 8	順德同鄉賣物會昨閉幕
page 8	郵局職員舞弊疑案押候本月十三日再審
page 8	英意疋頭運港遲滯八月底起運者仍多未到絨口極少上市價格略漲
page 8	南遊日記四四九月五日
page 8	足球聯賽週末開始海陸軍檢討實力忙海軍今日對聖若瑟米杜息明日戰　華
page 8	戰地工作團舉行籃球義賽今夕在青年會演出計分男女兩場戰事
page 8	昨日心嘉杯戰績
page 8	傑志會出發徵求
page 8	坑礦場工程師談日軍被我追擊之狼狽日軍交通線確已被我軍切斷英空軍當局昨派機巡視邊境
